sentence,vigilance_hr,target_hr,fpr,acc,max_mem,mean_mem
A sojourner like all my fathers.,,0.6071428571428571,0.0,0.819672131147541,0.8136713201770087,0.7827296461695781
A sudden sweetness in the air.,,0.6111111111111112,0.0,0.8157894736842105,0.8100858018122106,0.7586813250059916
A surprising and extremely unusual strategy.,,0.5588235294117647,0.125,0.7297297297297297,0.7525222749790075,0.7287210137110213
"AW: Written things, OK, like testimonials?",,0.6666666666666666,0.07692307692307693,0.8085106382978723,0.8734966561323938,0.7890057385611434
Abate singled through the left side.,,0.5142857142857142,0.0,0.7702702702702703,0.7903754246161112,0.7602302705568733
Abby stiffened at his sharp tone.,,0.5517241379310345,0.0,0.796875,0.8473427390583107,0.7807371411755266
About the mark and my problems.,,0.3170731707317073,0.047619047619047616,0.6385542168674698,0.7778425324794445,0.7583245028380193
Absolutely no plastic touches your liquid.,,0.8333333333333334,0.034482758620689655,0.9056603773584906,0.8115030500645467,0.7590590709331111
Accredited nursing school located in Ohio.,,0.6842105263157895,0.06976744186046512,0.8148148148148148,0.8387685156222667,0.7987791866526335
"Actually, I already work for you.",,0.8333333333333334,0.0,0.9215686274509803,0.7498828365921736,0.7420900775244831
"Actually, is very easy to make!",,0.6129032258064516,0.125,0.746031746031746,0.7473022558494982,0.7314760335492778
Acute flaccid paralysis due to rabies.,,0.8148148148148148,0.06451612903225806,0.8793103448275862,0.841830516965392,0.780727590982602
"Add salt and chili powder, stirring.",,0.75,0.034482758620689655,0.8596491228070176,0.8575987467852947,0.7882892877580701
Add the olive oil and garlic.,,0.8695652173913043,0.07142857142857142,0.9019607843137255,0.8340254775616762,0.7917995562252012
Adding lemon is a great idea.,,0.5384615384615384,0.06451612903225806,0.7543859649122807,0.8549744421830726,0.7572033880975115
"After Hollin left, the hours dragged.",,0.6176470588235294,0.05263157894736842,0.7916666666666666,0.8171160363095666,0.7571463921899468
"Ah, everybody screws up some, Brian.",,0.7037037037037037,0.06451612903225806,0.8275862068965517,0.8661073135879442,0.7805894478559812
"Ah, good evening, my dear Duroc.",,0.8484848484848485,0.05714285714285714,0.8970588235294118,0.8661073135879442,0.7994496356565396
Alaska banned wolf hunting by airplanes.,,0.7307692307692307,0.0,0.875,0.8366511245263318,0.7962211786251542
"Alexander Eidenier, Alvordton, Ohio, speed, 130.",,0.7857142857142857,0.21875,0.7833333333333333,0.8387685156222667,0.8015883828136214
"Alissa Weiss comes from Philadelphia, Pennsylvania.",,0.9444444444444444,0.15789473684210525,0.8918918918918919,0.8512762015597174,0.8269899361251777
All Russian troops must leave immediately.,,0.7407407407407407,0.03125,0.864406779661017,0.8298370422498302,0.75912456691205
"All right, Angela Poe in Mobile.",,0.6538461538461539,0.12903225806451613,0.7719298245614035,0.8394449631615055,0.7949825338391513
All that was left was ash.,,0.8333333333333334,0.06060606060606061,0.8888888888888888,0.8293433635308495,0.7638727108934121
"Allen Chernoff live from Biloxi, Mississippi.",,0.8333333333333334,0.027777777777777776,0.9027777777777778,0.8680966526539832,0.8305655672604165
Allow the battery to recharge overnight.,,0.78125,0.11764705882352941,0.8333333333333334,0.7716175521227385,0.7381576148607017
"Along with that, life isn't fair.",,0.46153846153846156,0.038461538461538464,0.7115384615384616,0.7579267560294073,0.7361340593404664
Also audio has a wavy sound.,,0.8571428571428571,0.03225806451612903,0.9152542372881356,0.8010926116039639,0.7625668435530398
"Always smile, never be too serious.",,0.6666666666666666,0.02631578947368421,0.8309859154929577,0.7536256211926733,0.7259153832706774
Amazing cute dorm room decor ideas.,,0.6666666666666666,0.03125,0.8225806451612904,0.838185810703486,0.7830051084347561
Amish Made Mini carts and supplies!,,0.7096774193548387,0.03333333333333333,0.8360655737704918,0.8541316631536052,0.7961942357592662
And Gerry was definitely physically strong.,,0.5853658536585366,0.023255813953488372,0.7857142857142857,0.8111440744572675,0.7300308282745508
And I got a clean record.,,0.6,0.045454545454545456,0.7974683544303798,0.7758237076886869,0.7404881369306855
And I had the afternoons free.,,0.2903225806451613,0.06060606060606061,0.625,0.7864405662708103,0.7599417683280106
And I have no idea why.,,0.47619047619047616,0.14814814814814814,0.6875,0.7982407675236272,0.7599175722421495
And I must stay with him.,,0.3333333333333333,0.0975609756097561,0.625,0.7500438342167177,0.7402683301318103
And I struggle to walk properly.,,0.8181818181818182,0.038461538461538464,0.8958333333333334,0.7500438342167177,0.7290118056239979
And I think Mark is right.,,0.2962962962962963,0.0,0.6666666666666666,0.7782211032143155,0.7615953534622979
And below the Cuckoo Flower watercolor.,,0.631578947368421,0.0,0.825,0.868776577263455,0.7960209161486901
"And besides, it had been satisfying.",,0.36363636363636365,0.08,0.6595744680851063,0.7500438342167177,0.7321036934074107
And do not worry for Max.,,0.5945945945945946,0.0,0.8076923076923077,0.8005297348955607,0.7600154292810073
"And every cat's watching, ain't they?",,0.44,0.03571428571428571,0.7169811320754716,0.7500438342167177,0.7398270639927766
"And from Quitman, Texas, ""It's funny.""",,0.8148148148148148,0.03333333333333333,0.8947368421052632,0.8507358722230743,0.8140840958389249
And getting better all the time.,,0.6296296296296297,0.05555555555555555,0.8095238095238095,0.7502604406760229,0.7411710324410823
And he'll turn 70 in September.,,0.8571428571428571,0.03225806451612903,0.9152542372881356,0.8745418198242532,0.8011430264540329
And her dear great grandchild Jameson.,,0.5882352941176471,0.02631578947368421,0.7916666666666666,0.8468051584003872,0.7881380159783421
And increasingly those pleasures were youthful.,,0.4722222222222222,0.07317073170731707,0.7142857142857143,0.7633534358093187,0.732258971568596
And it was pins and needles.,,0.4,0.0,0.7272727272727273,0.7967639285422108,0.7613000687269124
And look what we have left.,,0.3076923076923077,0.10714285714285714,0.6111111111111112,0.7903754246161112,0.760935894224397
"And maybe Rio, Salvador and Argentina.",,0.84,0.06666666666666667,0.8909090909090909,0.8609046514192087,0.8009189356209827
And my son in intensive care.,,0.8571428571428571,0.05714285714285714,0.9,0.8443835261827906,0.7827057909470846
And so every state is different.,,0.5806451612903226,0.075,0.7746478873239436,0.7500438342167177,0.7401122799853684
And some hotshot SAC from Nevada.,,0.6785714285714286,0.03225806451612903,0.8305084745762712,0.8693850199028877,0.8057408681425345
"And still it came, pushing forward.",,0.45161290322580644,0.05405405405405406,0.7205882352941176,0.7742411652080613,0.7408631331616281
And that petite lasagna looks amazing!,,0.7222222222222222,0.045454545454545456,0.85,0.8618381895455508,0.7925930695760443
And that's what he had yesterday.,,0.39473684210526316,0.075,0.6666666666666666,0.7883248076503382,0.7655369834370802
And that's where we left it.,,0.5,0.16129032258064516,0.6779661016949152,0.7903754246161112,0.7630718794270197
And the clothing is somewhat interesting.,,0.5714285714285714,0.02857142857142857,0.7714285714285715,0.7805337796414972,0.7410164056505097
And they had many phone conferences.,,0.43333333333333335,0.029411764705882353,0.71875,0.7653797656681497,0.7420735428929907
And we bombed Sudan and Afghanistan.,,0.8571428571428571,0.0,0.9375,0.83780180535662,0.7852739618427499
And we can get even better.,,0.4482758620689655,0.03333333333333333,0.711864406779661,0.751232915579926,0.7399361146543096
And we don't live in Manhattan.,,0.6551724137931034,0.03333333333333333,0.8135593220338984,0.8470502829503541,0.7874056509808326
And we wrestle to the death.,,0.6,0.07317073170731707,0.7654320987654321,0.8034893593571885,0.757547335097431
And weak force during acquisitive accuracy.,,0.32142857142857145,0.0967741935483871,0.6271186440677966,0.8129087833088856,0.7605024628718481
And you have excellent survival skills.,,0.6,0.13157894736842105,0.7397260273972602,0.7500438342167177,0.7315331654018545
And you will give me occasion.,,0.37037037037037035,0.0,0.6909090909090909,0.7500438342167177,0.7286730667838586
And you'd be correct every time.,,0.6896551724137931,0.029411764705882353,0.8412698412698413,0.7500438342167177,0.7298226290761112
Andrea and Kenny want titanium hammers.,,0.76,0.034482758620689655,0.8703703703703703,0.8371879070212884,0.7929076028579485
"Andy, Catie, and Sharon waved goodbye.",,0.6571428571428571,0.05128205128205128,0.8108108108108109,0.87535543977508,0.8042748121645654
Another manner is to time entries.,,0.13793103448275862,0.0,0.576271186440678,0.762081883606439,0.7355712265128185
"Another son, Hugo, was Laila's grandfather.",,0.6875,0.0,0.8529411764705882,0.8443835261827906,0.7944255997680914
"Another, better moment would present itself.",,0.35294117647058826,0.047619047619047616,0.6842105263157895,0.762081883606439,0.737447229709492
Antimatter is yin to matter's yang.,,0.7931034482758621,0.0,0.9,0.8549601690874401,0.8004931093027079
Anyone tried to implement such features?,,0.6285714285714286,0.19047619047619047,0.7272727272727273,0.7450351651102644,0.7272353802104529
Apartments in Akron during the 1950's.,,0.7804878048780488,0.08888888888888889,0.8488372093023255,0.8547617221744267,0.7961849059669163
Apparently even Madonna owns an Andraab.,,0.8095238095238095,0.0,0.9058823529411765,0.8641953866639491,0.7861776870007618
Are cash rebates legal in Nevada?,,0.7575757575757576,0.0,0.8823529411764706,0.8693850199028877,0.7947081499920129
Are impeachment hearings on the horizon?,,0.7391304347826086,0.0,0.8867924528301887,0.7893573652546088,0.7590284292672101
Are videos downloadable from video egg?,,0.7714285714285715,0.027777777777777776,0.8732394366197183,0.8377820900186349,0.810759402155734
Are you a budding young feminist?,,0.8888888888888888,0.02564102564102564,0.9333333333333333,0.815644261741834,0.7644729072114766
Are you afraid of growing competition?,,0.7333333333333333,0.0625,0.8387096774193549,0.7474907553793113,0.7294325229531529
Are you afraid to be happy?,,0.6756756756756757,0.023809523809523808,0.8354430379746836,0.7526929104452994,0.7256696924353417
Aren't we full of ourselves today?,,0.6756756756756757,0.025,0.8311688311688312,0.7896109774616297,0.7312766642417716
Ari was alone with the Lieutenant.,,0.5882352941176471,0.10526315789473684,0.75,0.8818039878876255,0.7858665310741387
"Arrogant, sometimes ruthless people, but still.",,0.5897435897435898,0.09523809523809523,0.7530864197530864,0.7571641415762408,0.7346411788839368
"As Lieutenant Spock would say, fascinating.",,0.71875,0.05714285714285714,0.835820895522388,0.8636837642151982,0.7926633228314302
As continental masses of the past.,,0.36363636363636365,0.0,0.7162162162162162,0.8016710737132089,0.7582577925227096
As opposed to being more spiritual.,,0.43478260869565216,0.038461538461538464,0.7142857142857143,0.7820220625051966,0.7339499744501784
"At the ""Guardian"" newspaper in London.",,0.775,0.022727272727272728,0.8809523809523809,0.8100858018122106,0.7922710009598881
"Atmosphere: Small BYO, upscale and unique.",,0.8846153846153846,0.06060606060606061,0.9152542372881356,0.8485298350257575,0.76094123631536
"Aw, Tommy, c'mon, it ain't that.",,0.6363636363636364,0.0,0.8285714285714286,0.8907888143404277,0.8135800002718774
"Aw, c'mon -- anybody can get hungry.",,0.7272727272727273,0.02857142857142857,0.8529411764705882,0.8907888143404277,0.7967699333435442
"Aw, c'mon, it's just a bug.",,0.7058823529411765,0.05555555555555555,0.8285714285714286,0.8907888143404277,0.8012987195007916
"Aw, it's gotta be a typo.",,0.8181818181818182,0.0,0.9154929577464789,0.8734966561323938,0.7885981207625864
Baby broccoli grows on old plants.,,0.8,0.03333333333333333,0.8909090909090909,0.869627411518365,0.8064094498375677
"Bandits, rustlers, Texas rednecks, Kiowa, Comanche.",,0.9166666666666666,0.03225806451612903,0.9454545454545454,0.864582448759288,0.8299565635240563
"Barak shrugged, hefting a boar spear.",,0.65625,0.05405405405405406,0.8115942028985508,0.842767646527235,0.795475563575816
Barbara Bush got rid of Sununu.,,0.8648648648648649,0.023809523809523808,0.9240506329113924,0.8168532319472109,0.7823620621071933
"Barbara Church, and a silver mine.",,0.7037037037037037,0.0625,0.8305084745762712,0.8408866325181447,0.7808804451014453
Barbara indicated the gleaming silver pots.,,0.6785714285714286,0.03225806451612903,0.8305084745762712,0.8408866325181447,0.7824334345733243
"Barbara meyers, Marriage, old dogs, retirement.",,0.7407407407407407,0.06666666666666667,0.8421052631578947,0.8398005826453733,0.8198987403997107
Barbara was bleeding and in pain.,,0.6923076923076923,0.1,0.8035714285714286,0.8168532319472109,0.7801885528105666
"Barnard Thomas, manager of the hotel.",,0.71875,0.10810810810810811,0.8115942028985508,0.8338487281982535,0.764865796501626
Basic usage of the date class.,,0.4,0.05128205128205128,0.7101449275362319,0.8181617113401036,0.7602438603327007
Bayliss is not keen on seafood.,,0.5277777777777778,0.02564102564102564,0.76,0.8355668179246073,0.7581092442187974
"Be forward, I heard Finn say.",,0.5357142857142857,0.03125,0.7666666666666667,0.8393703193298703,0.7564413958680137
"Beast restaurant, london havwoods wood flooring.",,0.4782608695652174,0.0,0.76,0.8091015987102214,0.7841075635153496
Beat in egg and vanilla extract.,,0.7777777777777778,0.0,0.8983050847457628,0.8377820900186349,0.7964552570717394
"Beautiful and cute card, fabulous colouring.",,0.5714285714285714,0.075,0.76,0.838185810703486,0.7817642179848954
Beautiful photos of a beautiful couple!,,0.7741935483870968,0.06060606060606061,0.859375,0.8272856421384596,0.7574468326135126
Because Jamie can't make a commitment.,,0.6,0.03333333333333333,0.8,0.8068576491599646,0.7592351941362309
Because that would be too easy.,,0.3870967741935484,0.09090909090909091,0.65625,0.7562427422418643,0.7362326442388204
Because there were four separate items.,,0.3783783783783784,0.1,0.6493506493506493,0.7519945221137818,0.7331249974396763
Because they have already earned enough.,,0.3611111111111111,0.09302325581395349,0.6582278481012658,0.7642719282471571,0.7418463886611479
Because this could mark their comeback.,,0.32142857142857145,0.034482758620689655,0.6491228070175439,0.7845331826685802,0.7575627489699936
Because we're almost out of time.,,0.34375,0.07317073170731707,0.6712328767123288,0.7592980517142168,0.7410017464224473
Because you have credit card debt.,,0.7142857142857143,0.05128205128205128,0.8378378378378378,0.802282506904977,0.7570752079304078
"Besides, he had to get away.",,0.5151515151515151,0.14285714285714285,0.7066666666666667,0.7525757647541412,0.7397345897510643
"Besides, you might even learn something.",,0.6111111111111112,0.15789473684210525,0.7297297297297297,0.7503657327001902,0.7407054829244869
Better having two choices than one.,,0.5588235294117647,0.024390243902439025,0.7866666666666666,0.7394852349788387,0.7291457583052887
Better if I just show you.,,0.5277777777777778,0.075,0.7368421052631579,0.7498828365921736,0.7384886978788338
Better than I'd ever felt before.,,0.5454545454545454,0.13157894736842105,0.7183098591549296,0.7903465025770311,0.7414177374374203
Better than knowing individuals any day.,,0.4,0.023809523809523808,0.6951219512195121,0.7775143322558109,0.7287246342162582
Between the minotaur and Eden's Sage.,,0.7027027027027027,0.02564102564102564,0.8421052631578947,0.8298271746861742,0.7866412526753751
"Big labor, small labor, me personally.",,0.7878787878787878,0.05405405405405406,0.8714285714285714,0.8012710913681416,0.7565379922402887
"Bill Tucker, thank you very much.",,0.6206896551724138,0.0,0.8225806451612904,0.8107481532264594,0.7609008331211052
Black nail polish and guy liner.,,0.8214285714285714,0.03125,0.9,0.8592689626053737,0.793128724682314
Blake let out a grating sigh.,,0.6060606060606061,0.0,0.8169014084507042,0.8016429156654785,0.7651227075844207
Blood oozes up between his lips.,,0.84,0.0,0.9183673469387755,0.8513590799865901,0.7856654957789786
Bobby Peru probably killed the most.,,0.7804878048780488,0.021739130434782608,0.8850574712643678,0.8460909402867054,0.7792114682184912
Both companies will sell the software.,,0.7575757575757576,0.029411764705882353,0.8656716417910447,0.7759601406107218,0.7401528963517046
Both sides are reporting heavy losses.,,0.75,0.14705882352941177,0.803030303030303,0.7374996123810035,0.7288315827063041
Bourbon Street ain't ever this dark.,,0.8181818181818182,0.0,0.9117647058823529,0.837328433183081,0.7808627276770516
Box opened to take photos only.,,0.4642857142857143,0.03571428571428571,0.7142857142857143,0.8272856421384596,0.7603168477446595
"Boy, sweetie, this is weird, okay.",,0.7428571428571429,0.05263157894736842,0.8493150684931506,0.8502957954947363,0.7995204832901441
"Breaking news tonight, live, Philadelphia suburbs.",,0.6956521739130435,0.0,0.851063829787234,0.8327507826994054,0.7915558582925103
Brian Friel; edited by Peter Fallon.,,0.7105263157894737,0.024390243902439025,0.8481012658227848,0.8535143392143356,0.8197042395156044
"Bright, bold, textured and extremely innovative.",,0.6551724137931034,0.125,0.7704918032786885,0.8047179485865019,0.738734782028339
Broad or complex understanding of health.,,0.3333333333333333,0.02857142857142857,0.676923076923077,0.7655388092921579,0.7397120983339108
Brownstones are back to being barren.,,0.6363636363636364,0.025,0.821917808219178,0.8177912282232582,0.7586891356732269
Burnett continued staring right at her.,,0.41379310344827586,0.03333333333333333,0.6949152542372882,0.8025926092254797,0.7649272817662544
But Daniel was not so lucky.,,0.68,0.20689655172413793,0.7407407407407407,0.8329284099210087,0.760078061173895
But I do love Emily Dickinson.,,0.7435897435897436,0.023255813953488372,0.8658536585365854,0.8237731380230531,0.7874947194028707
But I forced myself to breathe.,,0.4827586206896552,0.12903225806451613,0.6833333333333333,0.7698013256241081,0.7331902856769447
But I had already designed it.,,0.43902439024390244,0.021739130434782608,0.7241379310344828,0.7498828365921736,0.739850491698462
"But I'm a patriot, my dear.",,0.7878787878787878,0.075,0.863013698630137,0.8352159192041739,0.7850302256761689
But Jade was shaking her head.,,0.7142857142857143,0.1,0.8133333333333334,0.8374125295247801,0.7649328235256205
But Jasmine and Sheridan didn't smoke.,,0.7142857142857143,0.06896551724137931,0.8245614035087719,0.8458247699233898,0.7929264869272101
But Nick would not let go.,,0.4864864864864865,0.075,0.7142857142857143,0.8018012267350781,0.763020430593763
But Superman isn't an average man.,,0.7777777777777778,0.0,0.8983050847457628,0.8527864135453385,0.788026568775958
"But don't think it's over, Abby.",,0.5161290322580645,0.08823529411764706,0.7230769230769231,0.8473427390583107,0.7899397523571943
But everything is also getting better.,,0.6,0.14705882352941177,0.734375,0.7607447426860919,0.7404795863308667
"But for now, enjoy the footage.",,0.6842105263157895,0.10256410256410256,0.7922077922077922,0.7887374316670765,0.7572690033121665
But give it to me again.,,0.16129032258064516,0.05405405405405406,0.5882352941176471,0.7635185220920852,0.739040852643956
But he was still shaking slightly.,,0.5517241379310345,0.15625,0.7049180327868853,0.7525757647541412,0.73536405702434
But isn't quick weight loss dangerous?,,0.9090909090909091,0.0,0.9591836734693877,0.7505780006916172,0.7394171543610067
But it made me feel better.,,0.3076923076923077,0.19047619047619047,0.5679012345679012,0.7689636166491663,0.7404115219882436
But it was not peaceful sleep.,,0.7567567567567568,0.07317073170731707,0.8461538461538461,0.774930546866925,0.737391101614512
But it wasn't easy for him.,,0.5,0.21052631578947367,0.6571428571428571,0.7477675837705625,0.7346861329656104
But it's still clingy and sexy.,,0.8620689655172413,0.03125,0.9180327868852459,0.8492108054473803,0.7862687358503379
But my patience is wearing thin.,,0.6428571428571429,0.06896551724137931,0.7894736842105263,0.7855695386182101,0.763585639975133
But now it is the left.,,0.525,0.11627906976744186,0.7108433734939759,0.7903754246161112,0.7608871499563413
But now the forests have returned.,,0.5625,0.02564102564102564,0.7887323943661971,0.7887374316670765,0.756394340137878
"But really, Bruce, put it away.",,0.6857142857142857,0.10256410256410256,0.7972972972972973,0.8235113358306224,0.7564011135950167
But still Tom seemed to hesitate.,,0.3333333333333333,0.0,0.6811594202898551,0.8157360511824295,0.7395202273558059
But still it wasn't nearly enough.,,0.3448275862068966,0.25,0.5573770491803278,0.7453023508345947,0.7338414651627053
"But still, you can't be sure.",,0.5263157894736842,0.05,0.7435897435897436,0.7894603668585176,0.7376228063063458
But strict harmonious symmetry of parts.,,0.32558139534883723,0.06666666666666667,0.6363636363636364,0.7731957617234606,0.7400172547069667
But the procedure isn't for everyone.,,0.6756756756756757,0.09523809523809523,0.7974683544303798,0.7502604406760229,0.7407359502423201
But they hold up remarkably well.,,0.5862068965517241,0.13333333333333333,0.7288135593220338,0.7522382353680793,0.7331620514365785
But they were still out there.,,0.25,0.0967741935483871,0.6181818181818182,0.7592980517142169,0.7389919816982339
But this bastard son of his...,,0.7241379310344828,0.03125,0.8524590163934426,0.8446061272626647,0.7808256262035845
But those plastic ties are unbreakable.,,0.7419354838709677,0.06060606060606061,0.84375,0.8143222078797323,0.7588388166783075
But we will not offer terms.,,0.45161290322580644,0.029411764705882353,0.7230769230769231,0.7494757490507746,0.735633396935786
But what if they serve soup?,,0.7837837837837838,0.05128205128205128,0.868421052631579,0.8342581800842855,0.76091039576805
But whenever he was with her...,,0.5,0.0,0.7580645161290323,0.7525757647541412,0.7373308276126984
But would Scarecrow really beat Wolverine?,,0.8888888888888888,0.0,0.9454545454545454,0.8409728678868911,0.7854225833191469
But you just made strong statements.,,0.2894736842105263,0.0,0.6582278481012658,0.7689636166491663,0.7344832600085279
But you see a continuing problem.,,0.34375,0.02857142857142857,0.6716417910447762,0.7768508885023395,0.7418895458198373
"But, what about snake tattoo guy?",,0.7941176470588235,0.05128205128205128,0.8767123287671232,0.8439793461902281,0.7956941810708615
Buy Prevacid Lansoprazole online without prescriptions.,,0.6666666666666666,0.0,0.8414634146341463,0.8897734241272254,0.8279238868256377
"By Mallory Craig, Director of Clock.",,0.7333333333333333,0.058823529411764705,0.84375,0.8062230014021957,0.7800679768923886
CNN's Brian Cabell looks into that.,,0.8205128205128205,0.022222222222222223,0.9047619047619048,0.8137555059469539,0.7852561157875956
Cabins were very clean and comfortable.,,0.7222222222222222,0.05128205128205128,0.84,0.760709027328702,0.721379257745523
"Cairo, Egypt, for Mel Gibson - hello.",,0.9666666666666667,0.12121212121212122,0.9206349206349206,0.8649561034729645,0.8277895167768157
"Calumet City, Illinois, ladies and gentlemen.",,0.7878787878787878,0.07692307692307693,0.8611111111111112,0.8440753402081708,0.797997208090675
Cambodian Service is Sunday at 11:00am.,,0.7142857142857143,0.07692307692307693,0.8297872340425532,0.8482526013015592,0.7848037720965395
"Can I tell you something, Maria?",,0.6923076923076923,0.03225806451612903,0.8421052631578947,0.8254196039356432,0.7586393457079326
Can a bru53x replace a bru5g?,,0.9166666666666666,0.0975609756097561,0.9090909090909091,0.751232915579926,0.741718601122409
Can anyone give me any tips?,,0.631578947368421,0.0,0.8205128205128205,0.7785280230323744,0.7385985885905436
Can fashion save the world's forests?,,0.5454545454545454,0.02702702702702703,0.7714285714285715,0.7794022817984471,0.75852990775656
Can you hear me better now?,,0.6153846153846154,0.13953488372093023,0.7439024390243902,0.7887374316670764,0.7423219578015702
Cape wind white brand logo font?,,0.5357142857142857,0.0,0.7796610169491526,0.8189370372085941,0.7860266406719479
Captain Chas Turner pursed his lips.,,0.6896551724137931,0.06451612903225806,0.8166666666666667,0.8372033468405751,0.7991422149871724
"Captain Miller, I appreciate this opportunity...",,0.6666666666666666,0.08108108108108109,0.7945205479452054,0.8254791382777381,0.7594545711025393
Castle covered by a force field?,,0.6857142857142857,0.02564102564102564,0.8378378378378378,0.7933374637386144,0.7613789088924888
Certain skills you just never forgot.,,0.6,0.037037037037037035,0.7884615384615384,0.787023198176833,0.7400001234492157
Certainly it is a formal step.,,0.2857142857142857,0.025,0.6533333333333333,0.7470328671417908,0.7346870036450591
Change them if they become damp.,,0.6206896551724138,0.03225806451612903,0.8,0.7462103552487158,0.7294959357285996
Changing the constitution is not easy.,,0.717948717948718,0.025,0.8481012658227848,0.8008541946892682,0.7405801591871551
Chester Street will definitely be tricky.,,0.47368421052631576,0.0,0.75,0.8255174015835944,0.7541472371227981
Chili Palmer showed you my script?,,0.6153846153846154,0.04878048780487805,0.7875,0.8575987467852947,0.7842876960534196
Chloe swiveled around in her chair..,,0.84375,0.08108108108108109,0.8840579710144928,0.8235434343863093,0.7974600486112179
Chloe wrapped her arms around Connor.,,0.8235294117647058,0.16216216216216217,0.8309859154929577,0.8306807809199972,0.7839278260949794
"Christ Ministry Center, 3295 Meade Ave.",,0.84375,0.06060606060606061,0.8923076923076924,0.8444328030950085,0.8073535622717177
Christ loves and died for ALL.,,0.9,0.02702702702702703,0.9402985074626866,0.8450715275103077,0.7796401297177765
Church attendance numbers fluctuate by branch.,,0.75,0.025,0.868421052631579,0.7805336748508787,0.7598645413533941
Church is not going to die.,,0.8787878787878788,0.02631578947368421,0.9295774647887324,0.8210495143340001,0.7598721932427166
"Citizens' sons, almost all of them.",,0.6666666666666666,0.023809523809523808,0.8271604938271605,0.8058471309494176,0.7417303430110529
Click here to view their entry.,,0.7435897435897436,0.07317073170731707,0.8375,0.7915644057910319,0.7590351715191795
"Coaster II, the maple syrup ship.",,0.6363636363636364,0.0,0.8297872340425532,0.8801491673177915,0.8014312270000489
Collection of Ford e350 wiring diagram.,,0.6764705882352942,0.02857142857142857,0.8260869565217391,0.8764024476003586,0.782232360106975
"Colleen: My gosh, a GCU sweatshirt!",,0.7878787878787878,0.0,0.9,0.883221152244926,0.8117489092262229
Come on -- I've got another idea.,,0.41379310344827586,0.0625,0.6885245901639344,0.7793295174259939,0.7595009590497181
"Come on, man -- Vietnam ain't Germany.",,0.8260869565217391,0.0,0.9183673469387755,0.8322809586831061,0.7908410403590281
Coming up on the left flank.,,0.5925925925925926,0.06666666666666667,0.7719298245614035,0.7953086094469456,0.7627345500922433
"Comprehension of short, easy personal letters.",,0.34615384615384615,0.037037037037037035,0.660377358490566,0.7973863642648746,0.7417723393286154
Confirm that the list is accurate.,,0.48148148148148145,0.06666666666666667,0.7192982456140351,0.7691287235218878,0.7368278183477094
Congratulations on history's longest winning streak.,,0.7142857142857143,0.05128205128205128,0.8378378378378378,0.7972475514730455,0.7591876888670499
"Congressman Henry Hyde, Republican of Illinois.",,0.8787878787878788,0.05263157894736842,0.9154929577464789,0.8440753402081708,0.7902283713088963
Convincing the public hasn't proven easy.,,0.5185185185185185,0.06666666666666667,0.7368421052631579,0.7502604406760229,0.7203867376701634
"Coop said, excited with the idea.",,0.5151515151515151,0.05555555555555555,0.7391304347826086,0.8386145734480022,0.760405282663177
Cost effective plans for every business.,,0.37037037037037035,0.10344827586206896,0.6428571428571429,0.753358729743783,0.7377968240436372
"Coupon is 5%, payable in yen.",,0.7368421052631579,0.0,0.8888888888888888,0.8588003689848551,0.8087381766444649
Courtesy of Philadelphia Photo Arts Center.,,0.5945945945945946,0.023255813953488372,0.8,0.8327507826994054,0.7899611040634112
