,pilot3_identifier,sentence,sent_identifier,cond,cond_selection,sent_identifier_old_orig_pilot3.1,sent_cat,sent_cat_add,drop_bool,change_bool,mean_mem
44,pilot3sessM.0045,"Cattle, wagons, horses, all going west.",torontoadv.6.053830,T,semantic,torontoadv.6.053830,NAS,,,,0.7676859171496955
45,pilot3sessM.0046,They bring peace in a conflict.,torontoadv.6.026860,T,semantic,torontoadv.6.026860,,,,,0.7549268102521917
46,pilot3sessM.0047,He pointed at the smaller circle.,torontoadv.6.017070,T,semantic,torontoadv.6.017070,,,,,0.7592380691917094
47,pilot3sessM.0048,Light from a fire burned inside.,torontoadv.6.044007,T,semantic,torontoadv.6.044007,,,,,0.7518630976858249
48,pilot3sessM.0049,This is so simple and easy.,torontoadv.6.057626,T,semantic,torontoadv.6.057626,,,,,0.7407781264824433
49,pilot3sessM.0050,"However, they were much too large.",torontoadv.6.039102,T,semantic,torontoadv.6.039102,,,,,0.7392712200900943
50,pilot3sessM.0051,Sweaty hair clinging to his forehead.,torontoadv.6.031978,T,semantic,torontoadv.6.031978,NAS,NP,,,0.766577369298894
51,pilot3sessM.0052,Can we pursue him for robbery?,torontoadv.6.054168,T,semantic,torontoadv.6.054168,Q,,,,0.7411057052504108
52,pilot3sessM.0053,Every now and then she stopped.,torontoadv.6.053846,T,semantic,torontoadv.6.053846,,,,,0.7555265976058188
53,pilot3sessM.0054,Instead he dug a little deeper:,torontoadv.6.027501,T,semantic,torontoadv.6.027501,,,,,0.7542900718773405
54,pilot3sessM.0055,A gun fired into the air.,torontoadv.6.058829,T,semantic,torontoadv.6.058829,,,,,0.7679050819402891
55,pilot3sessM.0056,I cannot debate the truth fact.,torontoadv.6.057658,T,semantic,torontoadv.6.057658,,,,,0.7476445666720606
56,pilot3sessM.0057,Could you loan it to me?,torontoadv.6.049996,T,semantic,torontoadv.6.049996,Q,,,,0.7356476860193369
57,pilot3sessM.0058,Perhaps we can catch some fish.,torontoadv.6.004515,T,semantic,torontoadv.6.004515,,,,,0.7425180904866174
58,pilot3sessM.0059,"There'll be towels, soap, and all.",torontoadv.6.060922,T,semantic,torontoadv.6.060922,,,,,0.7674760012415716
59,pilot3sessM.0060,Was he still in the laboratory?,torontoadv.6.013709,T,semantic,torontoadv.6.013709,Q,,,,0.7647475632893587
60,pilot3sessM.0061,He was a tall muscular man.,torontoadv.6.060226,T,semantic,torontoadv.6.060226,,,,,0.764734395521271
61,pilot3sessM.0062,Its small head resembled a deer.,torontoadv.6.009997,T,semantic,torontoadv.6.009997,,,,,0.7656253448627567
62,pilot3sessM.0063,He finally hit the ball back.,torontoadv.6.050961,T,semantic,torontoadv.6.050961,,,,,0.7698886707683426
63,pilot3sessM.0064,Already inflation was destabilizing financial markets.,torontoadv.6.060531,T,semantic,torontoadv.6.060531,,,,,0.7559570657580332
64,pilot3sessM.0065,"It was a cylindrical, rocky chamber.",torontoadv.6.022227,T,semantic,torontoadv.6.022227,,,,,0.762599266343495
65,pilot3sessM.0066,We ate it up like candy.,torontoadv.6.041181,T,semantic,torontoadv.6.041181,,,,,0.7878220520124818
66,pilot3sessM.0067,The weather was warm and dry.,torontoadv.6.018937,T,semantic,torontoadv.6.018937,,,,,0.7455680092304006
67,pilot3sessM.0068,His hand descended towards the king.,torontoadv.6.004797,T,semantic,torontoadv.6.004797,,,,,0.7572222117625783
68,pilot3sessM.0069,He told her the truth unabashedly.,torontoadv.6.029005,T,semantic,torontoadv.6.029005,,,,,0.7494247401034584
69,pilot3sessM.0070,His tea was black but sweetened.,torontoadv.6.006567,T,semantic,torontoadv.6.006567,,,,,0.789269360814907
70,pilot3sessM.0071,You got an elephant up there?,torontoadv.6.013061,T,semantic,torontoadv.6.013061,Q,,,,0.7721166851169871
71,pilot3sessM.0072,A loud rumbling noise interrupted him.,torontoadv.6.043171,T,semantic,torontoadv.6.043171,,,,,0.7285267297365875
72,pilot3sessM.0073,This lady was an outrageous girl.,torontoadv.6.023104,T,semantic,torontoadv.6.023104,,,,,0.7815881664407995
73,pilot3sessM.0074,He only doubted his own abilities.,torontoadv.6.020531,T,semantic,torontoadv.6.020531,,,,,0.7489690927658607
74,pilot3sessM.0075,The first floor had retail shops.,torontoadv.6.043426,T,semantic,torontoadv.6.043426,,,,,0.7606121033165817
75,pilot3sessM.0076,His demeanor was cynical and angry.,torontoadv.6.032711,T,semantic,torontoadv.6.032711,,,,,0.7438327979828337
76,pilot3sessM.0077,It does wonders for the soul.,torontoadv.6.039142,T,semantic,torontoadv.6.039142,,,,,0.7716187516951042
77,pilot3sessM.0078,His organization did some fantastic work.,torontoadv.6.016466,T,semantic,torontoadv.6.016466,,,,,0.757012801917166
78,pilot3sessM.0079,It was a night to celebrate.,torontoadv.6.038173,T,semantic,torontoadv.6.038173,,,,,0.7491020522497678
79,pilot3sessM.0080,Another driver waited in a car.,torontoadv.6.021332,T,semantic,torontoadv.6.021332,,,,,0.7658157990043604
80,pilot3sessM.0081,He is quite sick and weak.,torontoadv.6.034028,T,semantic,torontoadv.6.034028,,,,,0.746244849898854
81,pilot3sessM.0082,Was he still in the garden?,torontoadv.6.047936,T,semantic,torontoadv.6.047936,Q,,,,0.7652624111694064
82,pilot3sessM.0083,We accept most proudly and eagerly.,torontoadv.6.003950,T,semantic,torontoadv.6.003950,,,,,0.7290734947006065
83,pilot3sessM.0084,He truly was a skilled marksman.,torontoadv.6.046229,T,semantic,torontoadv.6.046229,,,,,0.7421930882959198
84,pilot3sessM.0085,His skin was waxy and grey.,torontoadv.6.030296,T,semantic,torontoadv.6.030296,,,,,0.7723207740082528
85,pilot3sessM.0086,He has had a distinguished career.,torontoadv.6.002479,T,semantic,torontoadv.6.002479,,,,,0.7443892859589551
86,pilot3sessM.0087,"Strangely, I did not feel nervous.",torontoadv.6.001190,T,semantic,torontoadv.6.001190,,,,,0.7470818464079444
87,pilot3sessM.0088,There is salad in that bowl.,torontoadv.6.056790,T,semantic,torontoadv.6.056790,,,,,0.7896696353265393
88,pilot3sessM.0089,"Carefully though, he packed them away.",torontoadv.6.046833,T,semantic,torontoadv.6.046833,,,,,0.7225133826011071
89,pilot3sessM.0090,Did you have a medical examination?,torontoadv.6.045023,T,semantic,torontoadv.6.045023,Q,,,,0.7593542583515008
90,pilot3sessM.0091,And tomorrow would be another day.,torontoadv.6.041371,T,semantic,torontoadv.6.041371,,,,,0.7642075390005774
91,pilot3sessM.0092,Is it because of the drugs?,torontoadv.6.020869,T,semantic,torontoadv.6.020869,Q,,,,0.761954160525093
92,pilot3sessM.0093,His mind sought a rational explanation.,torontoadv.6.027638,T,semantic,torontoadv.6.027638,,,,,0.7248538975931611
93,pilot3sessM.0094,"She did this intentionally, he thought.",torontoadv.6.050699,T,semantic,torontoadv.6.050699,,,,,0.7539332704956353
94,pilot3sessM.0095,She felt guilty about her deception.,torontoadv.6.000629,T,semantic,torontoadv.6.000629,,,,,0.7482280747109881
95,pilot3sessM.0096,He might need the knife again.,torontoadv.6.032355,T,semantic,torontoadv.6.032355,,,,,0.7529601916553647
96,pilot3sessM.0097,Without warning cameras started to flash.,torontoadv.6.057857,T,semantic,torontoadv.6.057857,,,,,0.7513901684625894
97,pilot3sessM.0098,Look at that painting over there.,torontoadv.6.010474,T,semantic,torontoadv.6.010474,com,,,,0.7746960830638653
98,pilot3sessM.0099,The brick walls extended high up.,torontoadv.6.061774,T,semantic,torontoadv.6.061774,,,,,0.7590759433893788
99,pilot3sessM.0100,He seemed quite unconcerned and relaxed.,torontoadv.6.018644,T,semantic,torontoadv.6.018644,,,,,0.7190035066732672
100,pilot3sessM.0101,What could frighten them this badly?,torontoadv.6.015141,T,semantic,torontoadv.6.015141,Q,,,,0.7545204701693852
101,pilot3sessM.0102,His sorrow gave way to anger.,torontoadv.6.037799,T,semantic,torontoadv.6.037799,,,,,0.7401037727893284
102,pilot3sessM.0103,Take me to a computer terminal.,torontoadv.6.034240,T,semantic,torontoadv.6.034240,com,,,,0.7501600937800667
103,pilot3sessM.0104,He wanted to investigate the victim.,torontoadv.6.015280,T,semantic,torontoadv.6.015280,,,,,0.7384537077139931
104,pilot3sessM.0105,We played out the poker hand.,torontoadv.6.007100,T,semantic,torontoadv.6.007100,,,,,0.7628321258450912
105,pilot3sessM.0106,You are quite smart and attentive.,torontoadv.6.040357,T,semantic,torontoadv.6.040357,,,,,0.7354155951154889
106,pilot3sessM.0107,The movie was a romantic comedy.,torontoadv.6.016470,T,semantic,torontoadv.6.016470,,,,,0.7776089838144576
107,pilot3sessM.0108,There was nothing but political commentary.,torontoadv.6.015805,T,semantic,torontoadv.6.015805,,,,,0.754175731442796
108,pilot3sessM.0109,Light is made up of photons.,torontoadv.6.014828,T,semantic,torontoadv.6.014828,,,,,0.7497226394005815
109,pilot3sessM.0110,You're one of our top students.,torontoadv.6.044834,T,semantic,torontoadv.6.044834,,,,,0.7512898760743868
110,pilot3sessM.0111,Please allow me to deliver it.,torontoadv.6.033219,T,semantic,torontoadv.6.033219,com,,,,0.7306933995826513
111,pilot3sessM.0112,"The judge spoke, breaking the silence.",torontoadv.6.028979,T,semantic,torontoadv.6.028979,,,,,0.7419435184471302
112,pilot3sessM.0113,She let out a choked laugh.,torontoadv.6.012708,T,semantic,torontoadv.6.012708,,,,,0.7514701325008145
113,pilot3sessM.0114,The seemingly impossible can be attained.,torontoadv.6.001173,T,semantic,torontoadv.6.001173,,,,,0.7218975488028877
114,pilot3sessM.0115,He stopped at the bedroom door.,torontoadv.6.032436,T,semantic,torontoadv.6.032436,,,,,0.7674928746942901
115,pilot3sessM.0116,She was inside a magnificent castle.,torontoadv.6.020579,T,semantic,torontoadv.6.020579,,,,,0.7581911210845723
116,pilot3sessM.0117,"Besides, it would be terribly unsafe.",torontoadv.6.040970,T,semantic,torontoadv.6.040970,,,,,0.7384455364163575
117,pilot3sessM.0118,Her wrist supported many gold bangles.,torontoadv.6.016434,T,semantic,torontoadv.6.016434,,,,,0.7745084407999073
118,pilot3sessM.0119,I feel the same way sometimes.,torontoadv.6.017768,T,semantic,torontoadv.6.017768,,,,,0.7391755163309727
119,pilot3sessM.0120,People need to respect the law.,torontoadv.6.056100,T,semantic,torontoadv.6.056100,,,,,0.7458882430986168
120,pilot3sessM.0121,The hairs on my skin rose.,torontoadv.6.024252,T,semantic,torontoadv.6.024252,,,,,0.7714382562749488
121,pilot3sessM.0122,A large band played folk tunes.,torontoadv.6.035525,T,semantic,torontoadv.6.035525,,,,,0.7642196224865451
122,pilot3sessM.0123,Your leg muscles will also ache.,torontoadv.6.045369,T,semantic,torontoadv.6.045369,,,,,0.782140888853735
123,pilot3sessM.0124,"After that, no others remained intact.",torontoadv.6.009499,T,semantic,torontoadv.6.009499,,,,,0.7418859178866537
124,pilot3sessM.0125,Many soldiers served in his army.,torontoadv.6.035997,T,semantic,torontoadv.6.035997,,,,,0.777083748120759
125,pilot3sessM.0126,It seemed to calm his anxiety.,torontoadv.6.013515,T,semantic,torontoadv.6.013515,,,,,0.7325373171604445
126,pilot3sessM.0127,I need it to impress her.,torontoadv.6.049998,T,semantic,torontoadv.6.049998,,,,,0.7415138681402645
127,pilot3sessM.0128,My assistant is bringing them out.,torontoadv.6.025181,T,semantic,torontoadv.6.025181,,,,,0.7540560481023107
128,pilot3sessM.0129,"Read me the book, then decide.",torontoadv.6.033455,T,semantic,torontoadv.6.033455,com,,,,0.7473286753150582
129,pilot3sessM.0130,Each has its own elected officials.,torontoadv.6.032453,T,semantic,torontoadv.6.032453,,,,,0.7491418942150202
130,pilot3sessM.0131,A voice came over his radio.,torontoadv.6.037236,T,semantic,torontoadv.6.037236,,,,,0.7615402527778548
131,pilot3sessM.0132,What help can you possibly need?,torontoadv.6.015974,T,semantic,torontoadv.6.015974,Q,,,,0.7455604928661881
132,pilot3sessM.0133,He was bleeding from the stomach.,torontoadv.6.051267,T,semantic,torontoadv.6.051267,,,,,0.7752033815997952
133,pilot3sessM.0134,She was wearing a long dress.,torontoadv.6.061383,T,semantic,torontoadv.6.061383,,,,,0.7597511288386727
134,pilot3sessM.0135,A photo appears on the screen.,torontoadv.6.055649,T,semantic,torontoadv.6.055649,,,,,0.7497206732373313
135,pilot3sessM.0136,The liquid was indeed fresh water.,torontoadv.6.033832,T,semantic,torontoadv.6.033832,,,,,0.7559735226658963
136,pilot3sessM.0137,This is the force field parameter.,torontoadv.6.057428,T,semantic,torontoadv.6.057428,,,,,0.7537216806380469
137,pilot3sessM.0138,There is no brain function left.,torontoadv.6.036944,T,semantic,torontoadv.6.036944,,,,,0.7699452223591904
138,pilot3sessM.0139,Many villages survive along the coast.,torontoadv.6.038366,T,semantic,torontoadv.6.038366,,,,,0.7541692648131204
139,pilot3sessM.0140,Consequences to us could prove fatal.,torontoadv.6.027274,T,semantic,torontoadv.6.027274,,,,,0.7372158250123612
140,pilot3sessM.0141,The pastor proclaimed to the congregation.,torontoadv.6.017864,T,semantic,torontoadv.6.017864,,,,,0.7669866963010966
141,pilot3sessM.0142,Their relationship took off from there.,torontoadv.6.043430,T,semantic,torontoadv.6.043430,,,,,0.765226354999521
142,pilot3sessM.0143,I can see the oak tree.,torontoadv.6.062055,T,semantic,torontoadv.6.062055,,,,,0.7698646318104628
143,pilot3sessM.0144,I studied and became a lawyer.,torontoadv.6.044155,T,semantic,torontoadv.6.044155,,,,,0.7755156988444362
144,pilot3sessM.0145,He inspected it with obvious satisfaction.,torontoadv.6.056316,T,semantic,torontoadv.6.056316,,,,,0.7304786847383796
145,pilot3sessM.0146,They finished eating their chicken dumplings.,torontoadv.6.056128,T,semantic,torontoadv.6.056128,,,,,0.7839794332531712
146,pilot3sessM.0147,His stomach pains worsened with time.,torontoadv.6.004446,T,semantic,torontoadv.6.004446,,,,,0.7672488295163746
147,pilot3sessM.0148,"That warrior is you, my son.",torontoadv.6.048049,T,semantic,torontoadv.6.048049,,,,,0.7766403005851817
148,pilot3sessM.0149,I could not escape this obligation.,torontoadv.6.003488,T,semantic,torontoadv.6.003488,,,,,0.7533529349185956
149,pilot3sessM.0150,The sky was bright and blue.,torontoadv.6.025947,T,semantic,torontoadv.6.025947,,,,,0.7590656621507567
150,pilot3sessM.0151,Why had the disease spared them?,torontoadv.6.052108,T,semantic,torontoadv.6.052108,Q,,,,0.7557329974098576
151,pilot3sessM.0152,Her energy level was too low.,torontoadv.6.039900,T,semantic,torontoadv.6.039900,,,,,0.7437678780552703
152,pilot3sessM.0153,He seemed extremely pleased with himself.,torontoadv.6.009233,T,semantic,torontoadv.6.009233,,,,,0.7150061632426156
153,pilot3sessM.0154,Spray and vapor filled the void.,torontoadv.6.018900,T,semantic,torontoadv.6.018900,,,,,0.7573251977527439
154,pilot3sessM.0155,He'd come because he had news.,torontoadv.6.061694,T,semantic,torontoadv.6.061694,,,,,0.7774925484256979
155,pilot3sessM.0156,I get paid no matter what.,torontoadv.6.059233,T,semantic,torontoadv.6.059233,,,,,0.761865493705162
156,pilot3sessM.0157,The great wheel began to turn.,torontoadv.6.006047,T,semantic,torontoadv.6.006047,,,,,0.7442244844187816
157,pilot3sessM.0158,His pants were clean white jeans.,torontoadv.6.050149,T,semantic,torontoadv.6.050149,,,,,0.7685500216334878
158,pilot3sessM.0159,It was wrapped in the plastic.,torontoadv.6.033874,T,semantic,torontoadv.6.033874,,,,,0.7620656988165017
159,pilot3sessM.0160,It almost seemed like a toy.,torontoadv.6.059288,T,semantic,torontoadv.6.059288,,,,,0.7513386853635229
160,pilot3sessM.0161,Her only plan was to delay.,torontoadv.6.016971,T,semantic,torontoadv.6.016971,,,,,0.7362059777261375
161,pilot3sessM.0162,A wooden table lay between them.,torontoadv.6.004720,T,semantic,torontoadv.6.004720,,,,,0.7490811023536027
162,pilot3sessM.0163,He pulled up on the knob.,torontoadv.6.002530,T,semantic,torontoadv.6.002530,,,,,0.7587312615210063
163,pilot3sessM.0164,You take me for a liar?,torontoadv.6.050700,T,semantic,torontoadv.6.050700,Q,,,,0.7533404650521612
164,pilot3sessM.0165,She grinned at the blonde girl.,torontoadv.6.010049,T,semantic,torontoadv.6.010049,,,,,0.7992650930326478
165,pilot3sessM.0166,But her eyes betrayed the truth.,torontoadv.6.041682,T,semantic,torontoadv.6.041682,,,,,0.7583674960507246
166,pilot3sessM.0167,The boat was ready to sail.,torontoadv.6.004422,T,semantic,torontoadv.6.004422,,,,,0.7352660203170572
167,pilot3sessM.0168,I like the openness and beauty.,torontoadv.6.057475,T,semantic,torontoadv.6.057475,,,,,0.7700304416162648
168,pilot3sessM.0169,The next house is kilometres away.,torontoadv.6.040118,T,semantic,torontoadv.6.040118,,,,,0.7631702908079179
169,pilot3sessM.0170,He could not say a word.,torontoadv.6.053730,T,semantic,torontoadv.6.053730,,,,,0.7630643406790996
170,pilot3sessM.0171,I saw the good guys win.,torontoadv.6.054465,T,semantic,torontoadv.6.054465,,,,,0.7650960350481933
171,pilot3sessM.0172,You connect it to a computer.,torontoadv.6.061104,T,semantic,torontoadv.6.061104,,,,,0.7460829482547844
172,pilot3sessM.0173,I dared him to do it.,torontoadv.6.000828,T,semantic,torontoadv.6.000828,,,,,0.7475599249575356
173,pilot3sessM.0174,Then she smiled faintly and nodded.,torontoadv.6.050966,T,semantic,torontoadv.6.050966,,,,,0.7385590308943861
174,pilot3sessM.0175,Are they going to expel her?,torontoadv.6.035063,T,semantic,torontoadv.6.035063,Q,,,,0.7514340976190607
175,pilot3sessM.0176,So he continued in his ignorance.,torontoadv.6.018314,T,semantic,torontoadv.6.018314,,,,,0.7577605321686839
176,pilot3sessM.0177,Now he must find the key.,torontoadv.6.031046,T,semantic,torontoadv.6.031046,,,,,0.7616820318919105
177,pilot3sessM.0178,They glared at one another heatedly.,torontoadv.6.045991,T,semantic,torontoadv.6.045991,,,,,0.774022045096566
178,pilot3sessM.0179,Savanah ordered a fried shrimp dinner.,torontofantasy.6.376135,T,semantic,torontofantasy.6.376135,,,,,0.8111322279628078
179,pilot3sessM.0180,If only to collect her belongings.,torontofantasy.6.134644,T,semantic,torontofantasy.6.134644,NAS,,,,0.7366836957066195
180,pilot3sessM.0181,"Back to your cage, little bird.",torontofantasy.6.462187,T,semantic,torontofantasy.6.462187,NAS,,,,0.7737655787788881
181,pilot3sessM.0182,The hesitant rhythm of the band.,torontofantasy.6.364346,T,semantic,torontofantasy.6.364346,NAS,NP,,,0.7470223991125059
182,pilot3sessM.0183,Ruthless... merciless... devoted to our cause.,torontofantasy.6.309133,T,semantic,torontofantasy.6.309133,NAS,,,,0.7320534490598553
183,pilot3sessM.0184,What about being amazing and wonderful?,torontofantasy.6.275365,T,semantic,torontofantasy.6.275365,Q,,,,0.7551419708771198
184,pilot3sessM.0185,Long after the flu epidemic ended.,torontofantasy.6.300529,T,semantic,torontofantasy.6.300529,NAS,,,,0.7764720317566586
185,pilot3sessM.0186,Faint bitterness and a relaxing flavor.,torontofantasy.6.203782,T,semantic,torontofantasy.6.203782,NAS,NP,,,0.7411353179235077
186,pilot3sessM.0187,Their stay was tranquil and pleasant.,torontofantasy.6.005982,T,semantic,torontofantasy.6.005982,,,,,0.7319310970696766
187,pilot3sessM.0188,Headed into the town's only bar.,torontofantasy.6.432850,T,semantic,torontofantasy.6.432850,NAS,,,,0.7724949813668425
188,pilot3sessM.0189,The one in jail for murder.,torontofantasy.6.428643,T,semantic,torontofantasy.6.428643,NAS,NP,,,0.7646487181483924
189,pilot3sessM.0190,To guard and keep and protect.,torontofantasy.6.103616,T,semantic,torontofantasy.6.103616,NAS,,,,0.7348749774869994
190,pilot3sessM.0191,"Scary and freaky sometimes, but awesome.",torontofantasy.6.456598,T,semantic,torontofantasy.6.456598,NAS,,,,0.7816665491585476
191,pilot3sessM.0192,That seemed like an absurd contradiction!,torontofantasy.6.076648,T,semantic,torontofantasy.6.076648,,,,,0.7536738254042604
192,pilot3sessM.0193,Will you sleep on the couch?,torontofantasy.6.219958,T,semantic,torontofantasy.6.219958,Q,,,,0.7594067673155017
193,pilot3sessM.0194,That is terribly difficult to overcome!,torontofantasy.6.083802,T,semantic,torontofantasy.6.083802,,,,,0.7231087446908973
194,pilot3sessM.0195,Put the white flag out first.,torontofantasy.6.166572,T,semantic,torontofantasy.6.166572,com,,,,0.7671035013703733
195,pilot3sessM.0196,The crowd burst into sudden cacophony.,torontofantasy.6.355686,T,semantic,torontofantasy.6.355686,,,,,0.7522974446421844
196,pilot3sessM.0197,He's too badly damaged and malnourished.,torontofantasy.6.373075,T,semantic,torontofantasy.6.373075,,,,,0.7604778045896246
197,pilot3sessM.0198,Or a cat and a dog.,torontofantasy.6.481974,T,semantic,torontofantasy.6.481974,NAS,,,,0.7769991695822114
198,pilot3sessM.0199,"It smelled bad, like rotten garbage.",torontofantasy.6.280474,T,semantic,torontofantasy.6.280474,,,,,0.7867305117741196
199,pilot3sessM.0200,Down by the abandoned train station.,torontofantasy.6.363926,T,semantic,torontofantasy.6.363926,NAS,,,,0.7626905303660673
200,pilot3sessM.0201,You have the poor girl terrified.,torontofantasy.6.304788,T,semantic,torontofantasy.6.304788,,,,,0.7540003667175147
201,pilot3sessM.0202,He handed her the leather bag.,torontofantasy.6.085809,T,semantic,torontofantasy.6.085809,,,,,0.769620035434445
202,pilot3sessM.0203,Her life was a horror film.,torontofantasy.6.409281,T,semantic,torontofantasy.6.409281,,,,,0.7672176002257979
203,pilot3sessM.0204,You wouldn't eat your fancy food.,torontofantasy.6.476298,T,semantic,torontofantasy.6.476298,,,,,0.7729036936120784
204,pilot3sessM.0205,"Would you like a drink, then?",torontofantasy.6.239073,T,semantic,torontofantasy.6.239073,Q,,,,0.7647670615569787
205,pilot3sessM.0206,"One, two, three, four, five, six-",torontofantasy.6.284565,T,semantic,torontofantasy.6.284565,NAS,,,,0.7446841259354864
