sentence,condition,correct,sent_identifier,index,original_index,item_id
Don't you think I know that?,filler,0.8070866141732284,cornellmov.6.034890,filler.02545,cornellmov.0212865,2545
We cannot always react like victims.,filler,0.975,,filler.02546,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.01002900,2546
They all run in the red.,filler,0.9742647058823529,cocaspok1999.6.011259,filler.02547,cocaspok1999.0151570,2547
Zane's fingers tapped on the tabletop.,filler,0.977859778597786,torontofantasy.6.445818,filler.02548,torontofantasy.5815430,2548
"""We're selling nostalgia,"" says Mr. Phillips.",filler,0.9452554744525548,wsj.6.002533,filler.02549,wsj.460482,2549
A detached numbness spread over me.,filler,0.9152542372881356,torontofantasy.6.472866,filler.02550,torontofantasy.6146817,2550
"In a rather, odd, unexpected way!",filler,0.9007352941176471,,filler.02551,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.03659183,2551
Dryer repair Bowie is our legacy.,filler,0.9675090252707581,,filler.02552,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.03611197,2552
"Oh, this is not Basel, Switzerland.",filler,0.9608540925266904,cocaspok1996.6.004273,filler.02553,cocaspok1996.0052381,2553
Not once did Art look back.,filler,0.9672727272727273,torontomyst.6.061595,filler.02554,torontomyst.857981,2554
"Second, Hank obviously set this up.",filler,0.967032967032967,torontomyst.6.115473,filler.02555,torontomyst.1529290,2555
"That's a very interesting question, Robin.",filler,0.9172413793103448,cocaspok1991.6.004106,filler.02556,cocaspok1991.0063266,2556
Go ahead - try it right now!,vigilance,0.8688524590163934,,filler.02557,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02574949,2557
Experience in developing restful web service.,filler,0.935251798561151,,filler.02558,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03054759,2558
"What's he got against you, anyway?",filler,0.8901098901098901,cornellmov.6.026637,filler.02559,cornellmov.0160211,2559
That's what Bush needs to do.,filler,0.9090909090909091,cocaspok2004.6.005898,filler.02560,cocaspok2004.0091806,2560
We continue now with President Bush.,filler,0.9044117647058824,cocaspok2009.6.000479,filler.02561,cocaspok2009.0005131,2561
And how is the artiste tonight?,vigilance,0.9626865671641791,cornellmov.6.034783,filler.02562,cornellmov.0212253,2562
I thought he'd stopped doing horror.,filler,0.9432624113475178,cornellmov.6.006049,filler.02563,cornellmov.0034331,2563
Choose from 4oz and 8oz bags.,vigilance,0.974169741697417,,filler.02564,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00916175,2564
A propeller driven console IO board.,filler,0.9320754716981132,,filler.02565,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01890722,2565
And I'm going to save Denaos.,filler,0.9407665505226481,torontofantasy.6.091893,filler.02566,torontofantasy.1351055,2566
Where do they get their stuff?,filler,0.888030888030888,cornellmov.6.030320,filler.02567,cornellmov.0183646,2567
"That made me happy too, haha.",filler,0.9704797047970479,,filler.02568,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.03537656,2568
Peace has to be paid for.,filler,0.9821428571428571,cocaspok2009.6.010928,filler.02569,cocaspok2009.0143013,2569
About why you were in here.,vigilance,0.945054945054945,cornellmov.6.037242,filler.02570,cornellmov.0228057,2570
They never ceased to amaze her.,filler,0.9217081850533808,torontofantasy.6.352508,filler.02571,torontofantasy.4632580,2571
"What are you going after, rhino?",filler,0.9628252788104089,cornellmov.6.026123,filler.02572,cornellmov.0156871,2572
There's some gold missing in this.,filler,0.9508196721311475,cocaspok2004.6.007380,filler.02573,cocaspok2004.0111612,2573
"The trouble is, I'm gone now.",filler,0.9172413793103448,cornellmov.6.040287,filler.02574,cornellmov.0248314,2574
And I think he likes it.,filler,0.8988326848249028,torontomyst.6.168516,filler.02575,torontomyst.2147437,2575
See schedule 3 for EPS reconciliation.,vigilance,0.933579335793358,,filler.02576,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02827813,2576
"Mr. Brumbaugh, you've just had it.",filler,0.9420289855072463,cocaspok1990.6.006529,filler.02577,cocaspok1990.0115753,2577
The woman bought her own propaganda.,vigilance,0.9675090252707581,torontofantasy.6.401310,filler.02578,torontofantasy.5251864,2578
Why do you use that word?,filler,0.9243986254295533,cornellmov.6.021192,filler.02579,cornellmov.0124603,2579
And that ought to say something.,filler,0.8754448398576512,cocaspok2005.6.006028,filler.02580,cocaspok2005.0094744,2580
The dancing and music was great.,filler,0.9354838709677419,,filler.02581,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04179131,2581
But it was a hollow victory.,filler,0.967741935483871,cocaspok2009.6.005205,filler.02582,cocaspok2009.0066790,2582
EDI currently offers two leadership programs.,filler,0.921875,,filler.02583,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04606478,2583
View our purchase program options here.,filler,0.9312977099236641,,filler.02584,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03368265,2584
"Sorry, yes -- well -- thank you, sir.",filler,0.9298892988929889,cornellmov.6.010704,filler.02585,cornellmov.0060613,2585
Talk about God's sense of humor!,filler,0.9784172661870504,,filler.02586,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01800545,2586
Reply if you can do it.,vigilance,0.9480968858131488,,filler.02587,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02940252,2587
TOPS provide good environment to learn.,filler,0.9288389513108615,,filler.02588,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.01053898,2588
It's been customized for sleeping capacity.,filler,0.9523809523809523,cornellmov.6.005387,filler.02589,cornellmov.0030592,2589
Or also useful for disk access?,filler,0.9681274900398407,,filler.02590,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.02987258,2590
There's nobody at my house either.,filler,0.9423076923076923,torontomyst.6.106164,filler.02591,torontomyst.1403637,2591
This is a really snuggly hoody.,filler,0.9860627177700348,,filler.02592,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02138138,2592
Lycanthropes are considered adults at sixteen.,filler,0.9702602230483272,torontofantasy.6.235188,filler.02593,torontofantasy.3131956,2593
"Lux, are you coming or what?",filler,0.9477611940298507,torontofantasy.6.318335,filler.02594,torontofantasy.4179464,2594
I avoid using all these words.,filler,0.9442379182156134,,filler.02595,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02027830,2595
He really needed that day off.,filler,0.950354609929078,,filler.02596,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.03014086,2596
Her best friend came in there.,filler,0.9523809523809523,cocaspok2007.6.010453,filler.02597,cocaspok2007.0131094,2597
Approximate time period: 1927 through 1930's.,filler,0.9696969696969697,,filler.02598,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.01892707,2598
Ball Corporation looks overpriced right now.,filler,0.9482071713147411,,filler.02599,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00007138,2599
That'll be part of the process.,filler,0.8953068592057761,cocaspok2011.6.002039,filler.02600,cocaspok2011.0025484,2600
I was back in the present.,filler,0.9338235294117647,torontomyst.6.171389,filler.02601,torontomyst.2179589,2601
They also make great stocking stuffers!,filler,0.9505703422053232,,filler.02602,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02211408,2602
They serve dinner on the flight?,filler,0.9576923076923077,cornellmov.6.009360,filler.02603,cornellmov.0053561,2603
I bought a gardenia plant today.,filler,0.9813432835820896,,filler.02604,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00910520,2604
It has held them at bay.,filler,0.9379562043795621,brown.6.000205,filler.02605,brown.002922,2605
At least not from my end.,filler,0.9094076655052264,torontofantasy.6.397644,filler.02606,torontofantasy.5204467,2606
It's -- but it's not just Washington.,filler,0.9586466165413534,cocaspok2010.6.007216,filler.02607,cocaspok2010.0093565,2607
It's not that way at all.,filler,0.8897058823529411,cocaspok1996.6.004857,filler.02608,cocaspok1996.0061114,2608
We were in his glass office.,filler,0.9826989619377162,torontomyst.6.122294,filler.02609,torontomyst.1609389,2609
And Bob says Ari is wrong.,filler,0.9528985507246377,cocaspok2000.6.003433,filler.02610,cocaspok2000.0059369,2610
And he wanted her to sleep?,filler,0.9365079365079365,torontofantasy.6.352653,filler.02611,torontofantasy.4634323,2611
You can't count on the future.,filler,0.9285714285714286,cocaspok1991.6.006798,filler.02612,cocaspok1991.0119235,2612
Congressman Hall has lost 20 pounds.,filler,0.9739776951672863,cocaspok1993.6.007425,filler.02613,cocaspok1993.0098366,2613
Use the bathroom on the plane!,filler,0.9771863117870723,cornellmov.6.017500,filler.02614,cornellmov.0100962,2614
Sumitomo losses increased to $2.6 billion.,filler,0.9604743083003953,wsj.6.000867,filler.02615,wsj.157434,2615
My favorite breakfast item is sausage.,filler,0.9345454545454546,,filler.02616,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00130532,2616
Expect a wide range of answers.,filler,0.9136690647482014,,filler.02617,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01000744,2617
"Well, my boy, you're a hero.",filler,0.8709677419354839,cornellmov.6.005890,filler.02618,cornellmov.0033510,2618
You aren't very far from me!,filler,0.9434628975265018,,filler.02619,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01296957,2619
Edwards again looked at me askance.,filler,0.9434628975265018,torontomyst.6.071879,filler.02620,torontomyst.994659,2620
He gives kids a good name!,vigilance,0.9672727272727273,,filler.02621,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.00334261,2621
The man had spoken only once.,filler,0.9280575539568345,brown.6.000143,filler.02622,brown.001808,2622
Warm exoplanets have well mixed atmospheres.,filler,0.9710144927536232,,filler.02623,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00644863,2623
"Grinning, Loki stole another Mountain Dew.",filler,0.9498069498069498,torontofantasy.6.057905,filler.02624,torontofantasy.837638,2624
We hope you enjoyed the haikus!,filler,0.9849056603773585,,filler.02625,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03214970,2625
"Since then, a lot has changed.",vigilance,0.8548387096774194,,filler.02626,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.02421873,2626
Tell him we've got another body.,filler,0.936,torontomyst.6.166995,filler.02627,torontomyst.2136382,2627
The campaign is expanding its staff.,filler,0.9359430604982206,wsj.6.001750,filler.02628,wsj.317386,2628
Its -- you have a huge following.,filler,0.9407665505226481,cocaspok2009.6.005110,filler.02629,cocaspok2009.0065562,2629
I might even walk the dogs.,filler,0.9664179104477612,,filler.02630,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02400494,2630
It's just another piece of technology!,filler,0.9051383399209486,,filler.02631,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.04479919,2631
Reaction time does improve with practice.,filler,0.9446494464944649,,filler.02632,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04344736,2632
They want me to anchor tonight!,filler,0.9659090909090909,cornellmov.6.015577,filler.02633,cornellmov.0088879,2633
"That, I feel, is the key.",filler,0.8925925925925926,,filler.02634,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.00392555,2634
She's going home to New York.,filler,0.9348659003831418,cornellmov.6.036293,filler.02635,cornellmov.0222052,2635
The best advice you can get.,filler,0.8646616541353384,,filler.02636,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.04535062,2636
Then we can run for it.,filler,0.927007299270073,cornellmov.6.032470,filler.02637,cornellmov.0197363,2637
How do we measure the world?,filler,0.9204152249134948,,filler.02638,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03458110,2638
He will not go to trial.,filler,0.9252669039145908,torontofantasy.6.283615,filler.02639,torontofantasy.3691592,2639
"Yeah, you get the Yankee hat.",filler,0.9759450171821306,cocaspok2007.6.007760,filler.02640,cocaspok2007.0099217,2640
I do that all the time.,filler,0.9103448275862069,,filler.02641,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04780759,2641
You could help me find her.,vigilance,0.8872727272727273,cornellmov.6.033350,filler.02642,cornellmov.0202783,2642
Then a closer look revealed more.,filler,0.9239130434782609,torontoadv.6.012620,filler.02643,torontoadv.217358,2643
I tried in my theme template.,filler,0.9489795918367347,,filler.02644,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.00325209,2644
I think it challenges the boundaries.,vigilance,0.9267399267399268,cocaspok2009.6.001675,filler.02645,cocaspok2009.0018762,2645
Don't bother about those cables now.,filler,0.9552238805970149,cornellmov.6.021292,filler.02646,cornellmov.0125228,2646
"Motorola is based in Schaumburg, Ill.",filler,0.966542750929368,wsj.6.000795,filler.02647,wsj.147578,2647
Add support for TeleMini v3.0 boards.,vigilance,0.9354838709677419,,filler.02648,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00058671,2648
Your creditors are calling your neighbors.,filler,0.9522058823529411,,filler.02649,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04707430,2649
Two minutes on your sons' birthday.,filler,0.9808429118773946,cornellmov.6.032144,filler.02650,cornellmov.0195417,2650
No more running off without you.,filler,0.9587628865979382,cornellmov.6.030963,filler.02651,cornellmov.0187760,2651
I don't remember the girl's name.,filler,0.9398496240601504,torontomyst.6.096571,filler.02652,torontomyst.1284827,2652
"Well, little more than a boy.",filler,0.9581749049429658,torontofantasy.6.071515,filler.02653,torontofantasy.1057066,2653
Wearin a big smile up there?,filler,0.9496402877697842,torontomyst.6.140160,filler.02654,torontomyst.1816327,2654
Participants choice - 2nd place Challenger Modified.,filler,0.9390681003584229,,filler.02655,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03822121,2655
So you figured that out fast.,filler,0.9181494661921709,torontofantasy.6.110025,filler.02656,torontofantasy.1585702,2656
"Now, I know this is wrong.",vigilance,0.92,torontofantasy.6.293214,filler.02657,torontofantasy.3830857,2657
At first there was no response.,filler,0.872852233676976,torontomyst.6.040367,filler.02658,torontomyst.575081,2658
"With the thought, her shoulders slumped.",filler,0.911660777385159,torontofantasy.6.263467,filler.02659,torontofantasy.3482822,2659
"Well, Mr. Kristol, what about that?",vigilance,0.9560439560439561,cocaspok1992.6.008024,filler.02660,cocaspok1992.0112387,2660
Go ahead and get yourself together.,filler,0.8983739837398373,cocaspok2009.6.004349,filler.02661,cocaspok2009.0053302,2661
Driver golf golf in longest test.,filler,0.9632352941176471,,filler.02662,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.01800824,2662
That's as big as he is...,filler,0.9722222222222222,cocaspok2003.6.006918,filler.02663,cocaspok2003.0104393,2663
The British telecom sector soared 2.9%.,filler,0.9709090909090909,wsj.6.001073,filler.02664,wsj.197500,2664
"No knocks, rings of the doorbell.",filler,0.9675090252707581,torontofantasy.6.048903,filler.02665,torontofantasy.712636,2665
"Petersburg, Moscow, and places like that.",filler,0.9306569343065694,cocaspok1992.6.005989,filler.02666,cocaspok1992.0080390,2666
"Nor, similarly, has our output changed.",filler,0.9340659340659341,wsj.6.001438,filler.02667,wsj.263604,2667
"So, another one bites the dust.",filler,0.9007936507936508,cornellmov.6.008273,filler.02668,cornellmov.0047431,2668
It should also be pointed out.,vigilance,0.9541984732824428,cocaspok2009.6.006794,filler.02669,cocaspok2009.0086247,2669
They serve a two year term.,filler,0.9732824427480916,,filler.02670,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.01917233,2670
Thank you both for your time.,filler,0.8888888888888888,cocaspok2009.6.002344,filler.02671,cocaspok2009.0027556,2671
All salons should strive for this.,filler,0.9756944444444444,,filler.02672,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.00690166,2672
That's not the point at all!,filler,0.8188405797101449,cornellmov.6.029743,filler.02673,cornellmov.0179982,2673
This is a space between worlds.,filler,0.9620689655172414,,filler.02674,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00200576,2674
"Until next week, over 'n out.",filler,0.9737827715355806,,filler.02675,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.04324558,2675
Maybe Mr. Logan doesn't use them.,filler,0.9359430604982206,wsj.6.001675,filler.02676,wsj.306403,2676
I think my heart stopped beating.,filler,0.9087591240875912,torontofantasy.6.399792,filler.02677,torontofantasy.5231485,2677
I think I got that right.,filler,0.8401486988847584,cocaspok2006.6.006247,filler.02678,cocaspok2006.0099040,2678
"It was level, plumb and square.",filler,0.9475806451612904,,filler.02679,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.04286368,2679
I'm not suggesting they're bad people.,filler,0.9317269076305221,cocaspok2011.6.008519,filler.02680,cocaspok2011.0108376,2680
Bring their college degrees in here!,filler,0.9715447154471545,cornellmov.6.020323,filler.02681,cornellmov.0118892,2681
The book reappeared on her lap.,filler,0.9887218045112782,torontofantasy.6.175043,filler.02682,torontofantasy.2367258,2682
Drinks for New Years Eve party.,filler,0.9566787003610109,,filler.02683,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00587108,2683
It was around seven at night.,vigilance,0.9885931558935361,torontomyst.6.119538,filler.02684,torontomyst.1578174,2684
Don't you ever consider the risk?,filler,0.9050847457627119,torontofantasy.6.019323,filler.02685,torontofantasy.281799,2685
"I say,  ""No more, this enough.""",filler,0.9540229885057471,cocaspok1993.6.000346,filler.02686,cocaspok1993.0005499,2686
How difficult a program is it?,filler,0.897119341563786,,filler.02687,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00512156,2687
"And -- and, Loida, in 10 seconds.",vigilance,0.9728682170542635,cocaspok1995.6.002125,filler.02688,cocaspok1995.028490,2688
With a white American family anymore.,filler,0.9629629629629629,cocaspok1996.6.005861,filler.02689,cocaspok1996.0072774,2689
Why is it all so scary?,vigilance,0.8976377952755905,torontoadv.6.054369,filler.02690,torontoadv.908070,2690
Going social is the right play.,vigilance,0.96415770609319,,filler.02691,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02181032,2691
They are tough bastards as well.,filler,0.9428571428571428,,filler.02692,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04290520,2692
Adesanya comes back with two knockdowns!,filler,0.9640287769784173,,filler.02693,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.03353660,2693
The beds were off center now.,filler,0.9958847736625515,torontofantasy.6.247873,filler.02694,torontofantasy.3287954,2694
Probably saw me in the lobby.,filler,0.9285714285714286,brown.6.001234,filler.02695,brown.024732,2695
This soothing cup rekindles the spirit.,vigilance,0.9676258992805755,,filler.02696,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.03031423,2696
Gonzalez has announced ready for trial.,filler,0.9398496240601504,cocaspok1995.6.006570,filler.02697,cocaspok1995.083929,2697
"This looks like the prototype, right?",filler,0.9405204460966543,cornellmov.6.030647,filler.02698,cornellmov.0185685,2698
Frustration was starting to consume them.,filler,0.9501915708812261,torontomyst.6.027725,filler.02699,torontomyst.392130,2699
Around me to thank for that.,filler,0.9595588235294118,,filler.02700,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.01047464,2700
It made her feel warm inside.,filler,0.8666666666666667,torontomyst.6.011479,filler.02701,torontomyst.165995,2701
Here he was enclosed and safe.,filler,0.9097472924187726,brown.6.001285,filler.02702,brown.025420,2702
The old man hadn't looked up.,filler,0.9660377358490566,torontomyst.6.040066,filler.02703,torontomyst.572161,2703
Relationships are built on good communication.,filler,0.9044117647058824,,filler.02704,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.04939691,2704
Everybody loves a good humiliation nightmare.,filler,0.9588014981273408,cornellmov.6.021875,filler.02705,cornellmov.0128895,2705
"No, but it's not the point.",filler,0.8856209150326797,cocaspok1994.6.009040,filler.02706,cocaspok1994.0130212,2706
But I had a great time.,filler,0.8320610687022901,,filler.02707,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04420385,2707
Because a Christian will be different.,filler,0.989247311827957,,filler.02708,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.02799104,2708
"There is a wonderful sound, though.",filler,0.9181494661921709,cocaspok2001.6.000886,filler.02709,cocaspok2001.0017311,2709
Television broadcasters may be less enthusiastic.,filler,0.9550561797752809,wsj.6.000596,filler.02710,wsj.109834,2710
My eyes rolled in my head.,filler,0.9118773946360154,torontofantasy.6.283699,filler.02711,torontofantasy.3692622,2711
You are in a frustrating situation.,filler,0.9256505576208178,cornellmov.6.029672,filler.02712,cornellmov.0179600,2712
Navigation Mixte is owned by Cie.,filler,0.9326599326599326,wsj.6.002506,filler.02713,wsj.456647,2713
What color were your Sprint springs?,filler,0.9444444444444444,,filler.02714,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.01065568,2714
"I mean, I just don't know.",filler,0.7977099236641222,torontofantasy.6.472082,filler.02715,torontofantasy.6135306,2715
"Indeed, both companies insist they're not.",filler,0.9552238805970149,wsj.6.002568,filler.02716,wsj.466751,2716
The making of Ciara Gan's gown.,filler,0.9686274509803922,,filler.02717,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03015755,2717
It scared the shit outta me.,filler,0.9368421052631579,cornellmov.6.018354,filler.02718,cornellmov.0106452,2718
"The others were silent, watching him.",filler,0.8803088803088803,torontoadv.6.021971,filler.02719,torontoadv.389483,2719
Have you told him about it?,filler,0.848605577689243,cornellmov.6.035942,filler.02720,cornellmov.0219396,2720
I got this one off ebay.,filler,0.9285714285714286,,filler.02721,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00117722,2721
