sentence,mean_mem,low_mem_words,mid_mem_words,high_mem_words,index,original_index
"San Diego, for Jay Leno - Hello.",0.8190332571265201,,,diego,cocaspok1993.6.007893,cocaspok1993.0103918
My insurance renews in June. Cheers.,0.8010332114631807,,,june,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.02794843
Chili Palmer showed you my script?,0.7842876960534196,,,chili,cornellmov.6.001788,cornellmov.0009783
"City of San Diego, 2015 Cal.",0.8067672226395755,,,diego,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00093495
"Next stop is Nevada, January 19th.",0.8095714302780029,,,nevada,cocaspok2007.6.003257,cocaspok2007.0040158
"Tantalum, Titanium, Hastelloy, Inconel and Monel.",0.847448047882414,,,titanium,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03445225
Meatball joined him at the window.,0.7838949803436642,,,meatball,torontoadv.6.043193,torontoadv.735534
"Coupon is 5%, payable in yen.",0.8087381766444649,,,yen,wsj.6.000746,wsj.136739
Collection of ford e350 wiring diagram.,0.782232360106975,,,ford,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04793897
I'm making enchilada pasta for dinner.,0.7918538386635042,,,enchilada,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03512943
"Nope, Skyla isn't here for Chloe.",0.8006465082109555,,,chloe,torontofantasy.6.287430,torontofantasy.3745720
The cost doesn't exceed 250 euro.,0.787163587107651,,,euro,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04971748
This guy really was a Neanderthal.,0.7800118796845954,,,guy,torontomyst.6.006600,torontomyst.94162
Meringue powder is powdered egg whites.,0.8167396718690186,,,egg,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.01642187
It's already Monday here in Baghdad.,0.7941723093379904,already,,baghdad,cocaspok2005.6.006268,cocaspok2005.0098452
You working in San Diego now?,0.7849978700999376,,,diego,cornellmov.6.002210,cornellmov.0012536
Jasmine coloring pages princess free printable.,0.8054185808284832,free,,jasmine,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03062233
"And maybe Rio, Salvador and Argentina.",0.8009189356209827,,,salvador,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04982926
It's a guy in a cage.,0.7817775154000931,,,guy,cornellmov.6.009257,cornellmov.0053031
"B. 30 MAY 1698 Lynn, Mass.",0.8161697159168763,,,lynn,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.01447243
Mariah Carey's famous honey hue: check.,0.8055936758994531,,,hue,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.03891623
"Roulette, craps or blackjack, your choice.",0.7899525010212433,,,craps,torontomyst.6.003811,torontomyst.56337
"Ella Blue, and your son, Jett.",0.8090562455957433,,,son,cocaspok2000.6.005519,cocaspok2000.0092288
"U.S. 101 San Diego County, California.",0.8236549968595624,,,diego,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00710786
"Oh please, Ford, I'll do any .",0.7861575668577389,,,ford,cornellmov.6.009389,cornellmov.0053749
"Reply: Dale Worley: ""RE: external error""",0.7878265146118196,,,dale,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03223743
Summer horsemanship day camps in June!,0.8027268715948191,,,june,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04570537
"United Nations, N. Y., June 18.",0.8372752764748062,,,june,brown.6.001087,brown.021181
Karina swept Emily into her arms.,0.7859780540555213,,,emily,torontofantasy.6.345775,torontofantasy.4545076
"May 31, 2013 June Voting Incentive!",0.820430617112677,,,june,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00534294
Top with additional blueberries or blackberries.,0.7905743246027591,additional,,blueberries,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01280215
The domme's lips wrinkled in distaste.,0.7868107879933759,,,lips,torontofantasy.6.351296,torontofantasy.4617516
McNeal leveled his stare at Emily.,0.7848975098387173,,,emily,torontofantasy.6.444028,torontofantasy.5802213
It was on like Donkey Kong.,0.7860879412686904,,,kong,torontofantasy.6.231241,torontofantasy.3085860
"These mosquitos are -- well, guinea pigs.",0.797472955712719,,,guinea,cocaspok2004.6.000600,cocaspok2004.0009053
Buy Prevacid Lansoprazole Online Without Prescriptions.,0.8279238868256376,,,prevacid,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.03971004
"But, what about snake tattoo guy?",0.7956941810708615,,,guy,torontofantasy.6.175552,torontofantasy.2376919
"Honey, isn't your friend's name Colleen?",0.8105272129197791,,,colleen,cornellmov.6.010235,cornellmov.0058359
Michele read the maple writing again.,0.7892547505848166,,,maple,torontomyst.6.022023,torontomyst.303479
Coaster II the maple syrup ship.,0.801431227000049,,,maple,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.04523748
Stir in sauce and chili powder.,0.803589638806851,,,chili,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.01536697
He's kissing her on the lips.,0.7819913145904464,,,lips,cornellmov.6.036439,cornellmov.0222878
Spread the blueberries over the crust.,0.7817683890296129,,,blueberries,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00240921
"Come on, man -- Vietnam ain't Germany.",0.7908410403590281,,,germany,cornellmov.6.022452,cornellmov.0133109
Greybeard raised his eyebrows at this.,0.7937549739225996,raised,,eyebrows,torontoadv.6.035336,torontoadv.599537
CNN's Brian Cabell looks into that.,0.7852561157875957,,,brian,cocaspok2000.6.005171,cocaspok2000.0087935
"I do nt know, Marquee Guy.",0.7876681288970264,,,guy,cocaspok2005.6.004778,cocaspok2005.0075425
"Jesus Christ, Pop, let's go home.",0.7899013475416018,,,christ,cornellmov.6.015873,cornellmov.0090630
"Lieutenant Ilia reporting for duty, sir.",0.7926754128256818,,,lieutenant,cornellmov.6.013642,cornellmov.0077435
The generals surrendered after Baghdad fell.,0.7795635707782944,,,baghdad,cocaspok2003.6.000074,cocaspok2003.0002157
I'm Matt Lauer in New York.,0.8089036741104976,,,matt,cocaspok2008.6.004760,cocaspok2008.0058936
Small brains make your balls itch?,0.7872016256262943,,,balls,cornellmov.6.002914,cornellmov.0016302
"Seth Doane, thank you so much.",0.7805722859005804,,,seth,cocaspok2010.6.011053,cocaspok2010.0143174
Xenoblade Chronicles 2 on Nintendo Switch!,0.7921762209868546,,,nintendo,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.03421638
"Oh dear Lord, it was Cash.",0.7905305047807017,,,dear,torontofantasy.6.295020,torontofantasy.3855117
"Developer Guide - June,. About this manual.",0.781501258668087,,,june,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04021108
Paul's College Foundation in Hong Kong.,0.8120993061232461,,,kong,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.02756675
"Shh, baby, please do no' cry.",0.8121645329777518,,,shh,torontofantasy.6.255667,torontofantasy.3383078
This guy got me mad now.,0.7825377247446331,,,guy,torontomyst.6.043435,torontomyst.614987
Are videos downloadable from video egg?,0.810759402155734,,,egg,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00435315
Texas went solidly for the Reverend.,0.7852889994168913,,,texas,torontofantasy.6.088559,torontofantasy.1312641
The place where Superman comes from?,0.7851678101207246,,,superman,cornellmov.6.038370,cornellmov.0235326
"Valuation Question: Harper Rookie ""Hit Balls""",0.7860391146420516,,,balls,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.03197546
In China Avalokiteshvara becomes Kuan Yin.,0.8042266220162334,,,yin,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.03639013
It was sexy as all hell.,0.780775681537547,,,sexy,torontomyst.6.111309,torontomyst.1472319
Miss Matilda for the new challenge!,0.7853632721388472,,,matilda,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.02602710
Add the olive oil and garlic.,0.7917995562252012,,,olive,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02622507
Elvis looked at her in bemusement..,0.789865115276354,,,elvis,torontofantasy.6.013918,torontofantasy.201602
Like... a cute succubus for example.,0.7880905954417942,,,cute,torontofantasy.6.455755,torontofantasy.5919837
SAGE Mobile 8.0 is available now.,0.7869019321875789,,,sage,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04022642
Val waved goodbye to his friend.,0.7800670776524646,waved,,goodbye,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.01460549
Dionysius in the 1913 Catholic Encyclopedia.,0.8341525685543618,,,encyclopedia,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04790457
He did it back in Illinois.,0.7928375199969012,,,illinois,cocaspok2010.6.008823,cocaspok2010.0115208
"Wed., June 1, 2011, 8:01 a.m.",0.8585633365749027,,,june,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02437501
"In June, Bill moved back home.",0.8061273677024273,,,june,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.04104984
Seth Doane now reports from Kabul.,0.8149691136328158,,,seth,cocaspok2011.6.005920,cocaspok2011.0074448
My nephew Matt Klam took me.,0.7949343845507327,,,matt,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00457327
"Aw, c'mon -- anybody can get hungry.",0.7967699333435442,,,aw,cornellmov.6.013913,cornellmov.0079111
Keith Jones lost his son Gordon.,0.8010103443834637,,gordon,son,cocaspok2010.6.004448,cocaspok2010.0057150
"The Nite Owl was solved, Lieutenant.",0.7916513088447239,,,lieutenant,cornellmov.6.008802,cornellmov.0050470
"But don't think it's over, Abby.",0.7899397523571943,,,abby,torontomyst.6.162978,torontomyst.2102849
"Beast restaurant, london havwoods wood flooring.",0.7841075635153496,,,london,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00037230
The guy spelled sex and danger.,0.7893971825725438,,,guy,torontofantasy.6.442605,torontofantasy.5790862
Atlanta Olympic Committee Spending | | IN PCT.,0.8005189323911378,,,atlanta,wsj.6.001755,wsj.317886
Doc and Meatball yawned in chorus.,0.8192839804030302,,,meatball,torontoadv.6.043167,torontoadv.735224
The young girl was so cute.,0.7798480130527672,,,cute,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01967720
The whole enchilada in one shot.,0.7835005734077353,,,enchilada,cornellmov.6.039924,cornellmov.0245796
Bobby Peru prob'ly killed the most.,0.7835503882788635,,,peru,cornellmov.6.025802,cornellmov.0154663
Then Goddard looked apologetically at Emily.,0.7845989854633001,,,emily,torontomyst.6.081476,torontomyst.1103354
Matt looked at the blue vase.,0.7817428785086088,,,matt,torontoadv.6.023903,torontoadv.422854
My Pineapple Coconut Martini was DELICIOUS!!!,0.8010599515771117,,,pineapple,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.01806417
"Well, obviously, in Argentina, Diego Miradona.",0.7936249911594518,,,diego,cocaspok1990.6.006435,cocaspok1990.0113767
"Dear Governor Bevin, I'm Audra Baker.",0.8113696544631918,,,dear,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.01012992
"You just go like this, dear.",0.7819066439215735,,,dear,cocaspok2005.6.003077,cocaspok2005.0051080
"Colleen: My gosh, a GCU sweatshirt!",0.8117489092262229,,,colleen,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.03609987
"Jesus Christ, where'd that come from?",0.781833778473848,,,christ,cornellmov.6.023594,cornellmov.0140450
Seth leaned in closer to Jay.,0.7808614756156925,,,seth,torontomyst.6.014313,torontomyst.207327
"Pearlson said, staring up at Matt.",0.784961483517049,,staring,matt,torontomyst.6.124501,torontomyst.1633487
The contest ends on September 14th!,0.7912985232704287,,,september,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00128708
"Jung, do you know Diego Delgado?",0.7967735611055056,,,diego,cornellmov.6.027699,cornellmov.0166952
Kate and Jo said in unison.,0.7981115766287981,,,jo,torontomyst.6.014153,torontomyst.205248
Macbook Pro Repair in Niagara region.,0.7951062567980521,,,niagara,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.01416615
"Anyway, this guy didn't look nice.",0.7896434586540342,,,guy,torontoadv.6.040372,torontoadv.688289
"Don't live near Lake Villa, Illinois?",0.8028568932490083,,,illinois,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02983475
"He was born near Harrisburg, Pennsylvania.",0.808139264282405,,,pennsylvania,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.03499121
Jocelyn fingers and nods at Chloe.,0.7979122219483958,,,chloe,torontomyst.6.044918,torontomyst.632546
Remember your first Easter Egg hunt?,0.7846881747781286,,,egg,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.04753546
"September 26, 2016 in Market Commentary.",0.8398387752308419,,,september,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01128939
Reboot into your fresh pi install.,0.7811757265670587,,,pi,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.01979276
A mist rose from his lips.,0.7869470079614755,,,lips,torontofantasy.6.069214,torontofantasy.1016291
"Hush, Claudia, hush now my dear .",0.8207113657380917,,claudia,dear,cornellmov.6.010367,cornellmov.0059033
Posted September 25 by Sarah J.,0.8447883511734816,,,september,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.02123294
And below the Cuckoo Flower watercolor.,0.7960209161486901,,,cuckoo,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.02900126
"Dreamed in Italy, Made in D.C.",0.8062549253937448,,,italy,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03243556
Our patio overlooks the Yellowstone river.,0.7799478424292733,,,yellowstone,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04318372
"""Tokyo looks away from the reality.""",0.7797982150968631,,,tokyo,wsj.6.000211,wsj.038825
"April 11, 1825, St Marylebone, London.",0.8551516384460071,,,london,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04958638
Hemangeol will be available June 2014.,0.7949977210563295,,,june,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00916530
Was he bruised in Santa Barbara?,0.7828255199722477,,,barbara,cocaspok2003.6.004270,cocaspok2003.0067987
"Gator Category: Microphone, Wireless System Cases.",0.7870829334530898,,,gator,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03959702
"Rob Gifford, NPR News, Hong Kong.",0.8136627416017843,,,kong,cocaspok2000.6.000864,cocaspok2000.0016609
Black nail polish and guy liner.,0.793128724682314,,,guy,cocaspok2009.6.005455,cocaspok2009.0069713
Mr. Bundy growled from the cockpit.,0.8039337379313727,,,bundy,torontomyst.6.048795,torontomyst.683230
Guy cracks walnuts with his asshole.,0.7940261325097437,,,guy,cornellmov.6.010927,cornellmov.0061931
I am located in Winnemucca Nevada.,0.8129053337935824,,,nevada,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00904435
That's especially true at the IMF.,0.7799106974373909,,,true,wsj.6.002103,wsj.381096
Red dyed mirror in curly maple.,0.8152656728825844,,,maple,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.00640462
"For instance, Philadelphia roll right here.",0.7819503225259855,instance,,philadelphia,cocaspok2000.6.005825,cocaspok2000.0095477
Double glazing london in estrela lisboa.,0.8248678782172093,,,london,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.01647518
"Transok is based in Tulsa, Okla.",0.7897627651277267,,,tulsa,wsj.6.000930,wsj.171113
Seeking a Nanny in Manhattan NY?,0.802068459931352,,,manhattan,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03974638
There's onion soup and canned asparagus .,0.8184206972189011,,soup,asparagus,cornellmov.6.026589,cornellmov.0159869
Still seeing that sexy French gal?,0.7885784119569402,still,,sexy,cornellmov.6.040506,cornellmov.0249673
La Dordogne River near Cadouin - France.,0.8272719637067243,,,france,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02148942
"I am a nice guy, Daniel.",0.7821185169014225,,daniel,guy,cornellmov.6.029043,cornellmov.0175607
"John Blackstone, CBS News, San Francisco.",0.8277880134179245,,,francisco,cocaspok2009.6.005515,cocaspok2009.0070473
He looked at Sage and Nora.,0.7821802198527422,,,sage,torontomyst.6.049925,torontomyst.700486
"As Lieutenant Spock would say, fascinating.",0.7926633228314302,fascinating,,lieutenant,torontomyst.6.006083,torontomyst.83812
But this bastard son of his...,0.7808256262035845,,,son,torontofantasy.6.466864,torontofantasy.6067965
On 9 December 2015 Prof. dr.,0.8410078758038613,,,prof,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04526668
"This phone costs 12, 980,000 Yen.",0.7932925455700053,,,yen,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.01452311
A scream spilled from Kylie's lips.,0.7852964289908557,,,lips,torontofantasy.6.390295,torontofantasy.5112037
NINTENDO 64Show posts in this category.,0.8069166696011385,,,nintendo,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02258514
Amish Made Mini carts and supplies!,0.7961942357592662,,,amish,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03241289
"This is Herr Mozart, my dear.",0.8077306286646753,,,dear,cornellmov.6.016093,cornellmov.0092161
yen late Friday in New York.,0.8090778860367679,late,,yen,wsj.6.000686,wsj.126508
Found a great cute dog video?,0.7907293231702702,,,cute,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.04516832
"Golden Gate in San Francisco, California.",0.8200175247847995,,,francisco,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.04525130
