reject,sentence,sentence_original,mean_mem,low_mem_words,mid_mem_words,high_mem_words,index,original_index,has_edit
,It's not like you caused it.,It's not like you caused it.,0.7569807044,,,,torontofantasy.6.352438,torontofantasy.4631910,False
,Tonight's our prayers with her family.,Tonight's our prayers with her family.,0.7524315726,,,,cocaspok2011.6.007191,cocaspok2011.0091313,False
,He moved forward into the room.,He moved forward into the room.,0.7510865025,,,,torontomyst.6.083988,torontomyst.1130317,False
,Ida Sessions wants to see you.,Ida Sessions wants to see you.,0.7606513743,,,,cornellmov.6.007993,cornellmov.0045654,False
,My experience driving Uber is horrible.,My experience driving Uber is horrible.,0.7629708486,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01344918,False
,There was something odd here though.,There was something odd here though.,0.7459746501,,,,torontoadv.6.054678,torontoadv.911737,False
,"First, planarians are not necessarily clonal.","First, planarians are not necessarily clonal.",0.7569695182,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01390140,False
,"Or rather, they were supposed to.","Or rather, they were supposed to.",0.7271780572,,,,torontofantasy.6.264663,torontofantasy.3495504,False
,Dust jacket quality is not guaranteed.,Dust jacket quality is not guaranteed.,0.7466057465,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04180068,False
,Then you can make a diagnosis.,Then you can make a diagnosis.,0.7466706009,,,,cocaspok1993.6.004183,cocaspok1993.0053063,False
,People want to buy a lifestyle.,People want to buy a lifestyle.,0.7600445014,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01657011,False
,And with torches towards the east.,And with torches towards the east.,0.7541262105,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00072372,False
,Now you think they don't exist?,Now you think they don't exist?,0.7618724982,,,,cornellmov.6.038520,cornellmov.0236298,False
,Is there anything you can do?,Is there anything you can do?,0.7507975625,,,,cocaspok1999.6.010578,cocaspok1999.0139345,False
,It has many benefits both healthwise.,It has many benefits both healthwise.,0.7642142058,,,,cocaspok2000.6.002180,cocaspok2000.0037861,False
,It kind of has me stumped.,It kind of has me stumped.,0.7369730527,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04161329,False
,And you've only got two customers.,And you've only got two customers.,0.7419750402,,,,torontomyst.6.119042,torontomyst.1572835,False
,Remeber to let the pallet dry.,Remeber to let the pallet dry.,0.7572277076,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04853942,False
,"Don't worry, Long Feiye said coldly.","Don't worry, Long Feiye said coldly.",0.760431268,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00775937,False
,They were back on my wheel.,They were back on my wheel.,0.7529527248,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.02676098,False
,Just wanted to... powder my nose.,Just wanted to... powder my nose.,0.76724673,,,,cornellmov.6.003891,cornellmov.0021835,False
,Go quickly now for under floor.,"Go quickly now for under floor,",0.7641680088,,,,torontofantasy.6.075132,torontofantasy.1110358,True
,I don't think he knows how.,I don't think he knows how.,0.767330844,,,,cornellmov.6.000467,cornellmov.0002799,False
,Her absolute silence was clear enough.,Her absolute silence was clear enough.,0.7322745539,,,,torontofantasy.6.399516,torontofantasy.5227981,False
,Don't you think I know that?,Don't you think I know that?,0.762816114,,,,cornellmov.6.034890,cornellmov.0212865,False
,We cannot always react like victims.,We cannot always react like victims.,0.7451527892,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.01002900,False
,They all run in the red.,They all run in the red.,0.767097684,,,,cocaspok1999.6.011259,cocaspok1999.0151570,False
,Zane's fingers tapped on the tabletop.,Zane's fingers tapped on the tabletop.,0.7706026925,,,,torontofantasy.6.445818,torontofantasy.5815430,False
,"On Thursday, FEMA conducted mock drills.","On Thursday, FEMA conducted mock drills.",0.7718831382,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04072902,False
,"""We're selling nostalgia,"" says Mr. Phillips.","""We're selling nostalgia,"" says Mr. Phillips.",0.8010915065,,,,wsj.6.002533,wsj.460482,False
,A detached numbness spread over me.,A detached numbness spread over me.,0.7493858526,,,,torontofantasy.6.472866,torontofantasy.6146817,False
,"In a rather, odd, unexpected way!","In a rather, odd, unexpected way!",0.7350027015,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.03659183,False
,Dryer repair Bowie is our legacy.,Dryer repair Bowie is our legacy.,0.771021374,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.03611197,False
,"Oh, this is not Basel, Switzerland.","Oh, this is not Basel, Switzerland.",0.8010829603,,,,cocaspok1996.6.004273,cocaspok1996.0052381,False
,Not once did Art look back.,Not once did Art look back.,0.7703162834,,,,torontomyst.6.061595,torontomyst.857981,False
,"Second, Hank obviously set this up.","Second, Hank obviously set this up.",0.7602598623,,,,torontomyst.6.115473,torontomyst.1529290,False
,"Man, had they gotten it wrong.","Man, had they gotten it wrong.",0.7502753892,,,,torontoadv.6.061418,torontoadv.1020078,False
,"That's a very interesting question, Robin.","That's a very interesting question, Robin.",0.7574613032,,,,cocaspok1991.6.004106,cocaspok1991.0063266,False
,Go ahead - try it right now!,Go ahead - try it right now!,0.7604855692,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02574949,False
,Experience in developing restful web service.,Experience in developing restful web service.,0.7540825509,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03054759,False
,"What's he got against you, anyway?","What's he got against you, anyway?",0.7526482135,,,,cornellmov.6.026637,cornellmov.0160211,False
,That's what Bush needs to do.,That's what Bush needs to do.,0.7717984134,,,,cocaspok2004.6.005898,cocaspok2004.0091806,False
,We continue now with President Bush.,We continue now with President Bush.,0.7651078625,,,,cocaspok2009.6.000479,cocaspok2009.0005131,False
,And how is the artiste tonight?,And how is the artiste tonight?,0.767010941,,,,cornellmov.6.034783,cornellmov.0212253,False
,"Of time's web, rich and immense?","Of time's web, rich and immense?",0.74761828,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.00592400,False
,I thought he'd stopped doing horror.,I thought he'd stopped doing horror.,0.7594740422,,,,cornellmov.6.006049,cornellmov.0034331,False
,Choose from 4oz and 8oz bags.,Choose from 4oz and 8oz bags.,0.7939690939,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00916175,False
,A propeller driven console IO board.,A Propeller Driven Console IO board.,0.7684515703,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01890722,True
,And I'm going to save Denaos.,And I'm going to save Denaos.,0.7551895691,,,,torontofantasy.6.091893,torontofantasy.1351055,False
,Where do they get their stuff?,Where do they get their stuff?,0.7621134672,,,,cornellmov.6.030320,cornellmov.0183646,False
,"That made me happy too, haha.",That made me happy too haha.,0.7685888236,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.03537656,True
,Peace has to be paid for.,Peace has to be paid for.,0.7411774628,,,,cocaspok2009.6.010928,cocaspok2009.0143013,False
,About why you were in here.,About why you were in here.,0.7633318131,,,,cornellmov.6.037242,cornellmov.0228057,False
,They never ceased to amaze her.,They never ceased to amaze her.,0.735528411,,,,torontofantasy.6.352508,torontofantasy.4632580,False
,"What are you going after, rhino?","What are you going after, rhino?",0.7633967783,,,,cornellmov.6.026123,cornellmov.0156871,False
,There's some gold missing in this.,There's some gold missing in this.,0.7872818688,,,,cocaspok2004.6.007380,cocaspok2004.0111612,False
,"The trouble is, I'm gone now.","The trouble is, I'm gone now.",0.7639461546,,,,cornellmov.6.040287,cornellmov.0248314,False
,And I think he likes it.,And I think he likes it.,0.7680342457,,,,torontomyst.6.168516,torontomyst.2147437,False
,See schedule 3 for EPS reconciliation.,See Schedule 3 for EPS reconciliation.,0.7733852623,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02827813,True
,"Mr. Brumbaugh, you've just had it.","Mr. Brumbaugh, you've just had it.",0.7725632595,,,,cocaspok1990.6.006529,cocaspok1990.0115753,False
,The woman bought her own propaganda.,The woman bought her own propaganda.,0.7772721031,,,,torontofantasy.6.401310,torontofantasy.5251864,False
,Why do you use that word?,Why do you use that word?,0.7717806263,,,,cornellmov.6.021192,cornellmov.0124603,False
,And that ought to say something.,And that ought to say something.,0.7468374487,,,,cocaspok2005.6.006028,cocaspok2005.0094744,False
,The dancing and music was great.,The dancing and music was great.,0.7617139759,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04179131,False
,But it was a hollow victory.,But it was a hollow victory.,0.7493995034,,,,cocaspok2009.6.005205,cocaspok2009.0066790,False
,EDI currently offers two leadership programs.,EDI currently offers two leadership programs.,0.755261446,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04606478,False
,View our purchase program options here.,View our purchase program options HERE.,0.7595981467,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03368265,True
,"Sorry, yes -- well -- thank you, sir.","Sorry, yes -- well -- thank you, sir.",0.7733961869,,,,cornellmov.6.010704,cornellmov.0060613,False
,Talk about God's sense of humor!,Talk about God's sense of humor!,0.7550734568,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01800545,False
,Reply if you can do it.,Reply if you can do it.,0.7622905502,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02940252,False
,TOPS provide good environment to learn.,TOPS provide good environment to learn.,0.7371693432,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.01053898,False
,It's been customized for sleeping capacity.,It's been customized for sleeping capacity.,0.7502977375,,,,cornellmov.6.005387,cornellmov.0030592,False
,Or also useful for disk access?,Or also useful for disk access?,0.7468281684,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.02987258,False
,There's nobody at my house either.,There's nobody at my house either.,0.773509707,,,,torontomyst.6.106164,torontomyst.1403637,False
,This is a really snuggly hoody.,This is a really snuggly hoody.,0.772359832,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02138138,False
,Then a figure emerged from hiding.,Then a figure emerged from hiding.,0.7596880474,,,,torontoadv.6.004702,torontoadv.80521,False
,Lycanthropes are considered adults at sixteen.,Lycanthropes are considered adults at sixteen.,0.7846946526,,,,torontofantasy.6.235188,torontofantasy.3131956,False
,"Lux, are you coming or what?","Lux, are you coming or what?",0.7675147435,,,,torontofantasy.6.318335,torontofantasy.4179464,False
,I avoid using all these words.,I avoid using all these words.,0.7387467237,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02027830,False
,He really needed that day off.,He really needed that day off.,0.756225123,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.03014086,False
,Her best friend came in there.,Her best friend came in there.,0.7737439631,,,,cocaspok2007.6.010453,cocaspok2007.0131094,False
,Approximate time period: 1927 through 1930's.,Approximate Time Period: 1927 through 1930's.,0.7917706459,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.01892707,True
,Ball Corporation looks overpriced right now.,Ball Corporation looks overpriced right now.,0.7900455025,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00007138,False
,That'll be part of the process.,That'll be part of the process.,0.7310749089,,,,cocaspok2011.6.002039,cocaspok2011.0025484,False
,He is not of this world.,He is not of this world.,0.7533199027,,,,cornellmov.6.022112,cornellmov.0130525,False
,I was back in the present.,I was back in the present.,0.7631118631,,,,torontomyst.6.171389,torontomyst.2179589,False
,They also make great stocking stuffers!,They also make great stocking stuffers!,0.7621397154,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02211408,False
,"For Boston, that's saying a lot.","For Boston, that's saying a lot.",0.766463209,,,,wsj.6.002629,wsj.476932,False
,They serve dinner on the flight?,They serve dinner on the flight?,0.7535993354,,,,cornellmov.6.009360,cornellmov.0053561,False
,I bought a gardenia plant today.,I bought a gardenia plant today.,0.7850629109,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00910520,False
,It took right about 20 minutes.,It took right about 20 minutes.,0.7738844228,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03713779,False
,It has held them at bay.,It has held them at bay.,0.7582967465,,,,brown.6.000205,brown.002922,False
,At least not from my end.,At least not from my end.,0.7719735827,,,,torontofantasy.6.397644,torontofantasy.5204467,False
,It's -- but it's not just Washington.,It's -- but it's not just Washington.,0.7742163446,,,,cocaspok2010.6.007216,cocaspok2010.0093565,False
,It's not that way at all.,It's not that way at all.,0.7615590905,,,,cocaspok1996.6.004857,cocaspok1996.0061114,False
,We were in his glass office.,We were in his glass office.,0.7651155514,,,,torontomyst.6.122294,torontomyst.1609389,False
,And Bob says Ari is wrong.,And Bob says Ari is wrong.,0.7984852683,,,,cocaspok2000.6.003433,cocaspok2000.0059369,False
,And he wanted her to sleep?,And he wanted her to sleep?,0.7505458807,,,,torontofantasy.6.352653,torontofantasy.4634323,False
,You can't count on the future.,You can't count on the future.,0.7552523202,,,,cocaspok1991.6.006798,cocaspok1991.0119235,False
,He stumbled back in the brush.,He stumbled back in the brush.,0.7720452691,,,,torontoadv.6.055205,torontoadv.919741,False
,Congressman Hall has lost 20 pounds.,Congressman Hall has lost 20 pounds.,0.7896682588,,,,cocaspok1993.6.007425,cocaspok1993.0098366,False
,Caden sent him a wary glance.,Caden sent him a wary glance.,0.7491729895,,,,torontofantasy.6.174704,torontofantasy.2363966,False
,I really enjoyed my experience here.,I really enjoyed my experience here.,0.7537866233,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.03016527,False
,Use the bathroom on the plane!,Use the bathroom on the plane!,0.763595098,,,,cornellmov.6.017500,cornellmov.0100962,False
,Sumitomo losses increased to $2.6 billion.,Sumitomo losses increased to $2.6 billion |,0.7779199866,,,,wsj.6.000867,wsj.157434,True
,My favorite breakfast item is sausage.,My favorite breakfast item is sausage.,0.7849173667,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00130532,False
,Expect a wide range of answers.,Expect a wide range of answers.,0.7413519356,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01000744,False
,"Well, my boy, you're a hero.","Well, my boy, you're a hero.",0.7766683621,,,,cornellmov.6.005890,cornellmov.0033510,False
,You aren't very far from me!,You aren't very far from me!,0.7465127201,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01296957,False
,Edwards again looked at me askance.,Edwards again looked at me askance.,0.7669490864,,,,torontomyst.6.071879,torontomyst.994659,False
,He gives kids a good name!,He gives kids a good name!,0.7630204119,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.00334261,False
,The man had spoken only once.,The man had spoken only once.,0.7469069522,,,,brown.6.000143,brown.001808,False
,Warm exoplanets have well mixed atmospheres.,Warm exoplanets have well mixed atmospheres.,0.7697031101,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00644863,False
,"Grinning, Loki stole another Mountain Dew.","Grinning, Loki stole another Mountain Dew.",0.8023711581,,,,torontofantasy.6.057905,torontofantasy.837638,False
,We hope you enjoyed the haikus!,We hope you enjoyed the haikus!,0.7552681729,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03214970,False
,"Since then, a lot has changed.","Since then, a lot has changed.",0.7465929177,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.02421873,False
,Tell him we've got another body.,Tell him we've got another body.,0.7604345146,,,,torontomyst.6.166995,torontomyst.2136382,False
,The campaign is expanding its staff.,The campaign is expanding its staff.,0.7497536014,,,,wsj.6.001750,wsj.317386,False
,The color of this is fantastic.,The color of this is fantastic.,0.7479905403,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04785760,False
,Its -- you have a huge following.,Its -- you have a huge following.,0.7413684394,,,,cocaspok2009.6.005110,cocaspok2009.0065562,False
,I might even walk the dogs.,I might even walk the dogs.,0.753871175,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02400494,False
,It's just another piece of technology!,It's just another piece of technology!,0.7578017983,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.04479919,False
,Reaction time does improve with practice.,Reaction time does improve with practice.,0.7541311803,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04344736,False
,They want me to anchor tonight!,They want me to anchor tonight!,0.7419444426,,,,cornellmov.6.015577,cornellmov.0088879,False
,"That, I feel, is the key.","That, I feel, is the key.",0.7420823555,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.00392555,False
,She's going home to New York.,She's going home to New York.,0.7826965495,,,,cornellmov.6.036293,cornellmov.0222052,False
,No new posts will be accepted.,No new posts will be accepted.,0.7634920098,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.04937986,False
,The best advice you can get.,The best advice you can get.,0.7501273368,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.04535062,False
,Just a couple of finishing touches.,Just a couple of finishing touches.,0.7307441178,,,,cornellmov.6.040679,cornellmov.0250895,False
,Then we can run for it.,Then we can run for it.,0.743855022,,,,cornellmov.6.032470,cornellmov.0197363,False
,How do we measure the world?,How do we measure the world?,0.7575832123,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03458110,False
,He will not go to trial.,He will not go to trial.,0.7475544798,,,,torontofantasy.6.283615,torontofantasy.3691592,False
,"Yeah, you get the Yankee hat.","Yeah, you get the Yankee hat.",0.7856893226,,,,cocaspok2007.6.007760,cocaspok2007.0099217,False
,I do that all the time.,I do that all the time.,0.7575091228,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04780759,False
,You could help me find her.,You could help me find her.,0.7417546288,,,,cornellmov.6.033350,cornellmov.0202783,False
,The voice came from the woods.,The voice came from the woods.,0.7745847665,,,,torontofantasy.6.319295,torontofantasy.4192507,False
,Then a closer look revealed more.,Then a closer look revealed more.,0.7472085953,,,,torontoadv.6.012620,torontoadv.217358,False
,I tried in my theme template.,I tried in my theme template.,0.7626290774,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.00325209,False
,I think it challenges the boundaries.,I think it challenges the boundaries.,0.748482996,,,,cocaspok2009.6.001675,cocaspok2009.0018762,False
,Don't bother about those cables now.,Don't bother about those cables now.,0.7648764411,,,,cornellmov.6.021292,cornellmov.0125228,False
,"Motorola is based in Schaumburg, Ill.","Motorola is based in Schaumburg, Ill.",0.7728577595,,,,wsj.6.000795,wsj.147578,False
,Add support for TeleMini v3.0 boards.,Add support for TeleMini v3.0 boards.,0.7612938983,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00058671,False
,Your creditors are calling your neighbors.,Your creditors are calling your neighbors.,0.7450975417,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04707430,False
,Two minutes on your sons' birthday.,Two minutes on your sons' birthday.,0.7652090451,,,,cornellmov.6.032144,cornellmov.0195417,False
,No more running off without you.,No more running off without you.,0.743814297,,,,cornellmov.6.030963,cornellmov.0187760,False
,I don't remember the girl's name.,I don't remember the girl's name.,0.7707277828,,,,torontomyst.6.096571,torontomyst.1284827,False
,"Well, little more than a boy.","Well, little more than a boy.",0.7602439257,,,,torontofantasy.6.071515,torontofantasy.1057066,False
,Wearin a big smile up there?,Wearin a big smile up there?,0.7673362149,,,,torontomyst.6.140160,torontomyst.1816327,False
,Participants choice - 2nd place Challenger Modified.,Participants choice - 2nd place Challenger Modified.,0.7682456626,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03822121,False
,So you figured that out fast.,So you figured that out fast.,0.7493678633,,,,torontofantasy.6.110025,torontofantasy.1585702,False
,"Now, I know this is wrong.","Now, I know this is wrong.",0.7707574804,,,,torontofantasy.6.293214,torontofantasy.3830857,False
,Affordable living in the picturesque foothills!,Affordable living in the picturesque foothills!,0.7760131566,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00461923,False
,At first there was no response.,At first there was no response.,0.7614842929,,,,torontomyst.6.040367,torontomyst.575081,False
,"With the thought, her shoulders slumped.","With the thought, her shoulders slumped.",0.7620561683,,,,torontofantasy.6.263467,torontofantasy.3482822,False
,"Well, Mr. Kristol, what about that?","Well, Mr. Kristol, what about that?",0.7824433595,,,,cocaspok1992.6.008024,cocaspok1992.0112387,False
,Go ahead and get yourself together.,Go ahead and get yourself together.,0.7439440561,,,,cocaspok2009.6.004349,cocaspok2009.0053302,False
,One name came back to me.,One name came back to me.,0.7597952152,,,,torontomyst.6.044535,torontomyst.627887,False
,Driver golf golf in longest test.,Driver golf golf in longest test.,0.7814948249,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.01800824,False
,That's as big as he is...,That's a big as he is...,0.767448306,,,,cocaspok2003.6.006918,cocaspok2003.0104393,True
,The British telecom sector soared 2.9%.,The British telecom sector soared 2.9%.,0.7819447571,,,,wsj.6.001073,wsj.197500,False
,I'll meet you at home shortly.,I'll meet you at home shortly.,0.7735032608,,,,torontofantasy.6.427150,torontofantasy.5634664,False
,"No knocks, rings of the doorbell.","No knocks, rings of the doorbell,",0.7673246081,,,,torontofantasy.6.048903,torontofantasy.712636,True
,"Petersburg, Moscow, and places like that.","Petersburg, Moscow, and places like that.",0.7822615854,,,,cocaspok1992.6.005989,cocaspok1992.0080390,False
,"Nor, similarly, has our output changed.","Nor, similarly, has our output changed.",0.7394368032,,,,wsj.6.001438,wsj.263604,False
,Don't I make the goofiest faces?,Don't I make the goofiest faces?,0.7650888777,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.00872432,False
,"So, another one bites the dust.","So, another one bites the dust.",0.7597607349,,,,cornellmov.6.008273,cornellmov.0047431,False
,It should also be pointed out.,It should also be pointed out.,0.7411448058,,,,cocaspok2009.6.006794,cocaspok2009.0086247,False
,They serve a two year term.,They serve a two year term.,0.7557850375,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.01917233,False
,Thank you both for your time.,Thank you both for your time.,0.7431758723,,,,cocaspok2009.6.002344,cocaspok2009.0027556,False
,All salons should strive for this.,All salons should strive for this.,0.7524129115,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.00690166,False
,That's not the point at all!,That's not the point at all!,0.7601257063,,,,cornellmov.6.029743,cornellmov.0179982,False
,I didn't really do big parties.,I didn't really do big parties.,0.784512131,,,,torontofantasy.6.178830,torontofantasy.2435731,False
,This is a space between worlds.,This is a space between worlds.,0.7622461754,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00200576,False
,"Until next week, over 'n out.","Until next week, over 'n out.",0.7866327321,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.04324558,False
,Maybe Mr. Logan doesn't use them.,Maybe Mr. Logan doesn't use them.,0.781293185,,,,wsj.6.001675,wsj.306403,False
,I think my heart stopped beating.,I think my heart stopped beating.,0.7633890636,,,,torontofantasy.6.399792,torontofantasy.5231485,False
,I think I got that right.,I think I got that right.,0.7631727453,,,,cocaspok2006.6.006247,cocaspok2006.0099040,False
