reject,sentence_edit,sentence,mean_mem,low_mem_words,mid_mem_words,high_mem_words,index,original_index
,,"Cursing, Tucker skidded to a stop.",0.7592000709,,tucker,,torontomyst.6.134595,torontomyst.1743336
,,We devoured it with local butter.,0.7605063415,,butter,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.01133429
,,"That was the whole idea, Padan.",0.7631050786,,idea,,torontofantasy.6.417709,torontofantasy.5482821
,,He saw me staring at it.,0.7609133845,,staring,,torontomyst.6.005506,torontomyst.77302
,,"It was small, with brown hair.",0.7616310141,,hair,,torontofantasy.6.026002,torontofantasy.387941
,,"This was the royal dungeon, then.",0.7645551915,,dungeon,,torontofantasy.6.196310,torontofantasy.2665954
,,I send my condolences to Sandy.,0.7618998507,,"condolences,sandy",,cocaspok2006.6.001506,cocaspok2006.0025294
,,We don't care about the mark.,0.7598680325,,mark,,cornellmov.6.039251,cornellmov.0241407
,,Then Willie pointed to our right.,0.7600147558,,willie,,torontoadv.6.033747,torontoadv.577253
,,The elevator shuddered and shot upward.,0.7649589095,,upward,,torontofantasy.6.089215,torontofantasy.1319683
,,While the hare's doing her hair.,0.759734344,,hair,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00957449
,,TJones set IRC Nick to Trey314159.,0.7643430045,,nick,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00643653
,,"Interior storage under stairs ideas, stairs.",0.7638449626,,storage,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.01823163
,,I want to look more mature.,0.7655697946,,mature,,cocaspok2010.6.009041,cocaspok2010.0117951
,,"Nate asked, his voice dangerously calm.",0.7581472794,,nate,,torontofantasy.6.291543,torontofantasy.3805801
,"He commanded, his voice gone shrill.","He commanded, his voice gone shrill..",0.761965543,,shrill,,torontofantasy.6.461505,torontofantasy.6001770
,,"You got yourself a computer, Alma.",0.7622514251,,alma,,cornellmov.6.000213,cornellmov.0001319
,,"Be forward, I heard Finn say.",0.7564413959,,finn,,torontomyst.6.015853,torontomyst.226922
,,Need any bridal hair styling advice?,0.7602329278,,hair,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.04028214
,,Is this all we got left?,0.7624128101,,left,,cornellmov.6.002489,cornellmov.0014098
,,"First, misconceptions over the sewer system.",0.761334443,,misconceptions,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.03993817
,,"Next, the kitchen light came on.",0.761579462,,kitchen,,cocaspok1999.6.001224,cocaspok1999.0016874
,,"Jonathan, I'm begging you, please stop!",0.7603800559,,jonathan,,torontofantasy.6.150364,torontofantasy.2045050
,,The corporate media was swarming everywhere.,0.7646343918,,corporate,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.01131129
,,Find your nearest Mobile speed cameras.,0.76254451,,cameras,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.04832301
,,It was founded on which date?,0.7631890539,,date,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00209546
,,Who was staring at his house.,0.7622825091,,staring,,torontofantasy.6.408211,torontofantasy.5343923
,,I put on my special joggers.,0.7591812478,,put,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.00511087
,,What has you so jolly today?,0.7646322578,,jolly,,torontofantasy.6.058437,torontofantasy.847075
,,"His hair, too, is expertly coiffured.",0.7612642881,,hair,,torontofantasy.6.037113,torontofantasy.551594
1,,State You have 150 characters left.,0.7600226127,,left,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03171963
,,A helicopter swooped into view ahead.,0.7636421414,,swooped,,torontomyst.6.132661,torontomyst.1719387
,,He kicked a gall pretty good.,0.7636634099,,gall,,cocaspok2002.6.006150,cocaspok2002.0092654
,And the last man left standing...,And the last man left standing....,0.764921681,last,left,,torontofantasy.6.461093,torontofantasy.5996701
,,I've only got a minute left.,0.7574838174,,left,,cocaspok2004.6.006258,cocaspok2004.0096081
,,My idea of masterful movie making.,0.7564350431,,idea,,brown.6.001100,brown.021602
,,Coming up on the left flank.,0.7627345501,,left,,torontofantasy.6.170744,torontofantasy.2313655
,,Must be a real soft pillow.,0.7612656405,"must,real",pillow,,cornellmov.6.012062,cornellmov.0068523
,,I stabbed him again and again.,0.758374071,,stabbed,,torontofantasy.6.360079,torontofantasy.4721931
,,"Jade, what can I fix you?",0.7635159433,,jade,,cornellmov.6.030072,cornellmov.0182018
,,All that was left was ash.,0.7638727109,,left,,torontoadv.6.008261,torontoadv.138741
,,They launched the space shuttle yesterday.,0.7629952653,,yesterday,,cornellmov.6.029121,cornellmov.0176076
,,We stay in the forests here.,0.7573663452,,forests,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.01968363
,,"I put him out there, Sam.",0.756942071,,put,,cornellmov.6.040949,cornellmov.0252646
,,Morgan Thomas was two for four.,0.7583764575,,thomas,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.04323185
,,Beautiful photos of a beautiful couple!,0.7574468326,,photos,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04557634
,,Williams pass incomplete to Jonathon Thomas.,0.7619127259,,thomas,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03981584
,,The king decreed his mental state.,0.7622352228,,decreed,,torontofantasy.6.039423,torontofantasy.572482
,,I think that's a little crass.,0.7648539799,,crass,,cocaspok2010.6.011791,cocaspok2010.0152725
,,Outside the little kitchen he paused.,0.7623405233,,kitchen,,torontofantasy.6.250801,torontofantasy.3325897
,,The same applied to the cat.,0.7629384992,,cat,,torontofantasy.6.114657,torontofantasy.1637879
,,He said he grew up poor?,0.761775146,,poor,,cornellmov.6.004276,cornellmov.0023940
,,And do not worry for Max.,0.7600154293,,max,,torontofantasy.6.432163,torontofantasy.5701988
,,He put his arm around her.,0.7635479421,,put,,torontomyst.6.066743,torontomyst.925113
,,I talk to Willie every day.,0.7638422971,every,willie,,cocaspok2001.6.007269,cocaspok2001.0109628
,,Where did you disappear to yesterday?,0.7591902602,,yesterday,,torontoadv.6.002870,torontoadv.55473
,,It's good for our rural economy.,0.7629300797,,economy,,cocaspok1990.6.002644,cocaspok1990.0042284
,,"For more details, see Sharpen photos.",0.7626268606,,photos,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04877471
,,His fate is now still unknown.,0.7608250837,still,fate,,cocaspok2005.6.006412,cocaspok2005.0100609
,,"Well, your home is your castle.",0.7605513578,,castle,,cocaspok2006.6.007301,cocaspok2006.0114373
,,"Light, his socket was throbbing again.",0.7594086464,,socket,,torontofantasy.6.205109,torontofantasy.2777878
,,Why is that necklace so important?,0.7650244309,,important,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.02746904
,,Put down the cup of coffee.,0.7618573768,,"put,down",,brown.6.001013,brown.020029
,,Open the folder MQL4 and indicators.,0.7616930158,,folder,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.01964429
,,I don't -- I have no idea.,0.7581181926,,idea,,cocaspok1999.6.009037,cocaspok1999.0117508
,Long as it ain't too dirty.,Long as it ain't to dirty.,0.7637835642,,dirty,,cornellmov.6.021843,cornellmov.0128722
,,"Third, do the first things first.",0.7638474774,,third,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04703105
,,Homeowners insurance is put in place.,0.7594105914,,put,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04090792
,,Will they pass the Bulgarian border?,0.7631215915,,border,,torontofantasy.6.085043,torontofantasy.1260103
,,Many times they binge earlier nausea.,0.7586300373,,nausea,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.03349954
,,Left is the more expensive suit.,0.7602221961,,left,,cocaspok2000.6.007480,cocaspok2000.0118280
,,You... left it down at Greely's.,0.7611829308,,"left,down",,cornellmov.6.040191,cornellmov.0247609
,,There's nothing left for me here.,0.7655881882,,left,,cornellmov.6.037130,cornellmov.0227279
,,"You gotta idea, spit it out.",0.7605791472,,idea,,cornellmov.6.004701,cornellmov.0026435
,,Its great for a double date.,0.7623083915,,date,,cocaspok2011.6.000342,cocaspok2011.0003759
,,This whole trip was Moore's idea.,0.7625575443,,idea,,torontomyst.6.039720,torontomyst.567988
,,Joe poured another shot for himself.,0.7642353929,,joe,,torontoadv.6.010643,torontoadv.182050
,,"Martin returned, handing me a mug.",0.758328638,"returned,handing",martin,,torontomyst.6.171436,torontomyst.2180628
,,Border Patrol and local law enforcement.,0.7646309065,,border,,cocaspok2006.6.004151,cocaspok2006.0067642
,,I've put everything at your disposal.,0.7640737826,,put,,cornellmov.6.027710,cornellmov.0167013
,,Now we are only sixteen left.,0.760061099,,left,,torontoadv.6.042813,torontoadv.728944
,,Still no idea what this is.,0.76091405,still,idea,,cocaspok2004.6.007127,cocaspok2004.0108496
,,"Okay, this wasn't a good idea.",0.7576951232,,idea,,torontofantasy.6.359737,torontofantasy.4718317
,,I'd like to put things right.,0.7630519418,,put,,cornellmov.6.032614,cornellmov.0198239
,,How important is photography to society?,0.7565233451,,important,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01615629
,,And they kissed at the doorstep.,0.7631486164,,doorstep,,torontoadv.6.043901,torontoadv.749014
,,Give my blessing to the girl.,0.7592202042,give,blessing,,cornellmov.6.035411,cornellmov.0216110
,,The Queen's smile left her face.,0.7576609516,,left,,torontofantasy.6.236800,torontofantasy.3152449
,,A crystal vial sat on it.,0.7651111701,,crystal,,torontofantasy.6.029898,torontofantasy.432367
,,"Melissa: No, that idea went away.",0.7646667919,,idea,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.00613512
,,Max... what are you talking about?,0.7628876943,,max,,cornellmov.6.005658,cornellmov.0032249
,,History is written by the victor.,0.7607412169,,victor,,cornellmov.6.022861,cornellmov.0135754
,,The new cameras never showed anything.,0.7606221325,,cameras,,torontomyst.6.058602,torontomyst.810732
,,"The bigger the hair, the better.",0.7565363593,better,hair,,cocaspok2001.6.005018,cocaspok2001.0078589
,,The College is on your left.,0.7618059224,,left,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02215640
,,The plastic wrap thing is fun.,0.762238971,,plastic,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.01921562
,,Her mouth was a thin line.,0.7582245781,,thin,,torontomyst.6.089294,torontomyst.1200961
,,Their uniforms were pale and shimmered.,0.7587121584,,pale,,torontofantasy.6.019177,torontofantasy.280038
,,I haven't got the vaguest idea.,0.7565640067,,idea,,cocaspok1990.6.001200,cocaspok1990.0019729
,,Put the cabbages on the plates.,0.7607099505,,put,,torontofantasy.6.161523,torontofantasy.2197755
,,Tick felt tears glisten his eyes.,0.7621126291,,tick,,torontofantasy.6.460030,torontofantasy.5982106
,,His third stride was his last.,0.7584435239,last,third,,torontofantasy.6.233508,torontofantasy.3110722
,,Turn left into the parking lot.,0.7606202511,,left,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02563268
,,He said Gary has the key.,0.7614590241,,gary,,torontofantasy.6.325723,torontofantasy.4261517
,,"He, he never went to church.",0.7585133752,,church,,cocaspok2010.6.001012,cocaspok2010.0013512
,,They never did put her under.,0.7612446088,,put,,cornellmov.6.015796,cornellmov.0090239
,,My breath made the hair flutter.,0.765509024,,hair,,torontofantasy.6.137941,torontofantasy.1886325
,,Meilin put her finger on it.,0.7613914451,,put,,torontofantasy.6.371089,torontofantasy.4853770
,,Find your way in the Cloud.,0.7615144958,,cloud,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.03909687
,,But Nick would not let go.,0.7630204306,,nick,,brown.6.001044,brown.020470
,,"I mean, they had the summit.",0.7596846891,,summit,,cocaspok1996.6.007015,cocaspok1996.0088439
,,Martin held me away from him.,0.7595216625,,martin,,torontomyst.6.101849,torontomyst.1350406
,,Let's individually start with Bruce Jenner.,0.7575436563,,bruce,,cocaspok1999.6.003902,cocaspok1999.0052992
,,Are you a budding young feminist?,0.7644729072,,feminist,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04395411
,,"Can I tell you something, Maria?",0.7586393457,,maria,,torontofantasy.6.072114,torontofantasy.1066408
,,"That was preposterous, high school, unfathomable.",0.7607468518,,preposterous,,torontofantasy.6.407960,torontofantasy.5339733
,,The hair on his arms raised.,0.760424914,raised,hair,,torontofantasy.6.421140,torontofantasy.5554372
,,Such a poetic gallery of photos.,0.764584376,such,photos,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03401979
,,Thems nearly all I had left.,0.76210669,,left,,torontoadv.6.051714,torontoadv.870166
,,Now it's just a question mark.,0.765221678,,mark,,torontofantasy.6.071620,torontofantasy.1058256
,,Mark your calendar and get planning!,0.7587944841,,mark,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03914716
,,Get more snatch by the batch!,0.7651544006,,snatch,,cornellmov.6.020640,cornellmov.0121037
,,Jonathan was such a beautiful man.,0.7644678927,such,jonathan,,cornellmov.6.031160,cornellmov.0189091
,,Put it here at the end.,0.7642967723,,put,,torontofantasy.6.241901,torontofantasy.3212660
,,"Max tipped his head, accepting that.",0.7604202206,,max,,torontofantasy.6.453039,torontofantasy.5882957
,,"Bill Tucker, thank you very much.",0.7609008331,,tucker,,cocaspok2009.6.006567,cocaspok2009.0083792
,,"He turned around, his face pale.",0.7646922728,,pale,,torontofantasy.6.469253,torontofantasy.6094583
,,"Rick, I want to test this.",0.7647598449,,rick,,cocaspok1994.6.005309,cocaspok1994.0067561
,,I had the best date ever.,0.7612416717,,date,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03062362
,,A complimentary continental breakfast is included.,0.763756439,,continental,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.04890141
,,It's even more fabulous in person.,0.7646985844,,fabulous,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.01812192
,,A psychiatrist would call it denial.,0.7603942565,,denial,,cocaspok1992.6.000745,cocaspok1992.0009696
,,And that's what he had yesterday.,0.7655369834,,yesterday,,cocaspok2012.6.007028,cocaspok2012.088691
,,I begin fiddling with my hair.,0.7627411407,,hair,,torontofantasy.6.189557,torontofantasy.2576706
,,You can't put them near kids.,0.760182707,,put,,cocaspok2007.6.003202,cocaspok2007.0039449
,,He had five more canisters left.,0.7634713827,,"canisters,left",,torontoadv.6.039492,torontoadv.673545
,,He was staring at the gate.,0.7641568958,,staring,,torontofantasy.6.438370,torontofantasy.5754992
,,Her eyes darted to the left.,0.7574587191,,left,,torontofantasy.6.442840,torontofantasy.5792614
,,Turn left on to Bass Pro.,0.7591022806,,left,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00201143
,,You created a unique scotch glass.,0.7609286647,,unique,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.04819352
,,"After Hollin left, the hours dragged.",0.7571463922,,left,,torontofantasy.6.228648,torontofantasy.3053444
,,He flicked a glance at Thomas.,0.7627862733,,thomas,,torontomyst.6.155661,torontomyst.2001186
,Saavik: Where is the Reliant crew?,SAAVIK Where is the Reliant crew?,0.7649029772,,crew,,cornellmov.6.024199,cornellmov.0144448
,,"Folks, we're off to the kitchen.",0.7577702569,,kitchen,,cocaspok2011.6.005941,cocaspok2011.0074634
,,That's a right smart of money...,0.7604009257,,smart,,cornellmov.6.027592,cornellmov.0166379
,Why should plastic not be banned?,Why Should Plastic Not Be Banned?,0.7602560611,,plastic,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.04942155
,,Her body felt starved and thin.,0.7571175676,,thin,,torontofantasy.6.427501,torontofantasy.5639510
,,It's all sweetness mixed with dread.,0.7652378111,,sweetness,,torontofantasy.6.252220,torontofantasy.3342915
,,"They are amazing, smart, young people.",0.7572284751,amazing,smart,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03270686
,,They put me in a convent?,0.7623609465,,put,,cornellmov.6.037079,cornellmov.0227032
,,And I have no idea why.,0.7599175722,,idea,,cornellmov.6.006867,cornellmov.0039447
,,He led them into the kitchen.,0.7608518432,,kitchen,,torontoadv.6.045406,torontoadv.770670
,,Nate was obviously jealous or something.,0.7578820765,,nate,,torontofantasy.6.018118,torontofantasy.267131
,,"No, it's not just my idea.",0.76067,,idea,,cocaspok1991.6.001757,cocaspok1991.0030062
1,,"He's unique, prolific and philosophical; and.",0.7592628916,,unique,,torontoadv.6.010592,torontoadv.181441
,,I grabbed his forearm and squeezed.,0.7620539163,,squeezed,,torontofantasy.6.133037,torontofantasy.1818434
,,Here I left the default formatting.,0.7651058933,,left,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.04187808
,,That there's nothing left to learn.,0.7607252371,,left,,cornellmov.6.023287,cornellmov.0138469
,,"Yes, it's supposed to be tethered.",0.7594210831,,tethered,,cocaspok2009.6.009414,cocaspok2009.0122398
,,Isn't this all a little paranoid?,0.7602786916,,paranoid,,cornellmov.6.009945,cornellmov.0056585
,,The great passion in his life?,0.7637970149,life,passion,,cocaspok2006.6.004418,cocaspok2006.0071765
,,Fetch him back to the castle.,0.7599205709,,castle,,torontofantasy.6.462973,torontofantasy.6020793
,,It might be in the kitchen.,0.7570255423,,kitchen,,cornellmov.6.012710,cornellmov.0072450
,,Include actual photos of your shop.,0.7621719324,,photos,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.01143740
,,Photos are changing when zoomed out.,0.7569567481,,photos,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.04726015
,,He's recovering on the third floor.,0.7578791993,,third,,cornellmov.6.005724,cornellmov.0032626
,,The church was built with fieldstone.,0.7628604145,,church,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01544886
,,Fate was ever a capricious viper.,0.7582436955,,fate,,torontofantasy.6.221617,torontofantasy.2974263
,,Then we heard a thud downstairs.,0.758310262,,thud,,torontofantasy.6.018328,torontofantasy.269435
,Why is DBI important for students?,Why is DBI Important for Students?,0.7638620995,,important,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.01616509
,"""Smart,"" he says with a smile.","Smart,"" he says with a smile.",0.75910837,,smart,,torontofantasy.6.010472,torontofantasy.154169
,,Seat Thomas was out on patrol.,0.7634511091,,thomas,,torontomyst.6.090065,torontomyst.1211713
,,It was just in poor humor.,0.7632740598,,poor,,cocaspok2009.6.009339,cocaspok2009.0121518
,,The doctor looked pale and exhausted.,0.7636887337,,pale,,torontomyst.6.077218,torontomyst.1055680
,,I'm feeling a little left out.,0.7565969219,,left,,cornellmov.6.016259,cornellmov.0093134
,,It left her off the hook.,0.7625295935,,left,,torontomyst.6.069378,torontomyst.958701
,,Like yesterday I missed a day.,0.7634784609,,yesterday,,cocaspok2011.6.005926,cocaspok2011.0074491
,,You never know with the Republic.,0.7585523681,,republic,,torontofantasy.6.474855,torontofantasy.6172965
,"You know, David's paranoid, you know.","You know,"" David's paranoid, you know.",0.7601898516,,paranoid,,cocaspok2004.6.007630,cocaspok2004.0114384
,,How can the sphere do that?,0.7652570059,,sphere,,cornellmov.6.013563,cornellmov.0076959
,,Put your face in the mirror.,0.7628638147,,put,,cornellmov.6.031355,cornellmov.0190338
,,Your mail's on the kitchen table.,0.7586478528,,kitchen,,cornellmov.6.027403,cornellmov.0165162
,,Make mealtime magical for your pup!,0.7631878963,,magical,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00627774
,,A heavy sigh escaped the woman.,0.7599361007,heavy,sigh,,torontomyst.6.128649,torontomyst.1679411
,,Maybe there is a third killer.,0.7645686731,,third,,cornellmov.6.036679,cornellmov.0224519
,,A sudden sweetness in the air.,0.758681325,,sweetness,,torontomyst.6.141434,torontomyst.1833342
,,Burnett continued staring right at her.,0.7649272818,,staring,,torontofantasy.6.390079,torontofantasy.5109573
,,"He declined to comment yesterday, however.",0.7600529762,,yesterday,,wsj.6.000468,wsj.086469
,,That's a lot of plastic straws.,0.7614697911,,plastic,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.01845781
,,"Not shot, strangled or stabbed, either.",0.7603037041,,stabbed,,cornellmov.6.038799,cornellmov.0238172
,,Marketing and Sales should work together.,0.7593073533,,marketing,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03650305
,,Thomas couldn't make out anything beyond.,0.7587528507,,thomas,,torontofantasy.6.075369,torontofantasy.1113789
,,"It's not a good idea, Hallie.",0.7649190706,,idea,,cornellmov.6.012872,cornellmov.0073322
,,They make a fabulous summertime meal.,0.7586456046,,fabulous,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02185619
,,But the cavern was still filling.,0.7564878205,still,cavern,,torontofantasy.6.009543,torontofantasy.140196
,,"Materializing, it seems, from thin air.",0.7644256988,,thin,,torontofantasy.6.151546,torontofantasy.2063005
,,Please stop giving me gray hair.,0.7583817232,,hair,,torontofantasy.6.355359,torontofantasy.4665413
,,"Finally, they reached the large kitchen.",0.756904554,,kitchen,,torontofantasy.6.451818,torontofantasy.5865123
,,Bayliss is not keen on seafood.,0.7581092442,,seafood,,cornellmov.6.032265,cornellmov.0196153
,,Karin's pale eyes met mine briefly.,0.7587704734,,pale,,torontofantasy.6.249196,torontofantasy.3305292
,,We are talking with Randy Olson.,0.7615593133,,randy,,cocaspok2009.6.009823,cocaspok2009.0127453
,The clock for the third time.,The Clock for the third time.,0.7587627904,,third,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.01248234
,,I think it's a wonderful idea.,0.7590109182,,idea,,torontofantasy.6.343292,torontofantasy.4518114
,,If garbled revelation's all they've got.,0.7577291358,,garbled,,torontofantasy.6.027324,torontofantasy.398094
,,Their fused third leg was removed.,0.7569528918,,third,,cocaspok2008.6.000443,cocaspok2008.0005517
,,Can fashion save the world's forests?,0.7585299078,,forests,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03013092
,,Jade pushed up onto her knees.,0.7633133602,,jade,,torontofantasy.6.435040,torontofantasy.5729119
,,This promise completed poor Kit's consolation.,0.7563409683,,poor,,torontoadv.6.010251,torontoadv.175536
,,"It really was Shaw, I realized.",0.7605986591,,shaw,,torontoadv.6.008688,torontoadv.143927
,Absolutely no plastic touches your liquid.,Absolutely NO plastic touches your liquid.,0.7590590709,,plastic,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.04050067
,How do you respond to purple?,How do YOU respond to PURPLE?,0.759986859,,purple,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00496602
,,And I had the afternoons free.,0.7599417683,free,afternoons,,torontofantasy.6.116327,torontofantasy.1652513
,,I'm going to eat and relax.,0.7645337259,,relax,,cocaspok2007.6.010638,cocaspok2007.0133006
,,"Lena was staring at me, concerned.",0.7613603107,concerned,staring,,torontofantasy.6.099690,torontofantasy.1446799
,,What's -- he was put into custody.,0.7594548443,,put,,cocaspok2007.6.004865,cocaspok2007.0064859
,,Victor looked relieved at my words.,0.764865624,,victor,,torontoadv.6.008583,torontoadv.142456
,,Let's put this in some context.,0.7613701367,,put,,cocaspok2008.6.000985,cocaspok2008.0012579
,,Why code review is so important?,0.7624017457,,important,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02507364
