reject,sentence,sentence_original,mean_mem,low_mem_words,mid_mem_words,high_mem_words,index,original_index,has_edit
,Need any bridal hair styling advice?,Need any bridal hair styling advice?,0.7602329278,,hair,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.04028214,False
,Is this all we got left?,Is this all we got left?,0.7624128101,,left,,cornellmov.6.002489,cornellmov.0014098,False
,"First, misconceptions over the sewer system.","First, misconceptions over the sewer system.",0.761334443,,misconceptions,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.03993817,False
,"Next, the kitchen light came on.","Next, the kitchen light came on.",0.761579462,,kitchen,,cocaspok1999.6.001224,cocaspok1999.0016874,False
,"Jonathan, I'm begging you, please stop!","Jonathan, I'm begging you, please stop!",0.7603800559,,jonathan,,torontofantasy.6.150364,torontofantasy.2045050,False
,The corporate media was swarming everywhere.,The corporate media was swarming everywhere.,0.7646343918,,corporate,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.01131129,False
,Find your nearest Mobile speed cameras.,Find your nearest Mobile speed cameras.,0.76254451,,cameras,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.04832301,False
,It was founded on which date?,It was founded on which date?,0.7631890539,,date,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00209546,False
,Who was staring at his house.,Who was staring at his house.,0.7622825091,,staring,,torontofantasy.6.408211,torontofantasy.5343923,False
,I put on my special joggers.,I put on my special joggers.,0.7591812478,,put,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.00511087,False
,What has you so jolly today?,What has you so jolly today?,0.7646322578,,jolly,,torontofantasy.6.058437,torontofantasy.847075,False
,"His hair, too, is expertly coiffured.","His hair, too, is expertly coiffured.",0.7612642881,,hair,,torontofantasy.6.037113,torontofantasy.551594,False
,A helicopter swooped into view ahead.,A helicopter swooped into view ahead.,0.7636421414,,swooped,,torontomyst.6.132661,torontomyst.1719387,False
,He kicked a gall pretty good.,He kicked a gall pretty good.,0.7636634099,,gall,,cocaspok2002.6.006150,cocaspok2002.0092654,False
,And the last man left standing...,And the last man left standing....,0.764921681,last,left,,torontofantasy.6.461093,torontofantasy.5996701,True
,I've only got a minute left.,I've only got a minute left.,0.7574838174,,left,,cocaspok2004.6.006258,cocaspok2004.0096081,False
,My idea of masterful movie making.,My idea of masterful movie making.,0.7564350431,,idea,,brown.6.001100,brown.021602,False
,Coming up on the left flank.,Coming up on the left flank.,0.7627345501,,left,,torontofantasy.6.170744,torontofantasy.2313655,False
,Must be a real soft pillow.,Must be a real soft pillow.,0.7612656405,"must,real",pillow,,cornellmov.6.012062,cornellmov.0068523,False
,I stabbed him again and again.,I stabbed him again and again.,0.758374071,,stabbed,,torontofantasy.6.360079,torontofantasy.4721931,False
,"Jade, what can I fix you?","Jade, what can I fix you?",0.7635159433,,jade,,cornellmov.6.030072,cornellmov.0182018,False
,All that was left was ash.,All that was left was ash.,0.7638727109,,left,,torontoadv.6.008261,torontoadv.138741,False
,They launched the space shuttle yesterday.,They launched the space shuttle yesterday.,0.7629952653,,yesterday,,cornellmov.6.029121,cornellmov.0176076,False
,We stay in the forests here.,We stay in the forests here.,0.7573663452,,forests,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.01968363,False
,"I put him out there, Sam.","I put him out there, Sam.",0.756942071,,put,,cornellmov.6.040949,cornellmov.0252646,False
,Morgan Thomas was two for four.,Morgan Thomas was two for four.,0.7583764575,,thomas,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.04323185,False
,Beautiful photos of a beautiful couple!,Beautiful photos of a beautiful couple!,0.7574468326,,photos,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04557634,False
,Williams pass incomplete to Jonathon Thomas.,Williams pass incomplete to Jonathon Thomas.,0.7619127259,,thomas,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03981584,False
,The king decreed his mental state.,The king decreed his mental state.,0.7622352228,,decreed,,torontofantasy.6.039423,torontofantasy.572482,False
,I think that's a little crass.,I think that's a little crass.,0.7648539799,,crass,,cocaspok2010.6.011791,cocaspok2010.0152725,False
,Outside the little kitchen he paused.,Outside the little kitchen he paused.,0.7623405233,,kitchen,,torontofantasy.6.250801,torontofantasy.3325897,False
,The same applied to the cat.,The same applied to the cat.,0.7629384992,,cat,,torontofantasy.6.114657,torontofantasy.1637879,False
,He said he grew up poor?,He said he grew up poor?,0.761775146,,poor,,cornellmov.6.004276,cornellmov.0023940,False
,And do not worry for Max.,And do not worry for Max.,0.7600154293,,max,,torontofantasy.6.432163,torontofantasy.5701988,False
,He put his arm around her.,He put his arm around her.,0.7635479421,,put,,torontomyst.6.066743,torontomyst.925113,False
,I talk to Willie every day.,I talk to Willie every day.,0.7638422971,every,willie,,cocaspok2001.6.007269,cocaspok2001.0109628,False
,Where did you disappear to yesterday?,Where did you disappear to yesterday?,0.7591902602,,yesterday,,torontoadv.6.002870,torontoadv.55473,False
,It's good for our rural economy.,It's good for our rural economy.,0.7629300797,,economy,,cocaspok1990.6.002644,cocaspok1990.0042284,False
,"For more details, see Sharpen photos.","For more details, see Sharpen photos.",0.7626268606,,photos,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04877471,False
,His fate is now still unknown.,His fate is now still unknown.,0.7608250837,still,fate,,cocaspok2005.6.006412,cocaspok2005.0100609,False
,"Well, your home is your castle.","Well, your home is your castle.",0.7605513578,,castle,,cocaspok2006.6.007301,cocaspok2006.0114373,False
,"Light, his socket was throbbing again.","Light, his socket was throbbing again.",0.7594086464,,socket,,torontofantasy.6.205109,torontofantasy.2777878,False
,Why is that necklace so important?,Why is that necklace so important?,0.7650244309,,important,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.02746904,False
,Put down the cup of coffee.,Put down the cup of coffee.,0.7618573768,,"put,down",,brown.6.001013,brown.020029,False
,Open the folder MQL4 and indicators.,Open the folder MQL4 and indicators.,0.7616930158,,folder,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.01964429,False
,I don't -- I have no idea.,I don't -- I have no idea.,0.7581181926,,idea,,cocaspok1999.6.009037,cocaspok1999.0117508,False
,Long as it ain't too dirty.,Long as it ain't to dirty.,0.7637835642,,dirty,,cornellmov.6.021843,cornellmov.0128722,True
,"Third, do the first things first.","Third, do the first things first.",0.7638474774,,third,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04703105,False
,Homeowners insurance is put in place.,Homeowners insurance is put in place.,0.7594105914,,put,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04090792,False
,Will they pass the Bulgarian border?,Will they pass the Bulgarian border?,0.7631215915,,border,,torontofantasy.6.085043,torontofantasy.1260103,False
,Many times they binge earlier nausea.,Many times they binge earlier nausea.,0.7586300373,,nausea,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.03349954,False
,Left is the more expensive suit.,Left is the more expensive suit.,0.7602221961,,left,,cocaspok2000.6.007480,cocaspok2000.0118280,False
,You... left it down at Greely's.,You... left it down at Greely's.,0.7611829308,,"left,down",,cornellmov.6.040191,cornellmov.0247609,False
,There's nothing left for me here.,There's nothing left for me here.,0.7655881882,,left,,cornellmov.6.037130,cornellmov.0227279,False
,"You gotta idea, spit it out.","You gotta idea, spit it out.",0.7605791472,,idea,,cornellmov.6.004701,cornellmov.0026435,False
,Its great for a double date.,Its great for a double date.,0.7623083915,,date,,cocaspok2011.6.000342,cocaspok2011.0003759,False
,This whole trip was Moore's idea.,This whole trip was Moore's idea.,0.7625575443,,idea,,torontomyst.6.039720,torontomyst.567988,False
,Joe poured another shot for himself.,Joe poured another shot for himself.,0.7642353929,,joe,,torontoadv.6.010643,torontoadv.182050,False
,"Martin returned, handing me a mug.","Martin returned, handing me a mug.",0.758328638,"returned,handing",martin,,torontomyst.6.171436,torontomyst.2180628,False
,Border Patrol and local law enforcement.,Border Patrol and local law enforcement.,0.7646309065,,border,,cocaspok2006.6.004151,cocaspok2006.0067642,False
,I've put everything at your disposal.,I've put everything at your disposal.,0.7640737826,,put,,cornellmov.6.027710,cornellmov.0167013,False
,Now we are only sixteen left.,Now we are only sixteen left.,0.760061099,,left,,torontoadv.6.042813,torontoadv.728944,False
,Still no idea what this is.,Still no idea what this is.,0.76091405,still,idea,,cocaspok2004.6.007127,cocaspok2004.0108496,False
,"Okay, this wasn't a good idea.","Okay, this wasn't a good idea.",0.7576951232,,idea,,torontofantasy.6.359737,torontofantasy.4718317,False
,I'd like to put things right.,I'd like to put things right.,0.7630519418,,put,,cornellmov.6.032614,cornellmov.0198239,False
,How important is photography to society?,How important is photography to society?,0.7565233451,,important,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01615629,False
,And they kissed at the doorstep.,And they kissed at the doorstep.,0.7631486164,,doorstep,,torontoadv.6.043901,torontoadv.749014,False
,Give my blessing to the girl.,Give my blessing to the girl.,0.7592202042,give,blessing,,cornellmov.6.035411,cornellmov.0216110,False
,The Queen's smile left her face.,The Queen's smile left her face.,0.7576609516,,left,,torontofantasy.6.236800,torontofantasy.3152449,False
,A crystal vial sat on it.,A crystal vial sat on it.,0.7651111701,,crystal,,torontofantasy.6.029898,torontofantasy.432367,False
,"Melissa: No, that idea went away.","Melissa: No, that idea went away.",0.7646667919,,idea,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.00613512,False
,Max... what are you talking about?,Max... what are you talking about?,0.7628876943,,max,,cornellmov.6.005658,cornellmov.0032249,False
,History is written by the victor.,History is written by the victor.,0.7607412169,,victor,,cornellmov.6.022861,cornellmov.0135754,False
,The new cameras never showed anything.,The new cameras never showed anything.,0.7606221325,,cameras,,torontomyst.6.058602,torontomyst.810732,False
,"The bigger the hair, the better.","The bigger the hair, the better.",0.7565363593,better,hair,,cocaspok2001.6.005018,cocaspok2001.0078589,False
,The College is on your left.,The College is on your left.,0.7618059224,,left,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02215640,False
,The plastic wrap thing is fun.,The plastic wrap thing is fun.,0.762238971,,plastic,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.01921562,False
,Her mouth was a thin line.,Her mouth was a thin line.,0.7582245781,,thin,,torontomyst.6.089294,torontomyst.1200961,False
,Their uniforms were pale and shimmered.,Their uniforms were pale and shimmered.,0.7587121584,,pale,,torontofantasy.6.019177,torontofantasy.280038,False
,I haven't got the vaguest idea.,I haven't got the vaguest idea.,0.7565640067,,idea,,cocaspok1990.6.001200,cocaspok1990.0019729,False
,Put the cabbages on the plates.,Put the cabbages on the plates.,0.7607099505,,put,,torontofantasy.6.161523,torontofantasy.2197755,False
,Tick felt tears glisten his eyes.,Tick felt tears glisten his eyes.,0.7621126291,,tick,,torontofantasy.6.460030,torontofantasy.5982106,False
,His third stride was his last.,His third stride was his last.,0.7584435239,last,third,,torontofantasy.6.233508,torontofantasy.3110722,False
,Turn left into the parking lot.,Turn left into the parking lot.,0.7606202511,,left,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02563268,False
,He said Gary has the key.,He said Gary has the key.,0.7614590241,,gary,,torontofantasy.6.325723,torontofantasy.4261517,False
,"He, he never went to church.","He, he never went to church.",0.7585133752,,church,,cocaspok2010.6.001012,cocaspok2010.0013512,False
,They never did put her under.,They never did put her under.,0.7612446088,,put,,cornellmov.6.015796,cornellmov.0090239,False
,My breath made the hair flutter.,My breath made the hair flutter.,0.765509024,,hair,,torontofantasy.6.137941,torontofantasy.1886325,False
,Meilin put her finger on it.,Meilin put her finger on it.,0.7613914451,,put,,torontofantasy.6.371089,torontofantasy.4853770,False
,Find your way in the Cloud.,Find your way in the Cloud.,0.7615144958,,cloud,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.03909687,False
,But Nick would not let go.,But Nick would not let go.,0.7630204306,,nick,,brown.6.001044,brown.020470,False
,"I mean, they had the summit.","I mean, they had the summit.",0.7596846891,,summit,,cocaspok1996.6.007015,cocaspok1996.0088439,False
,Martin held me away from him.,Martin held me away from him.,0.7595216625,,martin,,torontomyst.6.101849,torontomyst.1350406,False
,Let's individually start with Bruce Jenner.,Let's individually start with Bruce Jenner.,0.7575436563,,bruce,,cocaspok1999.6.003902,cocaspok1999.0052992,False
,Are you a budding young feminist?,Are you a budding young feminist?,0.7644729072,,feminist,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04395411,False
,"Can I tell you something, Maria?","Can I tell you something, Maria?",0.7586393457,,maria,,torontofantasy.6.072114,torontofantasy.1066408,False
,"That was preposterous, high school, unfathomable.","That was preposterous, high school, unfathomable.",0.7607468518,,preposterous,,torontofantasy.6.407960,torontofantasy.5339733,False
,The hair on his arms raised.,The hair on his arms raised.,0.760424914,raised,hair,,torontofantasy.6.421140,torontofantasy.5554372,False
,Such a poetic gallery of photos.,Such a poetic gallery of photos.,0.764584376,such,photos,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03401979,False
,Thems nearly all I had left.,Thems nearly all I had left.,0.76210669,,left,,torontoadv.6.051714,torontoadv.870166,False
,Now it's just a question mark.,Now it's just a question mark.,0.765221678,,mark,,torontofantasy.6.071620,torontofantasy.1058256,False
,Mark your calendar and get planning!,Mark your calendar and get planning!,0.7587944841,,mark,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03914716,False
,Get more snatch by the batch!,Get more snatch by the batch!,0.7651544006,,snatch,,cornellmov.6.020640,cornellmov.0121037,False
,Jonathan was such a beautiful man.,Jonathan was such a beautiful man.,0.7644678927,such,jonathan,,cornellmov.6.031160,cornellmov.0189091,False
,Put it here at the end.,Put it here at the end.,0.7642967723,,put,,torontofantasy.6.241901,torontofantasy.3212660,False
,"Max tipped his head, accepting that.","Max tipped his head, accepting that.",0.7604202206,,max,,torontofantasy.6.453039,torontofantasy.5882957,False
,"Bill Tucker, thank you very much.","Bill Tucker, thank you very much.",0.7609008331,,tucker,,cocaspok2009.6.006567,cocaspok2009.0083792,False
,"He turned around, his face pale.","He turned around, his face pale.",0.7646922728,,pale,,torontofantasy.6.469253,torontofantasy.6094583,False
,"Rick, I want to test this.","Rick, I want to test this.",0.7647598449,,rick,,cocaspok1994.6.005309,cocaspok1994.0067561,False
,I had the best date ever.,I had the best date ever.,0.7612416717,,date,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03062362,False
,A complimentary continental breakfast is included.,A complimentary continental breakfast is included.,0.763756439,,continental,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.04890141,False
,It's even more fabulous in person.,It's even more fabulous in person.,0.7646985844,,fabulous,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.01812192,False
,A psychiatrist would call it denial.,A psychiatrist would call it denial.,0.7603942565,,denial,,cocaspok1992.6.000745,cocaspok1992.0009696,False
,And that's what he had yesterday.,And that's what he had yesterday.,0.7655369834,,yesterday,,cocaspok2012.6.007028,cocaspok2012.088691,False
,I begin fiddling with my hair.,I begin fiddling with my hair.,0.7627411407,,hair,,torontofantasy.6.189557,torontofantasy.2576706,False
,You can't put them near kids.,You can't put them near kids.,0.760182707,,put,,cocaspok2007.6.003202,cocaspok2007.0039449,False
,He had five more canisters left.,He had five more canisters left.,0.7634713827,,"canisters,left",,torontoadv.6.039492,torontoadv.673545,False
,He was staring at the gate.,He was staring at the gate.,0.7641568958,,staring,,torontofantasy.6.438370,torontofantasy.5754992,False
,Her eyes darted to the left.,Her eyes darted to the left.,0.7574587191,,left,,torontofantasy.6.442840,torontofantasy.5792614,False
,Turn left on to Bass Pro.,Turn left on to Bass Pro.,0.7591022806,,left,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00201143,False
,You created a unique scotch glass.,You created a unique scotch glass.,0.7609286647,,unique,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.04819352,False
,"After Hollin left, the hours dragged.","After Hollin left, the hours dragged.",0.7571463922,,left,,torontofantasy.6.228648,torontofantasy.3053444,False
,He flicked a glance at Thomas.,He flicked a glance at Thomas.,0.7627862733,,thomas,,torontomyst.6.155661,torontomyst.2001186,False
,Saavik: Where is the Reliant crew?,SAAVIK Where is the Reliant crew?,0.7649029772,,crew,,cornellmov.6.024199,cornellmov.0144448,True
,"Folks, we're off to the kitchen.","Folks, we're off to the kitchen.",0.7577702569,,kitchen,,cocaspok2011.6.005941,cocaspok2011.0074634,False
,That's a right smart of money...,That's a right smart of money...,0.7604009257,,smart,,cornellmov.6.027592,cornellmov.0166379,False
,Why should plastic not be banned?,Why Should Plastic Not Be Banned?,0.7602560611,,plastic,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.04942155,True
,Her body felt starved and thin.,Her body felt starved and thin.,0.7571175676,,thin,,torontofantasy.6.427501,torontofantasy.5639510,False
,It's all sweetness mixed with dread.,It's all sweetness mixed with dread.,0.7652378111,,sweetness,,torontofantasy.6.252220,torontofantasy.3342915,False
,"They are amazing, smart, young people.","They are amazing, smart, young people.",0.7572284751,amazing,smart,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03270686,False
,They put me in a convent?,They put me in a convent?,0.7623609465,,put,,cornellmov.6.037079,cornellmov.0227032,False
,And I have no idea why.,And I have no idea why.,0.7599175722,,idea,,cornellmov.6.006867,cornellmov.0039447,False
,He led them into the kitchen.,He led them into the kitchen.,0.7608518432,,kitchen,,torontoadv.6.045406,torontoadv.770670,False
,Nate was obviously jealous or something.,Nate was obviously jealous or something.,0.7578820765,,nate,,torontofantasy.6.018118,torontofantasy.267131,False
,"No, it's not just my idea.","No, it's not just my idea.",0.76067,,idea,,cocaspok1991.6.001757,cocaspok1991.0030062,False
,I grabbed his forearm and squeezed.,I grabbed his forearm and squeezed.,0.7620539163,,squeezed,,torontofantasy.6.133037,torontofantasy.1818434,False
,Here I left the default formatting.,Here I left the default formatting.,0.7651058933,,left,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.04187808,False
,That there's nothing left to learn.,That there's nothing left to learn.,0.7607252371,,left,,cornellmov.6.023287,cornellmov.0138469,False
,"Yes, it's supposed to be tethered.","Yes, it's supposed to be tethered.",0.7594210831,,tethered,,cocaspok2009.6.009414,cocaspok2009.0122398,False
,Isn't this all a little paranoid?,Isn't this all a little paranoid?,0.7602786916,,paranoid,,cornellmov.6.009945,cornellmov.0056585,False
,The great passion in his life?,The great passion in his life?,0.7637970149,life,passion,,cocaspok2006.6.004418,cocaspok2006.0071765,False
,Fetch him back to the castle.,Fetch him back to the castle.,0.7599205709,,castle,,torontofantasy.6.462973,torontofantasy.6020793,False
,It might be in the kitchen.,It might be in the kitchen.,0.7570255423,,kitchen,,cornellmov.6.012710,cornellmov.0072450,False
,Include actual photos of your shop.,Include actual photos of your shop.,0.7621719324,,photos,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.01143740,False
,Photos are changing when zoomed out.,Photos are changing when zoomed out.,0.7569567481,,photos,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.04726015,False
,He's recovering on the third floor.,He's recovering on the third floor.,0.7578791993,,third,,cornellmov.6.005724,cornellmov.0032626,False
,The church was built with fieldstone.,The church was built with fieldstone.,0.7628604145,,church,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01544886,False
,Fate was ever a capricious viper.,Fate was ever a capricious viper.,0.7582436955,,fate,,torontofantasy.6.221617,torontofantasy.2974263,False
,Then we heard a thud downstairs.,Then we heard a thud downstairs.,0.758310262,,thud,,torontofantasy.6.018328,torontofantasy.269435,False
,Why is DBI important for students?,Why is DBI Important for Students?,0.7638620995,,important,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.01616509,True
,"""Smart,"" he says with a smile.","Smart,"" he says with a smile.",0.75910837,,smart,,torontofantasy.6.010472,torontofantasy.154169,True
,Seat Thomas was out on patrol.,Seat Thomas was out on patrol.,0.7634511091,,thomas,,torontomyst.6.090065,torontomyst.1211713,False
,It was just in poor humor.,It was just in poor humor.,0.7632740598,,poor,,cocaspok2009.6.009339,cocaspok2009.0121518,False
