reject,sentence,sentence_original,mean_mem,low_mem_words,mid_mem_words,high_mem_words,index,original_index,has_edit
,"Besides, you might even learn something.","Besides, you might even learn something.",0.7407054829,besides,,,cornellmov.6.037305,cornellmov.0228490,False
,Omago asked with a puzzled frown.,Omago asked with a puzzled frown.,0.7419459602,frown,,,torontofantasy.6.417555,torontofantasy.5479459,False
,I was so ashamed and frightened.,I was so ashamed and frightened.,0.7365505421,frightened,,,cocaspok2006.6.009677,cocaspok2006.0144862,False
,But we will not offer terms.,But we will not offer terms.,0.7356333969,"offer,terms",,,torontofantasy.6.478686,torontofantasy.6227385,False
,Certain skills you just never forgot.,Certain skills you just never forgot.,0.7400001234,certain,,,torontofantasy.6.337942,torontofantasy.4439123,False
,They're frightened out of their minds!,They're frightened out of their minds!,0.7325607508,frightened,,,torontofantasy.6.123211,torontofantasy.1710807,False
,I hope you fulfill the longing.,I hope you fulfill the longing.,0.7380406159,longing,,,cocaspok2001.6.006468,cocaspok2001.0099327,False
,More like extremely happy and confident.,More like extremely happy and confident.,0.7410212666,extremely,,,torontofantasy.6.283581,torontofantasy.3691185,False
,The last notice should be noted.,The last notice should be noted.,0.7401137558,last,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.04000667,False
,Hold on just for a second.,Hold on just for a second.,0.739749086,hold,,,cocaspok1996.6.006081,cocaspok1996.0074932,False
,Mercy would be getting up soon.,Mercy would be getting up soon.,0.7363984916,soon,,,torontofantasy.6.037611,torontofantasy.559190,False
,They were concerned about various politicians.,They were concerned about various politicians.,0.7322017966,concerned,,,cocaspok2010.6.006144,cocaspok2010.0080316,False
,How are we going to cope?,How are we going to cope?,0.7406679136,cope,,,cornellmov.6.002404,cornellmov.0013613,False
,We played some games of chance.,We played some games of chance.,0.7364520283,played,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.01504769,False
,Would he be contacting me soon?,Would he be contacting me soon?,0.7374759385,soon,,,torontofantasy.6.312321,torontofantasy.4099535,False
,I'll get you some quick work.,I'll get you some quick work .,0.7421710158,quick,,,cornellmov.6.010620,cornellmov.0060200,True
,It was a very sad life.,It was a very sad life.,0.7407860523,life,,,cocaspok2000.6.006914,cocaspok2000.0110062,False
,He was still going to lose.,He was still going to lose.,0.7421326392,still,,,torontofantasy.6.206100,torontofantasy.2789148,False
,"For instance, accounts have account owners.","For instance, accounts have account owners.",0.7419057433,instance,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04294259,False
,Two heads work better than one.,Two heads work better than one.,0.7390102956,better,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.03436244,False
,I can't confirm that for certain.,I can't confirm that for certain.,0.7422670828,certain,,,cocaspok2009.6.000407,cocaspok2009.0004073,False
,Because that would be too easy.,Because that would be too easy.,0.7362326442,easy,,,cornellmov.6.010998,cornellmov.0062310,False
,Else I'd still be locked up.,Else I'd still be locked up.,0.7390565515,still,,,torontofantasy.6.232466,torontofantasy.3099045,False
,Such a clean and simple method!,Such a clean and simple method!,0.7285668954,"such,clean",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.03864728,False
,The most economical seat we offer.,The most economical seat we offer.,0.7321102086,offer,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.03008606,False
,Purchase energy efficient equipment whenever possible.,Purchase energy efficient equipment whenever possible.,0.7263399749,whenever,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04761154,False
,"Our strong point, our value proposition.","Our strong point, our value proposition.",0.7369794359,strong,,,cocaspok2005.6.005684,cocaspok2005.0089127,False
,Better if I just show you.,Better if I just show you.,0.7384886979,better,,,cornellmov.6.001484,cornellmov.0008126,False
,It must be getting more serious.,It must be getting more serious.,0.730368749,"must,serious",,,brown.6.001172,brown.023082,False
,You must not diverge any further.,You must not diverge any further.,0.731117753,must,,,torontofantasy.6.152299,torontofantasy.2072808,False
,It might be too late already.,It might be too late already.,0.7401691432,"late,already",,,cornellmov.6.023739,cornellmov.0141422,False
,Perhaps one or two stayed behind.,Perhaps one or two stayed behind.,0.7357654719,perhaps,,,torontoadv.6.032901,torontoadv.565382,False
,I'd always give them their due.,I'd always give them their due.,0.729436251,give,,,cocaspok2001.6.001607,cocaspok2001.0029119,False
,No obstacles remained ahead of her.,No obstacles remained ahead of her.,0.7266557682,remained,,,torontofantasy.6.325226,torontofantasy.4255488,False
,They've got a very strong theme.,They've got a very strong theme.,0.7358405577,strong,,,cocaspok2007.6.005948,cocaspok2007.0079628,False
,"Still talking, but unable to hear.","Still talking, but unable to hear.",0.7303036552,still,,,torontofantasy.6.029004,torontofantasy.422983,False
,What you describe is not unusual.,What you describe is not unusual.,0.7396253112,"describe,unusual",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03924043,False
,They must not come to harm.,They must not come to harm..,0.7397000114,must,,,torontofantasy.6.462577,torontofantasy.6015944,True
,Public in a timely a manner.,Public in a timely a manner.,0.7261367263,manner,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.04151379,False
,Everyone wants to protect me lately.,Everyone wants to protect me lately.,0.7398032101,everyone,,,torontofantasy.6.178851,torontofantasy.2435901,False
,And for you could be free.,And for you could be free.,0.7419972749,free,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.02633234,False
,His voice was full of concern.,His voice was full of concern.,0.7368438537,full,,,torontofantasy.6.229738,torontofantasy.3069087,False
,He forced you to crave him.,He forced you to crave him.,0.7422463933,forced,,,torontofantasy.6.134026,torontofantasy.1835671,False
,They played cards for several hours.,They played cards for several hours.,0.7423756345,played,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01632667,False
,That would perhaps eliminate the will.,That would perhaps eliminate the will.,0.7372767829,perhaps,,,cocaspok1993.6.002509,cocaspok1993.0034546,False
,God knows he'd been hurt enough.,God knows he'd been hurt enough.,0.7405470027,hurt,,,torontomyst.6.067306,torontomyst.933118,False
,Not a hint of life remained.,Not a hint of life remained.,0.7330890853,"life,remained",,,torontofantasy.6.353621,torontofantasy.4646449,False
,Is that easy enough for you?,Is that easy enough for you?,0.7322657846,easy,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00942275,False
,Or arrogantly presuming I desire you?,Or arrogantly presuming I desire you?,0.7420710509,desire,,,torontofantasy.6.303233,torontofantasy.3971005,False
,But I forced myself to breathe.,But I forced myself to breathe.,0.7331902857,forced,,,torontofantasy.6.294818,torontofantasy.3852621,False
,But whenever he was with her...,But whenever he was with her...,0.7373308276,whenever,,,torontofantasy.6.223939,torontofantasy.2998495,False
,Well we must be missing somebody.,Well we must be missing somebody.,0.7329148329,must,,,cocaspok2006.6.006656,cocaspok2006.0104979,False
,The firing was brief and precise.,The firing was brief and precise.,0.7281416467,"brief,precise",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.00168008,False
,People are afraid to be different.,People are afraid to be different.,0.7217057646,afraid,,,cocaspok1996.6.000271,cocaspok1996.0004288,False
,Would you accept extremely difficult instead?,Would you accept extremely difficult instead?,0.720113856,extremely,,,torontofantasy.6.414306,torontofantasy.5431444,False
,Certainly it is a formal step.,Certainly it is a formal step.,0.7346870036,formal,,,cocaspok2006.6.005379,cocaspok2006.0086254,False
,Panic rooted me to the spot.,Panic rooted me to the spot.,0.7375221788,spot,,,torontofantasy.6.105109,torontofantasy.1516304,False
,I had a very secure feeling.,I had a very secure feeling.,0.7252615867,secure,,,cocaspok2008.6.002598,cocaspok2008.0032561,False
,He has a very powerful ship.,He has a very powerful ship.,0.7323957773,powerful,,,cornellmov.6.018481,cornellmov.0107256,False
,They are tending to the wounded.,They are tending to the wounded.,0.7351588338,wounded,,,cocaspok1998.6.010182,cocaspok1998.0137229,False
,We know it will be delightful.,We know it will be delightful.,0.7372874849,delightful,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01098782,False
,The remnants of a life raft.,The remnants of a life raft.,0.7419488433,life,,,cornellmov.6.035431,cornellmov.0216208,False
,It also promotes critical thinking skills.,It also promotes critical thinking skills.,0.7399933234,critical,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04116842,False
,I tried for a quick recovery.,I tried for a quick recovery.,0.7324100846,quick,,,torontofantasy.6.456849,torontofantasy.5933636,False
,This was a very strong case.,This was a very strong case.,0.7367805239,strong,,,cocaspok1998.6.004789,cocaspok1998.0064464,False
,"First of all, we are bewildered.","First of all, we are bewildered.",0.7389734043,bewildered,,,cocaspok1998.6.002043,cocaspok1998.0028465,False
,"Quoting is easy, painless and precise.","Quoting is easy, painless and precise.",0.7417109739,"easy,precise",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.03075842,False
,The usual chatter has been suspended.,The usual chatter has been suspended.,0.7365681461,suspended,,,torontofantasy.6.151496,torontofantasy.2061992,False
,Hail is a particularly strong foe.,Hail is a particularly strong foe.,0.7414809136,strong,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00145152,False
,Chemically we are already quite sympathetic.,Chemically we are already quite sympathetic.,0.7276391223,already,,,cornellmov.6.022327,cornellmov.0132074,False
,Thanks every one for your suggestions.,Thanks every one for your suggestions.,0.7372195815,every,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02320321,False
,Confirm that the list is accurate.,Confirm that the list is accurate.,0.7368278183,accurate,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03164416,False
,Quick with a moral and advice.,Quick with a moral and advice.,0.738573767,quick,,,torontofantasy.6.205154,torontofantasy.2778295,False
,You must not have heard me.,You must not have heard me.,0.7391880111,must,,,cocaspok1994.6.005443,cocaspok1994.0069214,False
,A surprising and extremely unusual strategy.,A surprising and extremely unusual strategy.,0.7287210137,"extremely,unusual",,,cocaspok2011.6.000304,cocaspok2011.0003285,False
,I believe we can be better.,I believe we can be better.,0.738444057,better,,,cocaspok1992.6.003918,cocaspok1992.0050518,False
,The guards won't be any problem.,The guards won't be any problem.,0.7258663088,problem,,,torontofantasy.6.411167,torontofantasy.5387658,False
,I'm still trying to catch up.,I'm still trying to catch up.,0.7374205988,still,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.00447156,False
,I guarantee you will feel better.,I guarantee you will feel better.,0.7305599803,better,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04457050,False
,Both companies will sell the software.,Both companies will sell the software.,0.7401528964,sell,,,wsj.6.000878,wsj.159865,False
,Some of them are extremely tall.,Some of them are extremely tall.,0.7281322641,extremely,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03144900,False
,"I heard them leave, of course.","I heard them leave, of course.",0.7389943812,leave,,,torontofantasy.6.420979,torontofantasy.5552131,False
,But it was not peaceful sleep.,But it was not peaceful sleep.,0.7373911016,peaceful,,,torontofantasy.6.031921,torontofantasy.465730,False
,Every sort of inner organ imaginable.,Every sort of inner organ imaginable.,0.7360758621,every,,,torontofantasy.6.112614,torontofantasy.1613822,False
,Better to get rid of me.,Better to get rid of me.,0.7361490505,better,,,cornellmov.6.024582,cornellmov.0146982,False
,And they had many phone conferences.,And they had many phone conferences.,0.7420735429,conferences,,,cocaspok2005.6.004551,cocaspok2005.0072043,False
,"Public intimidation, violation of protective order.","Public intimidation, violation of protective order.",0.7374345618,protective,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.01830944,False
,"However, it was easy to move!","However, it was easy to move!",0.7320956727,easy,,,torontofantasy.6.023547,torontofantasy.347685,False
,I've tried every sort of cable.,I've tried every sort of cable.,0.7413273629,every,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.01184854,False
,"Always smile, never be too serious.","Always smile, never be too serious.",0.7259153833,serious,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03545498,False
,Well... So you tried riding again?,Well... So you tried riding again?,0.741472666,riding,,,cornellmov.6.009874,cornellmov.0056235,False
,You must not be thinking clearly.,You must not be thinking clearly.,0.7229169367,must,,,cornellmov.6.039685,cornellmov.0244223,False
,Trouble viewing or accessing a service?,Trouble viewing or accessing a service?,0.7350625672,viewing,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.01912464,False
,As opposed to being more spiritual.,As opposed to being more spiritual.,0.7339499745,opposed,,,cocaspok2009.6.005958,cocaspok2009.0076118,False
,It's been a shock to everyone.,It's been a shock to everyone.,0.7358976569,everyone,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04845097,False
,The pressure must have been enormous.,The pressure must have been enormous.,0.733370428,"must,enormous",,,cocaspok2003.6.006201,cocaspok2003.0094285,False
,They're not going to hurt me.,They're not going to hurt me.,0.7384087053,hurt,,,torontofantasy.6.267301,torontofantasy.3521680,False
,It should leave a clear trail.,It should leave a clear trail.,0.7414046698,leave,,,torontofantasy.6.322226,torontofantasy.4223409,False
,Let me give you a hypothetical.,Let me give you a hypothetical.,0.7386574543,give,,,torontomyst.6.035551,torontomyst.503582,False
,Change them if they become damp.,Change them if they become damp.,0.7294959357,"become,damp",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03398446,False
,Its remains are still visible today.,Its remains are still visible today.,0.7378484335,still,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04583692,False
,We are responsive to community concerns.,We are responsive to community concerns.,0.7222538354,responsive,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00125036,False
,Our police are afraid of them.,Our police are afraid of them.,0.728691675,afraid,,,cornellmov.6.025351,cornellmov.0152088,False
,It must be close to dawn.,It must be close to dawn.,0.7389314891,must,,,torontofantasy.6.336350,torontofantasy.4412462,False
,We understand it's a serious amount.,We understand it's a serious amount.,0.7421655925,serious,,,cocaspok1998.6.000854,cocaspok1998.0012851,False
,Repeat if needed for full coverage.,Repeat if needed for full coverage.,0.740726407,full,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02244582,False
,Intended for and available to everyone.,Intended for and available to everyone.,0.7378773559,everyone,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01699666,False
,It was very clean and modern.,It was very clean and modern.,0.7395848266,clean,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.00894170,False
,Learning to forgive benefits everyone involved.,Learning to forgive benefits everyone involved.,0.7370439111,everyone,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02272708,False
,The key to survival is moderation.,The key to survival is moderation.,0.740182773,survival,,,torontofantasy.6.362887,torontofantasy.4749453,False
,Terms of the venture weren't disclosed.,Terms of the venture weren't disclosed.,0.7403634646,"terms,venture",,,wsj.6.001688,wsj.307889,False
,What experience remained to be seen.,What experience remained to be seen.,0.7319714776,remained,,,torontofantasy.6.408241,torontofantasy.5344328,False
