reject,sentence_edit,sentence,mean_mem,low_mem_words,mid_mem_words,high_mem_words,index,original_index
,,It is so simple to clean.,0.7302877295,clean,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00923544
,,We are also strong community supporters.,0.7372538373,strong,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01471259
,,Patience was never her strong point.,0.7382300735,strong,,,torontofantasy.6.429558,torontofantasy.5666045
,,He was still lamenting its loss.,0.7423242444,still,,,torontoadv.6.006886,torontoadv.117276
,,Perhaps it won't even be news.,0.7405097965,perhaps,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03677227
,,"Well, that must feel pretty good.",0.741751708,must,,,cocaspok2002.6.000746,cocaspok2002.0013331
,,You've had plenty of time already!,0.7404960732,already,,,cornellmov.6.015356,cornellmov.0087672
,,Almost time for him to leave.,0.7401898315,"almost,leave",,,torontomyst.6.048761,torontomyst.682834
,,He was determined to fulfill it.,0.7318817324,determined,,,torontofantasy.6.091278,torontofantasy.1344099
,,There we rebuilt every single one.,0.73702474,every,,,torontofantasy.6.058039,torontofantasy.839967
,,"Comprehension of short, easy personal letters.",0.7417723393,easy,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01177478
,,But they hold up remarkably well.,0.7331620514,hold,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02636848
,,"Well, you can describe it accurately.",0.7276352606,describe,,,cocaspok2007.6.003143,cocaspok2007.0038767
,,Poppa's going to be here soon.,0.7399997393,soon,,,torontomyst.6.090119,torontomyst.1212351
,,Therefore to hold meetings by them.,0.7298490153,hold,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.01201833
,,Throwing the fan - what's the outcome??,0.7409723316,outcome,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.03758919
,,Let's give the events a recap.,0.7415648552,give,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01662155
,History is full of contrary evidence.,History is full of contrary evidence:,0.7361230943,full,,,wsj.6.001927,wsj.347894
,,It only took a brief moment.,0.7341076792,brief,,,torontofantasy.6.033060,torontofantasy.479788
,,"Statistically, we may be safe somewhat.",0.7239095784,somewhat,,,cocaspok1999.6.003229,cocaspok1999.0043756
,,He was able to give directions.,0.7298775112,give,,,torontomyst.6.001995,torontomyst.29208
,,You must not fixate on them.,0.7328650698,must,,,torontofantasy.6.205639,torontofantasy.2783725
,,But it wasn't easy for him.,0.734686133,easy,,,cocaspok2011.6.010241,cocaspok2011.0130760
,,"A remarkable piece of writing, indeed!",0.7328544415,remarkable,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00614896
,,Time for a brief time out.,0.7396737377,brief,,,cocaspok2004.6.004957,cocaspok2004.0077635
,,Detailed conclusion recaps arguments and evidence.,0.7361932764,detailed,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04060091
,,They have not been the problem.,0.7336999449,problem,,,cocaspok1993.6.009132,cocaspok1993.0127932
,,I just wanted to hurt him.,0.7392556903,hurt,,,torontomyst.6.063013,torontomyst.875853
,,Focus on quality rather than quantity.,0.7270000244,focus,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00227621
,,It makes the situation extremely dangerous.,0.7391854389,extremely,,,cocaspok1993.6.006849,cocaspok1993.0087754
,,Those should be up very soon.,0.7316450222,soon,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04815392
,,I can't imagine life without them.,0.7403887537,life,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.04021718
,,We are afraid of any engineering.,0.7296107469,afraid,,,cocaspok1998.6.009912,cocaspok1998.0132401
,,We must give time for time.,0.7419621519,"must,give",,,cornellmov.6.015535,cornellmov.0088676
,,It was very easy to manage.,0.7247370559,easy,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.04906722
,,It's almost embarrassing to all concerned.,0.7413305969,"almost,concerned",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00542606
,,We've tried escalation four times already.,0.7408965289,already,,,cocaspok2007.6.001785,cocaspok2007.0022163
,,Puppies are totally capable of learning.,0.7333670239,capable,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04266046
,,Every part of it was delightful.,0.7385273886,"every,delightful",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.01592383
,,Because they have already earned enough.,0.7418463887,already,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.02171126
,,He'll kill every one of them.,0.732618131,every,,,torontofantasy.6.417246,torontofantasy.5472287
,,Nothing you would find very remarkable.,0.7333083687,remarkable,,,torontofantasy.6.321986,torontofantasy.4221480
,,We'd be forced to land anyway.,0.7362109207,forced,,,torontomyst.6.124476,torontomyst.1633221
,We're still perfecting a viewing system.,We're - - still perfecting a viewing system.,0.7392964278,"still,viewing",,,cornellmov.6.033227,cornellmov.0201963
,,Not to give you a message.,0.731830782,give,,,torontofantasy.6.434406,torontofantasy.5724274
,,You are quite sure it's secure?,0.734629398,secure,,,cornellmov.6.006865,cornellmov.0039444
,,They want to give to society.,0.7398956445,give,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02833630
,,They wanted a more exact match.,0.7394680862,exact,,,torontomyst.6.123689,torontomyst.1623633
,,And so every state is different.,0.74011228,every,,,cocaspok2011.6.001500,cocaspok2011.0018582
,,But give it to me again.,0.7390408526,give,,,cornellmov.6.034138,cornellmov.0208051
,,Their collaboration has been extremely successful.,0.7211007689,extremely,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.04907159
,,Others are afraid of losing them.,0.7213329948,afraid,,,cocaspok1992.6.005108,cocaspok1992.0066708
,,And increasingly those pleasures were youthful.,0.7322589716,pleasures,,,cocaspok2004.6.007044,cocaspok2004.0106832
,,I just couldn't leave without it.,0.7422691816,leave,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.01369339
,,It saddened me to leave it.,0.7352642242,leave,,,torontoadv.6.055217,torontoadv.919964
,,That would be disturbing to me.,0.7273519681,disturbing,,,cocaspok1997.6.005653,cocaspok1997.0068200
,,Maybe this'll make you feel better.,0.739408734,better,,,cornellmov.6.012024,cornellmov.0068349
,,Can a bru53x replace a bru5g?,0.7417186011,replace,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.01782355
,,Event staff can provide referral information.,0.7358098341,event,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.00052498
,,"Actually, is very easy to make!",0.7314760335,easy,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.00935467
,,Do not have to be precise.,0.734897994,precise,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02968827
,,Souls feel a lot of sorrow.,0.7289032743,sorrow,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00956678
,,The text wasn't easy for me.,0.7417785005,easy,,,torontofantasy.6.241948,torontofantasy.3213130
,,"Besides, you might even learn something.",0.7407054829,besides,,,cornellmov.6.037305,cornellmov.0228490
,,Omago asked with a puzzled frown.,0.7419459602,frown,,,torontofantasy.6.417555,torontofantasy.5479459
,,I was so ashamed and frightened.,0.7365505421,frightened,,,cocaspok2006.6.009677,cocaspok2006.0144862
,,But we will not offer terms.,0.7356333969,"offer,terms",,,torontofantasy.6.478686,torontofantasy.6227385
,,Certain skills you just never forgot.,0.7400001234,certain,,,torontofantasy.6.337942,torontofantasy.4439123
,,They're frightened out of their minds!,0.7325607508,frightened,,,torontofantasy.6.123211,torontofantasy.1710807
,,I hope you fulfill the longing.,0.7380406159,longing,,,cocaspok2001.6.006468,cocaspok2001.0099327
,,More like extremely happy and confident.,0.7410212666,extremely,,,torontofantasy.6.283581,torontofantasy.3691185
,,The last notice should be noted.,0.7401137558,last,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.04000667
,,Hold on just for a second.,0.739749086,hold,,,cocaspok1996.6.006081,cocaspok1996.0074932
,,Mercy would be getting up soon.,0.7363984916,soon,,,torontofantasy.6.037611,torontofantasy.559190
,,They were concerned about various politicians.,0.7322017966,concerned,,,cocaspok2010.6.006144,cocaspok2010.0080316
,,How are we going to cope?,0.7406679136,cope,,,cornellmov.6.002404,cornellmov.0013613
,,We played some games of chance.,0.7364520283,played,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.01504769
,,Would he be contacting me soon?,0.7374759385,soon,,,torontofantasy.6.312321,torontofantasy.4099535
,I'll get you some quick work.,I'll get you some quick work .,0.7421710158,quick,,,cornellmov.6.010620,cornellmov.0060200
,,It was a very sad life.,0.7407860523,life,,,cocaspok2000.6.006914,cocaspok2000.0110062
,,He was still going to lose.,0.7421326392,still,,,torontofantasy.6.206100,torontofantasy.2789148
,,"For instance, accounts have account owners.",0.7419057433,instance,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04294259
,,Two heads work better than one.,0.7390102956,better,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.03436244
,,I can't confirm that for certain.,0.7422670828,certain,,,cocaspok2009.6.000407,cocaspok2009.0004073
,,Because that would be too easy.,0.7362326442,easy,,,cornellmov.6.010998,cornellmov.0062310
,,Else I'd still be locked up.,0.7390565515,still,,,torontofantasy.6.232466,torontofantasy.3099045
,,Such a clean and simple method!,0.7285668954,"such,clean",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.03864728
,,The most economical seat we offer.,0.7321102086,offer,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.03008606
,,Purchase energy efficient equipment whenever possible.,0.7263399749,whenever,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04761154
,,"Our strong point, our value proposition.",0.7369794359,strong,,,cocaspok2005.6.005684,cocaspok2005.0089127
,,Better if I just show you.,0.7384886979,better,,,cornellmov.6.001484,cornellmov.0008126
,,It must be getting more serious.,0.730368749,"must,serious",,,brown.6.001172,brown.023082
,,You must not diverge any further.,0.731117753,must,,,torontofantasy.6.152299,torontofantasy.2072808
,,It might be too late already.,0.7401691432,"late,already",,,cornellmov.6.023739,cornellmov.0141422
,,Perhaps one or two stayed behind.,0.7357654719,perhaps,,,torontoadv.6.032901,torontoadv.565382
,,I'd always give them their due.,0.729436251,give,,,cocaspok2001.6.001607,cocaspok2001.0029119
,,No obstacles remained ahead of her.,0.7266557682,remained,,,torontofantasy.6.325226,torontofantasy.4255488
,,They've got a very strong theme.,0.7358405577,strong,,,cocaspok2007.6.005948,cocaspok2007.0079628
,,"Still talking, but unable to hear.",0.7303036552,still,,,torontofantasy.6.029004,torontofantasy.422983
,,What you describe is not unusual.,0.7396253112,"describe,unusual",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03924043
,They must not come to harm.,They must not come to harm..,0.7397000114,must,,,torontofantasy.6.462577,torontofantasy.6015944
,,Public in a timely a manner.,0.7261367263,manner,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.04151379
,,Everyone wants to protect me lately.,0.7398032101,everyone,,,torontofantasy.6.178851,torontofantasy.2435901
1,,"Through interpreter Perhaps more, perhaps less.",0.7412169617,"perhaps,perhaps",,,cocaspok1993.6.004599,cocaspok1993.0057903
,,And for you could be free.,0.7419972749,free,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.02633234
,,His voice was full of concern.,0.7368438537,full,,,torontofantasy.6.229738,torontofantasy.3069087
,,He forced you to crave him.,0.7422463933,forced,,,torontofantasy.6.134026,torontofantasy.1835671
,,They played cards for several hours.,0.7423756345,played,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01632667
,,That would perhaps eliminate the will.,0.7372767829,perhaps,,,cocaspok1993.6.002509,cocaspok1993.0034546
,,God knows he'd been hurt enough.,0.7405470027,hurt,,,torontomyst.6.067306,torontomyst.933118
,,Not a hint of life remained.,0.7330890853,"life,remained",,,torontofantasy.6.353621,torontofantasy.4646449
,,Is that easy enough for you?,0.7322657846,easy,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00942275
,,Or arrogantly presuming I desire you?,0.7420710509,desire,,,torontofantasy.6.303233,torontofantasy.3971005
,,But I forced myself to breathe.,0.7331902857,forced,,,torontofantasy.6.294818,torontofantasy.3852621
,,But whenever he was with her...,0.7373308276,whenever,,,torontofantasy.6.223939,torontofantasy.2998495
,,Well we must be missing somebody.,0.7329148329,must,,,cocaspok2006.6.006656,cocaspok2006.0104979
,,The firing was brief and precise.,0.7281416467,"brief,precise",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.00168008
,,People are afraid to be different.,0.7217057646,afraid,,,cocaspok1996.6.000271,cocaspok1996.0004288
,,Would you accept extremely difficult instead?,0.720113856,extremely,,,torontofantasy.6.414306,torontofantasy.5431444
,,Certainly it is a formal step.,0.7346870036,formal,,,cocaspok2006.6.005379,cocaspok2006.0086254
,,Panic rooted me to the spot.,0.7375221788,spot,,,torontofantasy.6.105109,torontofantasy.1516304
,,I had a very secure feeling.,0.7252615867,secure,,,cocaspok2008.6.002598,cocaspok2008.0032561
,,He has a very powerful ship.,0.7323957773,powerful,,,cornellmov.6.018481,cornellmov.0107256
,,They are tending to the wounded.,0.7351588338,wounded,,,cocaspok1998.6.010182,cocaspok1998.0137229
,,We know it will be delightful.,0.7372874849,delightful,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01098782
,,The remnants of a life raft.,0.7419488433,life,,,cornellmov.6.035431,cornellmov.0216208
,,It also promotes critical thinking skills.,0.7399933234,critical,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04116842
,,I tried for a quick recovery.,0.7324100846,quick,,,torontofantasy.6.456849,torontofantasy.5933636
,,This was a very strong case.,0.7367805239,strong,,,cocaspok1998.6.004789,cocaspok1998.0064464
,,"First of all, we are bewildered.",0.7389734043,bewildered,,,cocaspok1998.6.002043,cocaspok1998.0028465
,,"Quoting is easy, painless and precise.",0.7417109739,"easy,precise",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.03075842
,,The usual chatter has been suspended.,0.7365681461,suspended,,,torontofantasy.6.151496,torontofantasy.2061992
,,Hail is a particularly strong foe.,0.7414809136,strong,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00145152
,,Chemically we are already quite sympathetic.,0.7276391223,already,,,cornellmov.6.022327,cornellmov.0132074
,,Thanks every one for your suggestions.,0.7372195815,every,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02320321
,,Confirm that the list is accurate.,0.7368278183,accurate,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03164416
,,Quick with a moral and advice.,0.738573767,quick,,,torontofantasy.6.205154,torontofantasy.2778295
,,You must not have heard me.,0.7391880111,must,,,cocaspok1994.6.005443,cocaspok1994.0069214
,,A surprising and extremely unusual strategy.,0.7287210137,"extremely,unusual",,,cocaspok2011.6.000304,cocaspok2011.0003285
,,I believe we can be better.,0.738444057,better,,,cocaspok1992.6.003918,cocaspok1992.0050518
,,The guards won't be any problem.,0.7258663088,problem,,,torontofantasy.6.411167,torontofantasy.5387658
,,I'm still trying to catch up.,0.7374205988,still,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.00447156
,,I guarantee you will feel better.,0.7305599803,better,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04457050
,,Both companies will sell the software.,0.7401528964,sell,,,wsj.6.000878,wsj.159865
,,Some of them are extremely tall.,0.7281322641,extremely,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03144900
,,"I heard them leave, of course.",0.7389943812,leave,,,torontofantasy.6.420979,torontofantasy.5552131
,,But it was not peaceful sleep.,0.7373911016,peaceful,,,torontofantasy.6.031921,torontofantasy.465730
,,Every sort of inner organ imaginable.,0.7360758621,every,,,torontofantasy.6.112614,torontofantasy.1613822
,,Better to get rid of me.,0.7361490505,better,,,cornellmov.6.024582,cornellmov.0146982
,,And they had many phone conferences.,0.7420735429,conferences,,,cocaspok2005.6.004551,cocaspok2005.0072043
,,"Public intimidation, violation of protective order.",0.7374345618,protective,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.01830944
,,"However, it was easy to move!",0.7320956727,easy,,,torontofantasy.6.023547,torontofantasy.347685
,,I've tried every sort of cable.,0.7413273629,every,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.01184854
,,"Always smile, never be too serious.",0.7259153833,serious,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03545498
,,Well... So you tried riding again?,0.741472666,riding,,,cornellmov.6.009874,cornellmov.0056235
,,You must not be thinking clearly.,0.7229169367,must,,,cornellmov.6.039685,cornellmov.0244223
,,Trouble viewing or accessing a service?,0.7350625672,viewing,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.01912464
,,As opposed to being more spiritual.,0.7339499745,opposed,,,cocaspok2009.6.005958,cocaspok2009.0076118
,,It's been a shock to everyone.,0.7358976569,everyone,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04845097
,,The pressure must have been enormous.,0.733370428,"must,enormous",,,cocaspok2003.6.006201,cocaspok2003.0094285
,,They're not going to hurt me.,0.7384087053,hurt,,,torontofantasy.6.267301,torontofantasy.3521680
,,It should leave a clear trail.,0.7414046698,leave,,,torontofantasy.6.322226,torontofantasy.4223409
,,Let me give you a hypothetical.,0.7386574543,give,,,torontomyst.6.035551,torontomyst.503582
,,Change them if they become damp.,0.7294959357,"become,damp",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03398446
,,Its remains are still visible today.,0.7378484335,still,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04583692
,,We are responsive to community concerns.,0.7222538354,responsive,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00125036
,,Our police are afraid of them.,0.728691675,afraid,,,cornellmov.6.025351,cornellmov.0152088
,,It must be close to dawn.,0.7389314891,must,,,torontofantasy.6.336350,torontofantasy.4412462
,,We understand it's a serious amount.,0.7421655925,serious,,,cocaspok1998.6.000854,cocaspok1998.0012851
,,Repeat if needed for full coverage.,0.740726407,full,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02244582
,,Intended for and available to everyone.,0.7378773559,everyone,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01699666
,,It was very clean and modern.,0.7395848266,clean,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.00894170
,,Learning to forgive benefits everyone involved.,0.7370439111,everyone,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02272708
,,The key to survival is moderation.,0.740182773,survival,,,torontofantasy.6.362887,torontofantasy.4749453
,,Terms of the venture weren't disclosed.,0.7403634646,"terms,venture",,,wsj.6.001688,wsj.307889
,,What experience remained to be seen.,0.7319714776,remained,,,torontofantasy.6.408241,torontofantasy.5344328
,,The wound couldn't be that serious.,0.7333151722,serious,,,torontofantasy.6.469730,torontofantasy.6100981
,,I have to clean it up.,0.7370648702,clean,,,torontofantasy.6.386761,torontofantasy.5068113
,,"We have to be strong, sweetheart.",0.7377350544,strong,,,cornellmov.6.017009,cornellmov.0098003
,,How do we become a customer?,0.7423097714,become,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.03562544
,,The second guard waved them past.,0.740211723,waved,,,torontofantasy.6.462741,torontofantasy.6017854
,,I get emails from them constantly.,0.7307816281,constantly,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04450581
,,How soon will you be ready?,0.7352915546,soon,,,cornellmov.6.018985,cornellmov.0110790
,,I go through without any alarms.,0.7419723284,alarms,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.00623669
,,But the procedure isn't for everyone.,0.7407359502,everyone,,,cocaspok2004.6.008069,cocaspok2004.0119471
,,It is such a great feeling.,0.7376054288,such,,,cocaspok2009.6.007504,cocaspok2009.0095892
,,We have one slight problem though.,0.727931169,problem,,,torontoadv.6.041981,torontoadv.715747
,,I would recommend Nadia's to everyone!,0.7391108713,everyone,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01795065
,,He wanted to keep this serious.,0.7412496549,serious,,,torontofantasy.6.079874,torontofantasy.1178694
,,"He was so strong, so commanding.",0.7352196295,strong,,,torontofantasy.6.214391,torontofantasy.2893101
,,To give your anger a voice.,0.7360135592,give,,,cornellmov.6.038430,cornellmov.0235755
,,"Sounds just a little complicated, appropriate?",0.7405762662,appropriate,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00529914
,,He would be easy to manage.,0.7262502337,easy,,,torontoadv.6.019513,torontoadv.349018
,,Because you wanted to be free?,0.7387956405,free,,,cornellmov.6.031618,cornellmov.0192232
,,He was giving them full employment.,0.7384097116,full,,,cocaspok1993.6.008853,cocaspok1993.0121950
,,And getting better all the time.,0.7411710324,better,,,cornellmov.6.019018,cornellmov.0111012
,,They are usually easy to access.,0.7225889926,easy,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00363393
,,"They felt more vital, more real.",0.7417285095,real,,,torontofantasy.6.473031,torontofantasy.6149292
,,Some groups also hold suspension performances.,0.7423305053,hold,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.03793389
,,Everyone had been working so hard.,0.7341402731,everyone,,,torontomyst.6.034786,torontomyst.493019
,,Evelyn pained expression focused on me.,0.7399070075,expression,,,torontomyst.6.055620,torontomyst.774149
,,He'd give you a flippant answer.,0.7386849891,give,,,torontofantasy.6.331350,torontofantasy.4334790
,,Give them perspective on their relationship.,0.7342967994,give,,,torontoadv.6.053318,torontoadv.895319
,,We're still asking folks to leave.,0.7405329328,"still,leave",,,cocaspok2005.6.002313,cocaspok2005.0040563
,,"Of earth's mortals, struggling to cope.",0.7320681261,cope,,,torontofantasy.6.065899,torontofantasy.966510
,,Yet the outcome can be unpredictable.,0.7237467211,outcome,,,wsj.6.000723,wsj.132603
,,Their apps on a daily basis.,0.7407366353,basis,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.03677081
,,You will never leave our minds.,0.7419685416,leave,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.00499317
,,We get the attention we desire.,0.7283443321,desire,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.02533874
,,My skin felt smooth and clean.,0.738714702,clean,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.04856489
,,So give unselfishly and receive abundantly.,0.7346767945,"give,abundantly",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02250619
,,Of course we were all concerned.,0.725777931,concerned,,,torontomyst.6.139158,torontomyst.1804703
,,That obviously changes the situation somewhat.,0.7253888121,somewhat,,,cocaspok1997.6.009553,cocaspok1997.0116289
,,"Well, give a couple of minutes...",0.7350155378,give,,,cornellmov.6.006351,cornellmov.0036107
,,We are concerned with higher matters.,0.7337743662,concerned,,,torontofantasy.6.090934,torontofantasy.1340894
,,I excused myself to the restroom.,0.7396879311,excused,,,torontofantasy.6.080331,torontofantasy.1185920
,,We constantly improve update our content.,0.7271525162,constantly,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01633462
,,It's not going to be easy.,0.7374927052,easy,,,cocaspok1998.6.009453,cocaspok1998.0124555
,,And I struggle to walk properly.,0.7290118056,struggle,,,torontoadv.6.002056,torontoadv.40386
,,Your leg must be getting better.,0.7364956902,"must,better",,,cornellmov.6.007140,cornellmov.0040902
