reject,sentence_edit,sentence,mean_mem,low_mem_words,mid_mem_words,high_mem_words,index,original_index
,,It kind of has me stumped.,0.7369730527,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04161329
,,And you've only got two customers.,0.7419750402,,,,torontomyst.6.119042,torontomyst.1572835
,,Remeber to let the pallet dry.,0.7572277076,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04853942
,,"Don't worry, Long Feiye said coldly.",0.760431268,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00775937
,,They were back on my wheel.,0.7529527248,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.02676098
,,Just wanted to... powder my nose.,0.76724673,,,,cornellmov.6.003891,cornellmov.0021835
,Go quickly now for under floor.,"Go quickly now for under floor,",0.7641680088,,,,torontofantasy.6.075132,torontofantasy.1110358
,,I don't think he knows how.,0.767330844,,,,cornellmov.6.000467,cornellmov.0002799
,,Her absolute silence was clear enough.,0.7322745539,,,,torontofantasy.6.399516,torontofantasy.5227981
,,Don't you think I know that?,0.762816114,,,,cornellmov.6.034890,cornellmov.0212865
,,We cannot always react like victims.,0.7451527892,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.01002900
,,They all run in the red.,0.767097684,,,,cocaspok1999.6.011259,cocaspok1999.0151570
,,Zane's fingers tapped on the tabletop.,0.7706026925,,,,torontofantasy.6.445818,torontofantasy.5815430
,,"On Thursday, FEMA conducted mock drills.",0.7718831382,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04072902
,,"""We're selling nostalgia,"" says Mr. Phillips.",0.8010915065,,,,wsj.6.002533,wsj.460482
,,A detached numbness spread over me.,0.7493858526,,,,torontofantasy.6.472866,torontofantasy.6146817
,,"In a rather, odd, unexpected way!",0.7350027015,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.03659183
,,Dryer repair Bowie is our legacy.,0.771021374,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.03611197
,,"Oh, this is not Basel, Switzerland.",0.8010829603,,,,cocaspok1996.6.004273,cocaspok1996.0052381
,,Not once did Art look back.,0.7703162834,,,,torontomyst.6.061595,torontomyst.857981
,,"Second, Hank obviously set this up.",0.7602598623,,,,torontomyst.6.115473,torontomyst.1529290
,,"Man, had they gotten it wrong.",0.7502753892,,,,torontoadv.6.061418,torontoadv.1020078
,,"That's a very interesting question, Robin.",0.7574613032,,,,cocaspok1991.6.004106,cocaspok1991.0063266
,,Go ahead - try it right now!,0.7604855692,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02574949
,,Experience in developing restful web service.,0.7540825509,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03054759
,,"What's he got against you, anyway?",0.7526482135,,,,cornellmov.6.026637,cornellmov.0160211
,,That's what Bush needs to do.,0.7717984134,,,,cocaspok2004.6.005898,cocaspok2004.0091806
,,We continue now with President Bush.,0.7651078625,,,,cocaspok2009.6.000479,cocaspok2009.0005131
1,,Because the Jew is essentially female.,0.7763643714,,,,cornellmov.6.014245,cornellmov.0081026
,,And how is the artiste tonight?,0.767010941,,,,cornellmov.6.034783,cornellmov.0212253
,,"Of time's web, rich and immense?",0.74761828,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.00592400
,,I thought he'd stopped doing horror.,0.7594740422,,,,cornellmov.6.006049,cornellmov.0034331
,,Choose from 4oz and 8oz bags.,0.7939690939,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00916175
,A propeller driven console IO board.,A Propeller Driven Console IO board.,0.7684515703,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01890722
,,And I'm going to save Denaos.,0.7551895691,,,,torontofantasy.6.091893,torontofantasy.1351055
,,Where do they get their stuff?,0.7621134672,,,,cornellmov.6.030320,cornellmov.0183646
,"That made me happy too, haha.",That made me happy too haha.,0.7685888236,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.03537656
,,Peace has to be paid for.,0.7411774628,,,,cocaspok2009.6.010928,cocaspok2009.0143013
,,About why you were in here.,0.7633318131,,,,cornellmov.6.037242,cornellmov.0228057
,,They never ceased to amaze her.,0.735528411,,,,torontofantasy.6.352508,torontofantasy.4632580
,,"What are you going after, rhino?",0.7633967783,,,,cornellmov.6.026123,cornellmov.0156871
,,There's some gold missing in this.,0.7872818688,,,,cocaspok2004.6.007380,cocaspok2004.0111612
,,"The trouble is, I'm gone now.",0.7639461546,,,,cornellmov.6.040287,cornellmov.0248314
,,And I think he likes it.,0.7680342457,,,,torontomyst.6.168516,torontomyst.2147437
,See schedule 3 for EPS reconciliation.,See Schedule 3 for EPS reconciliation.,0.7733852623,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02827813
,,"Mr. Brumbaugh, you've just had it.",0.7725632595,,,,cocaspok1990.6.006529,cocaspok1990.0115753
,,The woman bought her own propaganda.,0.7772721031,,,,torontofantasy.6.401310,torontofantasy.5251864
,,Why do you use that word?,0.7717806263,,,,cornellmov.6.021192,cornellmov.0124603
,,And that ought to say something.,0.7468374487,,,,cocaspok2005.6.006028,cocaspok2005.0094744
,,The dancing and music was great.,0.7617139759,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04179131
1,,It tastes a little like poppyseed.,0.7800413346,,,,brown.6.000129,brown.001594
,,But it was a hollow victory.,0.7493995034,,,,cocaspok2009.6.005205,cocaspok2009.0066790
,,EDI currently offers two leadership programs.,0.755261446,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04606478
,View our purchase program options here.,View our purchase program options HERE.,0.7595981467,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03368265
,,"Sorry, yes -- well -- thank you, sir.",0.7733961869,,,,cornellmov.6.010704,cornellmov.0060613
,,Talk about God's sense of humor!,0.7550734568,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01800545
,,Reply if you can do it.,0.7622905502,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02940252
,,TOPS provide good environment to learn.,0.7371693432,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.01053898
,,It's been customized for sleeping capacity.,0.7502977375,,,,cornellmov.6.005387,cornellmov.0030592
,,Or also useful for disk access?,0.7468281684,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.02987258
,,There's nobody at my house either.,0.773509707,,,,torontomyst.6.106164,torontomyst.1403637
,,This is a really snuggly hoody.,0.772359832,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02138138
,,Then a figure emerged from hiding.,0.7596880474,,,,torontoadv.6.004702,torontoadv.80521
,,Lycanthropes are considered adults at sixteen.,0.7846946526,,,,torontofantasy.6.235188,torontofantasy.3131956
,,"Lux, are you coming or what?",0.7675147435,,,,torontofantasy.6.318335,torontofantasy.4179464
,,I avoid using all these words.,0.7387467237,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02027830
,,He really needed that day off.,0.756225123,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.03014086
,,Her best friend came in there.,0.7737439631,,,,cocaspok2007.6.010453,cocaspok2007.0131094
,Approximate time period: 1927 through 1930's.,Approximate Time Period: 1927 through 1930's.,0.7917706459,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.01892707
,,Ball Corporation looks overpriced right now.,0.7900455025,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00007138
1,,PhyFl18SS2.3.23What the graph SHOULD look like.,0.7689123992,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.04914059
,,That'll be part of the process.,0.7310749089,,,,cocaspok2011.6.002039,cocaspok2011.0025484
,,He is not of this world.,0.7533199027,,,,cornellmov.6.022112,cornellmov.0130525
,,I was back in the present.,0.7631118631,,,,torontomyst.6.171389,torontomyst.2179589
,,They also make great stocking stuffers!,0.7621397154,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02211408
,,"For Boston, that's saying a lot.",0.766463209,,,,wsj.6.002629,wsj.476932
,,They serve dinner on the flight?,0.7535993354,,,,cornellmov.6.009360,cornellmov.0053561
,,I bought a gardenia plant today.,0.7850629109,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00910520
,,It took right about 20 minutes.,0.7738844228,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03713779
,,It has held them at bay.,0.7582967465,,,,brown.6.000205,brown.002922
,,At least not from my end.,0.7719735827,,,,torontofantasy.6.397644,torontofantasy.5204467
,,It's -- but it's not just Washington.,0.7742163446,,,,cocaspok2010.6.007216,cocaspok2010.0093565
,,It's not that way at all.,0.7615590905,,,,cocaspok1996.6.004857,cocaspok1996.0061114
,,We were in his glass office.,0.7651155514,,,,torontomyst.6.122294,torontomyst.1609389
,,And Bob says Ari is wrong.,0.7984852683,,,,cocaspok2000.6.003433,cocaspok2000.0059369
,,And he wanted her to sleep?,0.7505458807,,,,torontofantasy.6.352653,torontofantasy.4634323
,,You can't count on the future.,0.7552523202,,,,cocaspok1991.6.006798,cocaspok1991.0119235
,,He stumbled back in the brush.,0.7720452691,,,,torontoadv.6.055205,torontoadv.919741
,,Congressman Hall has lost 20 pounds.,0.7896682588,,,,cocaspok1993.6.007425,cocaspok1993.0098366
,,Caden sent him a wary glance.,0.7491729895,,,,torontofantasy.6.174704,torontofantasy.2363966
,,I really enjoyed my experience here.,0.7537866233,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.03016527
,,Use the bathroom on the plane!,0.763595098,,,,cornellmov.6.017500,cornellmov.0100962
1,,And take a right onto S.,0.7621545831,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03585481
,Sumitomo losses increased to $2.6 billion.,Sumitomo losses increased to $2.6 billion |,0.7779199866,,,,wsj.6.000867,wsj.157434
,,My favorite breakfast item is sausage.,0.7849173667,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00130532
,,Expect a wide range of answers.,0.7413519356,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01000744
,,"Well, my boy, you're a hero.",0.7766683621,,,,cornellmov.6.005890,cornellmov.0033510
,,You aren't very far from me!,0.7465127201,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01296957
,,Edwards again looked at me askance.,0.7669490864,,,,torontomyst.6.071879,torontomyst.994659
,,He gives kids a good name!,0.7630204119,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.00334261
,,The man had spoken only once.,0.7469069522,,,,brown.6.000143,brown.001808
,,Warm exoplanets have well mixed atmospheres.,0.7697031101,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00644863
,,"Grinning, Loki stole another Mountain Dew.",0.8023711581,,,,torontofantasy.6.057905,torontofantasy.837638
,,We hope you enjoyed the haikus!,0.7552681729,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03214970
,,"Since then, a lot has changed.",0.7465929177,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.02421873
,,Tell him we've got another body.,0.7604345146,,,,torontomyst.6.166995,torontomyst.2136382
,,The campaign is expanding its staff.,0.7497536014,,,,wsj.6.001750,wsj.317386
,,The color of this is fantastic.,0.7479905403,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04785760
,,Its -- you have a huge following.,0.7413684394,,,,cocaspok2009.6.005110,cocaspok2009.0065562
,,I might even walk the dogs.,0.753871175,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02400494
,,It's just another piece of technology!,0.7578017983,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.04479919
,,Reaction time does improve with practice.,0.7541311803,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04344736
,,They want me to anchor tonight!,0.7419444426,,,,cornellmov.6.015577,cornellmov.0088879
,,"That, I feel, is the key.",0.7420823555,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.00392555
,,She's going home to New York.,0.7826965495,,,,cornellmov.6.036293,cornellmov.0222052
,,No new posts will be accepted.,0.7634920098,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.04937986
,,The best advice you can get.,0.7501273368,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.04535062
1,,The girls soccer games tonight vs.,0.8072723105,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.01397418
,,Just a couple of finishing touches.,0.7307441178,,,,cornellmov.6.040679,cornellmov.0250895
,,Then we can run for it.,0.743855022,,,,cornellmov.6.032470,cornellmov.0197363
,,How do we measure the world?,0.7575832123,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03458110
,,He will not go to trial.,0.7475544798,,,,torontofantasy.6.283615,torontofantasy.3691592
,,"Yeah, you get the Yankee hat.",0.7856893226,,,,cocaspok2007.6.007760,cocaspok2007.0099217
,,I do that all the time.,0.7575091228,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04780759
,,You could help me find her.,0.7417546288,,,,cornellmov.6.033350,cornellmov.0202783
,,The voice came from the woods.,0.7745847665,,,,torontofantasy.6.319295,torontofantasy.4192507
,,Then a closer look revealed more.,0.7472085953,,,,torontoadv.6.012620,torontoadv.217358
,,I tried in my theme template.,0.7626290774,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.00325209
,,I think it challenges the boundaries.,0.748482996,,,,cocaspok2009.6.001675,cocaspok2009.0018762
,,Don't bother about those cables now.,0.7648764411,,,,cornellmov.6.021292,cornellmov.0125228
,,"Motorola is based in Schaumburg, Ill.",0.7728577595,,,,wsj.6.000795,wsj.147578
,,Add support for TeleMini v3.0 boards.,0.7612938983,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00058671
,,Your creditors are calling your neighbors.,0.7450975417,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04707430
,,Two minutes on your sons' birthday.,0.7652090451,,,,cornellmov.6.032144,cornellmov.0195417
,,No more running off without you.,0.743814297,,,,cornellmov.6.030963,cornellmov.0187760
,,I don't remember the girl's name.,0.7707277828,,,,torontomyst.6.096571,torontomyst.1284827
,,"Well, little more than a boy.",0.7602439257,,,,torontofantasy.6.071515,torontofantasy.1057066
,,Wearin a big smile up there?,0.7673362149,,,,torontomyst.6.140160,torontomyst.1816327
,,Participants choice - 2nd place Challenger Modified.,0.7682456626,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03822121
,,So you figured that out fast.,0.7493678633,,,,torontofantasy.6.110025,torontofantasy.1585702
,,"Now, I know this is wrong.",0.7707574804,,,,torontofantasy.6.293214,torontofantasy.3830857
,,Affordable living in the picturesque foothills!,0.7760131566,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00461923
,,At first there was no response.,0.7614842929,,,,torontomyst.6.040367,torontomyst.575081
,,"With the thought, her shoulders slumped.",0.7620561683,,,,torontofantasy.6.263467,torontofantasy.3482822
,,"Well, Mr. Kristol, what about that?",0.7824433595,,,,cocaspok1992.6.008024,cocaspok1992.0112387
,,Go ahead and get yourself together.,0.7439440561,,,,cocaspok2009.6.004349,cocaspok2009.0053302
,,One name came back to me.,0.7597952152,,,,torontomyst.6.044535,torontomyst.627887
,,Driver golf golf in longest test.,0.7814948249,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.01800824
,That's as big as he is...,That's a big as he is...,0.767448306,,,,cocaspok2003.6.006918,cocaspok2003.0104393
,,The British telecom sector soared 2.9%.,0.7819447571,,,,wsj.6.001073,wsj.197500
1,,High - tech executives in Northern California.,0.7873226033,,,,cocaspok1992.6.003920,cocaspok1992.0050538
,,I'll meet you at home shortly.,0.7735032608,,,,torontofantasy.6.427150,torontofantasy.5634664
,"No knocks, rings of the doorbell.","No knocks, rings of the doorbell,",0.7673246081,,,,torontofantasy.6.048903,torontofantasy.712636
,,"Petersburg, Moscow, and places like that.",0.7822615854,,,,cocaspok1992.6.005989,cocaspok1992.0080390
,,"Nor, similarly, has our output changed.",0.7394368032,,,,wsj.6.001438,wsj.263604
,,Don't I make the goofiest faces?,0.7650888777,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.00872432
1,,Are you crazy?! Pull the lever!,0.7613876603,,,,cornellmov.6.002915,cornellmov.0016307
,,"So, another one bites the dust.",0.7597607349,,,,cornellmov.6.008273,cornellmov.0047431
,,It should also be pointed out.,0.7411448058,,,,cocaspok2009.6.006794,cocaspok2009.0086247
,,They serve a two year term.,0.7557850375,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.01917233
,,Thank you both for your time.,0.7431758723,,,,cocaspok2009.6.002344,cocaspok2009.0027556
,,All salons should strive for this.,0.7524129115,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.00690166
,,That's not the point at all!,0.7601257063,,,,cornellmov.6.029743,cornellmov.0179982
,,I didn't really do big parties.,0.784512131,,,,torontofantasy.6.178830,torontofantasy.2435731
,,This is a space between worlds.,0.7622461754,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00200576
,,"Until next week, over 'n out.",0.7866327321,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.04324558
,,Maybe Mr. Logan doesn't use them.,0.781293185,,,,wsj.6.001675,wsj.306403
,,I think my heart stopped beating.,0.7633890636,,,,torontofantasy.6.399792,torontofantasy.5231485
,,I think I got that right.,0.7631727453,,,,cocaspok2006.6.006247,cocaspok2006.0099040
,,"It was level, plumb and square.",0.7530256847,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.04286368
1,,Image Dimension: 595 x 827 pixels.,0.814473357,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04450725
,,I'm not suggesting they're bad people.,0.7520896026,,,,cocaspok2011.6.008519,cocaspok2011.0108376
,,Bring their college degrees in here!,0.7725506482,,,,cornellmov.6.020323,cornellmov.0118892
,,The book reappeared on her lap.,0.7608421508,,,,torontofantasy.6.175043,torontofantasy.2367258
,Drinks for New Years Eve party.,Drinks For New Years Eve Party.,0.7930391625,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00587108
,,It was around seven at night.,0.7624412637,,,,torontomyst.6.119538,torontomyst.1578174
,,Don't you ever consider the risk?,0.7359066387,,,,torontofantasy.6.019323,torontofantasy.281799
,"I say,  ""No more, this enough.""","I says, "" No more, this enough.",0.76695055,,,,cocaspok1993.6.000346,cocaspok1993.0005499
,,"George, we've got 30 seconds, actually.",0.789885785,,,,cocaspok1991.6.001022,cocaspok1991.0016947
,,How difficult a program is it?,0.7376611042,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00512156
,,"And -- and, Loida, in 10 seconds.",0.7883042031,,,,cocaspok1995.6.002125,cocaspok1995.028490
,,With a white American family anymore.,0.7795595918,,,,cocaspok1996.6.005861,cocaspok1996.0072774
,,Why is it all so scary?,0.7659708612,,,,torontoadv.6.054369,torontoadv.908070
1,,Same yella han'bill-- 800 pickers wanted.,0.8165188398,,,,cornellmov.6.031908,cornellmov.0193916
,,Is this a picture of him?,0.750589792,,,,cornellmov.6.039300,cornellmov.0241683
,,Going social is the right play.,0.7608618363,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02181032
,,They are tough bastards as well.,0.7628114359,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04290520
,,Adesanya comes back with two knockdowns!,0.7703484684,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.03353660
,,The beds were off center now.,0.7654217288,,,,torontofantasy.6.247873,torontofantasy.3287954
,,Probably saw me in the lobby.,0.7668465723,,,,brown.6.001234,brown.024732
,,This soothing cup rekindles the spirit.,0.7749640964,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.03031423
,,Gonzalez has announced ready for trial.,0.7577747795,,,,cocaspok1995.6.006570,cocaspok1995.083929
,,"This looks like the prototype, right?",0.777218297,,,,cornellmov.6.030647,cornellmov.0185685
,,Frustration was starting to consume them.,0.731897094,,,,torontomyst.6.027725,torontomyst.392130
,,Around me to thank for that.,0.7502084554,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.01047464
,,It made her feel warm inside.,0.7478603833,,,,torontomyst.6.011479,torontomyst.165995
,,Here he was enclosed and safe.,0.7523784833,,,,brown.6.001285,brown.025420
,,The old man hadn't looked up.,0.7708268759,,,,torontomyst.6.040066,torontomyst.572161
,,Relationships are built on good communication.,0.7356233838,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.04939691
,,Not the best one so far.,0.743325044,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.03573587
,,Everybody loves a good humiliation nightmare.,0.7666890892,,,,cornellmov.6.021875,cornellmov.0128895
,,"No, but it's not the point.",0.7579747568,,,,cocaspok1994.6.009040,cocaspok1994.0130212
,,But I had a great time.,0.745647405,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04420385
,,Because a Christian will be different.,0.7336471663,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.02799104
,,"There is a wonderful sound, though.",0.7425225827,,,,cocaspok2001.6.000886,cocaspok2001.0017311
,,Television broadcasters may be less enthusiastic.,0.7428176503,,,,wsj.6.000596,wsj.109834
