sentence,condition,correct,sent_identifier,index,original_index,item_id,avg_dist_use
Giveaway closes July 1st at noon!,high,0.7808219178082192,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.006592,high.01022,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00178337,1022,0.98956007
Shaklee is based in San Francisco.,high,0.8307692307692308,wsj.6.002642,high.01023,wsj.479067,1023,0.95541817
He was arrested before September 11.,high,0.9,cocaspok2001.6.007412,high.01024,cocaspok2001.0112589,1024,0.9486219
Andrea and Kenny want titanium hammers.,high,0.8703703703703703,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.118288,high.01025,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03199946,1025,0.9653672
My son was outside playing soccer.,high,0.8214285714285714,cornellmov.6.026715,high.01026,cornellmov.0160875,1026,0.94892925
System ford 07 unlabeled ranger heart.,high,0.8311688311688312,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.098263,high.01027,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02641510,1027,0.98711884
Dr. Barbara Bascom traveled with us.,high,0.8305084745762712,cocaspok1990.6.000402,high.01028,cocaspok1990.0006484,1028,0.9536976
"Finally, Abby frowned at her husband.",high,0.8113207547169812,torontomyst.6.161859,high.01029,torontomyst.2089227,1029,0.93505275
"I'm Jonathan Freed in Taylorville, Illinois.",high,0.8,cocaspok2006.6.003616,high.01030,cocaspok2006.0060198,1030,0.9313227
The Duke raised his eyebrows questioningly.,high,0.8333333333333334,torontofantasy.6.075920,high.01031,torontofantasy.1123410,1031,0.9212607
"What do you say, Brian, huh?",high,0.8072289156626506,cornellmov.6.016550,high.01032,cornellmov.0094903,1032,0.92682433
I mean look at this sweetie.,high,0.7142857142857143,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.092360,high.01033,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02473182,1033,0.8955387
"Promo runs until June 15, 2018.",high,0.8363636363636363,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.151467,high.01034,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04069552,1034,0.9722451
"Keith is calling from Midland, Texas.",high,0.803030303030303,cocaspok1996.6.000049,high.01035,cocaspok1996.0000823,1035,0.95238996
"The Amish boy saw him, Paul.",high,0.8805970149253731,cornellmov.6.040795,high.01036,cornellmov.0251667,1036,0.9406256
My cousin's shaggy eyebrows crept up.,high,0.8620689655172413,torontofantasy.6.344974,high.01037,torontofantasy.4536477,1037,0.92556316
Gail McBride is new Century's principal.,high,0.7272727272727273,cocaspok1996.6.006791,high.01038,cocaspok1996.0084587,1038,0.95968705
Even from his wife and son.,high,0.7647058823529411,torontomyst.6.141544,high.01039,torontomyst.1834782,1039,0.9405093
"Dear Sandeep, where is the question?",high,0.8375,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.6.093257,high.01040,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.02539330,1040,0.95856524
"She's at again, that naughty Madonna.",high,0.9019607843137256,cocaspok2012.6.005347,high.01041,cocaspok2012.066033,1041,0.9160187
"In Germany, a Kleider machen Leute.",high,0.8297872340425532,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.136225,high.01042,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.03689879,1042,0.9879301
"""He didn't come home,"" Diego said.",high,0.8275862068965517,torontofantasy.6.358579,high.01043,torontofantasy.4704225,1043,0.92105335
Looking for fatty acid distillation plants?,high,0.8857142857142857,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.093168,high.01044,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02519976,1044,0.9933043
What's so important in San Francisco?,high,0.8857142857142857,cornellmov.6.024948,high.01045,cornellmov.0149302,1045,0.9565616
"I mean, check back at noon.",high,0.7796610169491526,cocaspok2000.6.007569,high.01046,cocaspok2000.0119493,1046,0.92305905
"Kendra, Seth, and Dale sat nearby.",high,0.8676470588235294,torontofantasy.6.322064,high.01047,torontofantasy.4222171,1047,0.96565574
Where did that other guy go?,high,0.7066666666666667,torontomyst.6.019522,high.01048,torontomyst.275477,1048,0.93713784
One child died Friday in Denver.,high,0.8727272727272727,wsj.6.000742,high.01049,wsj.135979,1049,0.9429151
Swine flu strikes cats and ferrets!,high,0.9090909090909092,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.6.029208,high.01050,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.00794177,1050,0.9628784
"I'm Jen, from The Home Depot.",high,0.8421052631578947,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.6.029845,high.01051,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.00810475,1051,0.9240436
So I'm both Testosterone and Superman.,high,0.9154929577464788,cocaspok1997.6.002326,high.01052,cocaspok1997.0028110,1052,0.944383
Vermont is really into maple syrup.,high,0.8831168831168831,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.045302,high.01053,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01222593,1053,0.9498942
Matt arrived in Waterford on time.,high,0.7761194029850746,torontoadv.6.016825,high.01054,torontoadv.297667,1054,0.9462724
Barbara indicated the gleaming silver pots.,high,0.8305084745762712,torontofantasy.6.341650,high.01055,torontofantasy.4499192,1055,0.9420461
"Herbed chevre, pomodoro sauce, basil toast.",high,0.9285714285714286,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.6.177294,high.01056,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.04832500,1056,0.9735045
"San Diego, for Jay Leno - hello.",high,0.9629629629629628,cocaspok1993.6.007893,high.01057,cocaspok1993.0103918,1057,0.95117015
Chili Palmer showed you my script?,high,0.7875,cornellmov.6.001788,high.01058,cornellmov.0009783,1058,0.9315172
"Next stop is Nevada, January 19th.",high,0.828125,cocaspok2007.6.003257,high.01059,cocaspok2007.0040158,1059,0.9678583
"Tantalum, Titanium, Hastelloy, Inconel and Monel.",high,0.8793103448275862,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.128553,high.01060,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03445225,1060,0.9785016
Meatball joined him at the window.,high,0.8125,torontoadv.6.043193,high.01061,torontoadv.735534,1061,0.92639565
"Coupon is 5%, payable in yen.",high,0.8888888888888888,wsj.6.000746,high.01062,wsj.136739,1062,0.97202325
Collection of Ford e350 wiring diagram.,high,0.8260869565217391,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.179074,high.01063,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04793897,1063,0.99467677
I'm making enchilada pasta for dinner.,high,0.88,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.130710,high.01064,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03512943,1064,0.9327067
"Nope, Skyla isn't here for Chloe.",high,0.864406779661017,torontofantasy.6.287430,high.01065,torontofantasy.3745720,1065,0.95125073
The cost doesn't exceed 250 euro.,high,0.8674698795180723,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.184633,high.01066,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04971748,1066,0.9665758
This guy really was a Neanderthal.,high,0.8307692307692308,torontomyst.6.006600,high.01067,torontomyst.94162,1067,0.916537
Meringue powder is powdered egg whites.,high,0.890625,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.060761,high.01068,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.01642187,1068,0.96926206
It's already Monday here in Baghdad.,high,0.875,cocaspok2005.6.006268,high.01069,cocaspok2005.0098452,1069,0.9381123
Jasmine coloring pages princess free printable.,high,0.8378378378378378,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.114232,high.01070,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03062233,1070,0.98368055
"And maybe Rio, Salvador and Argentina.",high,0.8909090909090909,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.185578,high.01071,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04982926,1071,0.9731826
It's a guy in a cage.,high,0.803921568627451,cornellmov.6.009257,high.01072,cornellmov.0053031,1072,0.9081757
Mariah Carey's famous honey hue: check.,high,0.9156626506024096,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.6.142381,high.01073,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.03891623,1073,0.9527903
"Roulette, craps or blackjack, your choice.",high,0.8928571428571429,torontomyst.6.003811,high.01074,torontomyst.56337,1074,0.98594016
"Ella Blue, and your son, Jett.",high,0.8301886792452831,cocaspok2000.6.005519,high.01075,cocaspok2000.0092288,1075,0.9601612
"Oh please, Ford, I'll do any.",high,0.9111111111111112,cornellmov.6.009389,high.01076,cornellmov.0053749,1076,0.9161929
"Reply: Dale Worley: ""RE: external error"".",high,0.8627450980392157,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.119913,high.01077,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03223743,1077,0.97390336
Summer horsemanship day camps in June!,high,0.851063829787234,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.169224,high.01078,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04570537,1078,0.9838489
Karina swept Emily into her arms.,high,0.8055555555555556,torontofantasy.6.345775,high.01079,torontofantasy.4545076,1079,0.9439898
"May 31, 2013 June Voting Incentive!",high,0.8695652173913043,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.019979,high.01080,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00534294,1080,0.9778859
Top with additional blueberries or blackberries.,high,0.8775510204081632,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.047871,high.01081,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01280215,1081,0.9891534
The domme's lips wrinkled in distaste.,high,0.8970588235294118,torontofantasy.6.351296,high.01082,torontofantasy.4617516,1082,0.94543386
McNeal leveled his stare at Emily.,high,0.7647058823529411,torontofantasy.6.444028,high.01083,torontofantasy.5802213,1083,0.91621816
It was on like Donkey Kong.,high,0.9565217391304348,torontofantasy.6.231241,high.01084,torontofantasy.3085860,1084,0.92050356
"These mosquitos are -- well, guinea pigs.",high,0.975609756097561,cocaspok2004.6.000600,high.01085,cocaspok2004.0009053,1085,0.9453158
Buy Prevacid Lansoprazole online without prescriptions.,high,0.8414634146341463,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.6.148361,high.01086,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.03971004,1086,0.98769355
"But, what about snake tattoo guy?",high,0.8767123287671232,torontofantasy.6.175552,high.01087,torontofantasy.2376919,1087,0.94091713
"Honey, isn't your friend's name Colleen?",high,0.7758620689655172,cornellmov.6.010235,high.01088,cornellmov.0058359,1088,0.93848395
Michele read the maple writing again.,high,0.7974683544303798,torontomyst.6.022023,high.01089,torontomyst.303479,1089,0.9484627
"Coaster II, the maple syrup ship.",high,0.8297872340425532,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.167320,high.01090,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.04523748,1090,0.96951246
Stir in sauce and chili powder.,high,0.9,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.6.056015,high.01091,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.01536697,1091,0.96707857
He's kissing her on the lips.,high,0.8072289156626506,cornellmov.6.036439,high.01092,cornellmov.0222878,1092,0.91282094
Spread the blueberries over the crust.,high,0.9117647058823528,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.008906,high.01093,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00240921,1093,0.95787925
"Come on, man -- Vietnam ain't Germany.",high,0.9183673469387756,cornellmov.6.022452,high.01094,cornellmov.0133109,1094,0.92853504
Greybeard raised his eyebrows at this.,high,0.9090909090909092,torontoadv.6.035336,high.01095,torontoadv.599537,1095,0.90261394
CNN's Brian Cabell looks into that.,high,0.9047619047619048,cocaspok2000.6.005171,high.01096,cocaspok2000.0087935,1096,0.92919743
"Jesus Christ, Pop, let's go home.",high,0.8985507246376812,cornellmov.6.015873,high.01097,cornellmov.0090630,1097,0.92564917
"Lieutenant Ilia reporting for duty, sir.",high,0.8852459016393442,cornellmov.6.013642,high.01098,cornellmov.0077435,1098,0.93806386
The generals surrendered after Baghdad fell.,high,0.855072463768116,cocaspok2003.6.000074,high.01099,cocaspok2003.0002157,1099,0.96070427
I'm Matt Lauer in New York.,high,0.9285714285714286,cocaspok2008.6.004760,high.01100,cocaspok2008.0058936,1100,0.9305126
Small brains make your balls itch?,high,0.9452054794520548,cornellmov.6.002914,high.01101,cornellmov.0016302,1101,0.9349967
"Seth Doane, thank you so much.",high,0.8045977011494253,cocaspok2010.6.011053,high.01102,cocaspok2010.0143174,1102,0.9309286
Xenoblade Chronicles 2 on Nintendo Switch!,high,0.9264705882352942,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.6.124942,high.01103,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.03421638,1103,0.97468984
"Oh dear Lord, it was Cash.",high,0.8695652173913043,torontofantasy.6.295020,high.01104,torontofantasy.3855117,1104,0.9013198
Paul's College Foundation in Hong Kong.,high,0.7857142857142857,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.6.100660,high.01105,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.02756675,1105,0.9785223
"Shh, baby, please do not cry.",high,0.8783783783783784,torontofantasy.6.255667,high.01106,torontofantasy.3383078,1106,0.9237371
This guy got me mad now.,high,0.7454545454545455,torontomyst.6.043435,high.01107,torontomyst.614987,1107,0.9130445
Are videos downloadable from video egg?,high,0.8732394366197183,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.016146,high.01108,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00435315,1108,0.97480774
Texas went solidly for the Reverend.,high,0.7746478873239436,torontofantasy.6.088559,high.01109,torontofantasy.1312641,1109,0.9246591
The place where Superman comes from?,high,0.8939393939393939,cornellmov.6.038370,high.01110,cornellmov.0235326,1110,0.947417
"Valuation question: Harper Rookie ""Hit Balls"".",high,0.7894736842105263,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.118349,high.01111,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.03197546,1111,0.95523703
In China Avalokiteshvara becomes Kuan Yin.,high,0.898876404494382,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.6.136023,high.01112,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.03639013,1112,0.9713746
It was sexy as all hell.,high,0.9384615384615383,torontomyst.6.111309,high.01113,torontomyst.1472319,1113,0.91896933
Miss Matilda for the new challenge!,high,0.8,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.096291,high.01114,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.02602710,1114,0.94206
Add the olive oil and garlic.,high,0.9019607843137256,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.097545,high.01115,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02622507,1115,0.956569
Elvis looked at her in bemusement..,high,0.8714285714285714,torontofantasy.6.013918,high.01116,torontofantasy.201602,1116,0.91722226
Like... a cute succubus for example.,high,0.8904109589041096,torontofantasy.6.455755,high.01117,torontofantasy.5919837,1117,0.9250741
SAGE Mobile 8.0 is available now.,high,0.9310344827586208,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.148945,high.01118,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04022642,1118,0.96641773
Val waved goodbye to his friend.,high,0.7875,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.054046,high.01119,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.01460549,1119,0.9370339
Dionysius in the 1913 Catholic Encyclopedia.,high,0.8953488372093024,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.177809,high.01120,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04790457,1120,0.97284436
He did it back in Illinois.,high,0.7454545454545455,cocaspok2010.6.008823,high.01121,cocaspok2010.0115208,1121,0.9214737
"In June, Bill moved back home.",high,0.7586206896551724,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.6.150374,high.01122,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.04104984,1122,0.9655684
Seth Doane now reports from Kabul.,high,0.8103448275862069,cocaspok2011.6.005920,high.01123,cocaspok2011.0074448,1123,0.94780684
My nephew Matt Klam took me.,high,0.8103448275862069,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.016886,high.01124,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00457327,1124,0.9317071
"Aw, c'mon -- anybody can get hungry.",high,0.8529411764705882,cornellmov.6.013913,high.01125,cornellmov.0079111,1125,0.90709466
Keith Jones lost his son Gordon.,high,0.9102564102564102,cocaspok2010.6.004448,high.01126,cocaspok2010.0057150,1126,0.9412033
"The Nite Owl was solved, Lieutenant.",high,0.8604651162790697,cornellmov.6.008802,high.01127,cornellmov.0050470,1127,0.92087823
"But don't think it's over, Abby.",high,0.7230769230769231,torontomyst.6.162978,high.01128,torontomyst.2102849,1128,0.9235237
"Beast restaurant, london havwoods wood flooring.",high,0.76,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.001360,high.01129,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00037230,1129,0.9895264
The guy spelled sex and danger.,high,0.9649122807017544,torontofantasy.6.442605,high.01130,torontofantasy.5790862,1130,0.92802274
Doc and Meatball yawned in chorus.,high,0.8421052631578947,torontoadv.6.043167,high.01131,torontoadv.735224,1131,0.9490785
The young girl was so cute.,high,0.7692307692307693,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.072877,high.01132,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01967720,1132,0.9137848
The whole enchilada in one shot.,high,0.8852459016393442,cornellmov.6.039924,high.01133,cornellmov.0245796,1133,0.9337252
Bobby Peru probably killed the most.,high,0.8850574712643678,cornellmov.6.025802,high.01134,cornellmov.0154663,1134,0.922194
Then Goddard looked apologetically at Emily.,high,0.7884615384615384,torontomyst.6.081476,high.01135,torontomyst.1103354,1135,0.93904626
Matt looked at the blue vase.,high,0.8625,torontoadv.6.023903,high.01136,torontoadv.422854,1136,0.9163294
My pineapple coconut martini was delicious!!!,high,0.8939393939393939,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.067583,high.01137,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.01806417,1137,0.9430198
"Well, obviously, in Argentina, Diego Miradona.",high,0.8444444444444444,cocaspok1990.6.006435,high.01138,cocaspok1990.0113767,1138,0.9332131
"Dear Governor Bevin, I'm Audra Baker.",high,0.8135593220338984,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.037960,high.01139,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.01012992,1139,0.9415846
"You just go like this, dear.",high,0.7,cocaspok2005.6.003077,high.01140,cocaspok2005.0051080,1140,0.9221846
"Colleen: My gosh, a GCU sweatshirt!",high,0.9,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.6.134993,high.01141,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.03609987,1141,0.9350839
"Jesus Christ, where'd that come from?",high,0.8813559322033898,cornellmov.6.023594,high.01142,cornellmov.0140450,1142,0.95505404
Seth leaned in closer to Jay.,high,0.8135593220338984,torontomyst.6.014313,high.01143,torontomyst.207327,1143,0.9411257
"Pearlson said, staring up at Matt.",high,0.7424242424242424,torontomyst.6.124501,high.01144,torontomyst.1633487,1144,0.9185059
The contest ends on September 14th!,high,0.8414634146341463,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.004712,high.01145,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00128708,1145,0.9793945
"Jung, do you know Diego Delgado?",high,0.8481012658227848,cornellmov.6.027699,high.01146,cornellmov.0166952,1146,0.9534087
Kate and Jo said in unison.,high,0.7647058823529411,torontomyst.6.014153,high.01147,torontomyst.205248,1147,0.9540277
Macbook Pro repair in Niagara region.,high,0.96875,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.053121,high.01148,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.01416615,1148,0.9991751
"Don't live near Lake Villa, Illinois?",high,0.8793103448275862,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.110196,high.01149,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02983475,1149,0.9667625
"He was born near Harrisburg, Pennsylvania.",high,0.8688524590163934,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.6.130854,high.01150,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.03499121,1150,0.9549768
Jocelyn fingers and nods at Chloe.,high,0.8870967741935484,torontomyst.6.044918,high.01151,torontomyst.632546,1151,0.9562913
Remember your first Easter Egg hunt?,high,0.8783783783783784,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.175339,high.01152,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.04753546,1152,0.94154495
"September 26, 2016 in Market Commentary.",high,0.8160919540229885,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.042210,high.01153,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01128939,1153,0.9820178
Reboot into your fresh pi install.,high,0.8703703703703703,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.073235,high.01154,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.01979276,1154,0.9726231
A mist rose from his lips.,high,0.8690476190476191,torontofantasy.6.069214,high.01155,torontofantasy.1016291,1155,0.92431307
"Hush, Claudia, hush now my dear.",high,0.8484848484848485,cornellmov.6.010367,high.01156,cornellmov.0059033,1156,0.922377
